,stop_id,trip_sequence,trip_id,route_id,stop_name,route_name,minute_delay,oid_max,actual_arrival_time_max,actual_arrival_time_min,planned_arrival_seconds_since_midnight_max,planned_arrival_seconds_since_midnight_min
0,10390,3,11429398_M11,28R,19th Avenue & Holloway St,28R,0.0,910355,2023-12-07 17:18:33.000000,2023-12-07 11:43:40.000000,62340.0,42240.0
1,10390,6,11429251_M11,28,19th Avenue & Holloway St,28,0.4896551724137931,910328,2023-12-07 17:37:21.000000,2023-12-07 11:50:32.000000,63420.0,42600.0
2,10390,51,11435008_M11,29,19th Avenue & Holloway St,29,0.39722222222222225,910507,2023-12-07 16:47:26.000000,2023-12-07 11:42:13.000000,60420.0,42120.0
3,10913,1,11409674_M11,52,Dublin St & La Grande Ave,52,30.0,909931,1969-12-31 16:00:00.000000,1969-12-31 16:00:00.000000,63720.0,43020.0
4,10913,37,11409639_M11,52,Dublin St & La Grande Ave,52,0.0,909924,2023-12-07 17:40:52.000000,2023-12-07 11:55:13.000000,63720.0,43020.0
5,13018,22,11409824_M11,54,Bacon St & San Bruno Ave,54,0.01764705882352948,909939,2023-12-07 17:08:06.000000,2023-12-07 11:44:03.000000,61800.0,42240.0
6,13019,49,11409889_M11,54,Bacon St & San Bruno Ave,54,0.0,909945,2023-12-07 16:40:13.000000,2023-12-07 12:04:04.000000,60060.0,42960.0
7,13020,25,11409824_M11,54,Bacon St & Somerset St,54,0.723529411764706,909939,2023-12-07 17:10:31.000000,2023-12-07 11:46:07.000000,61888.0,42324.0
8,13021,46,11409889_M11,54,Bacon St & Somerset St,54,0.0,909945,2023-12-07 16:37:56.000000,2023-12-07 12:02:05.000000,59966.0,42879.0
9,13023,2,11434897_M11,29,Baker Beach Parking Lot Sw,29,1.2027027027027026,910493,2023-12-07 16:59:35.000000,2023-12-07 11:40:44.000000,61165.0,41965.0
10,13024,29,11407225_M11,45,Baker St & Greenwich St,45,0.0,909844,2023-12-07 17:20:33.000000,2023-12-07 11:42:04.000000,62566.0,42106.0
11,13031,51,11392985_M11,8,Bay St & Midway St,8,7.840000000000001,909292,2023-12-07 16:53:11.000000,2023-12-07 11:42:42.000000,60528.0,42105.0
12,13032,32,11403076_M11,31,Balboa St & 4th Ave,31,0.7812499999999999,909591,2023-12-07 16:48:32.000000,2023-12-07 11:48:18.000000,60562.0,42442.0
13,13033,23,11403115_M11,31,Balboa St & 4th Ave,31,0.34117647058823525,909598,2023-12-07 17:16:08.000000,2023-12-07 11:55:53.000000,62141.0,43007.0
14,13034,33,11403076_M11,31,Balboa St & 6th Ave,31,1.06875,909591,2023-12-07 16:49:33.000000,2023-12-07 11:49:14.000000,60600.0,42480.0
15,13035,22,11403115_M11,31,Balboa St & 6th Ave,31,0.15882352941176472,909598,2023-12-07 17:15:21.000000,2023-12-07 11:54:57.000000,62100.0,42960.0
16,13036,34,11403076_M11,31,Balboa St & 8th Ave,31,1.31875,909591,2023-12-07 16:50:22.000000,2023-12-07 11:50:20.000000,60640.0,42515.0
17,13037,21,11403115_M11,31,Balboa St & 8th Ave,31,0.0,909598,2023-12-07 17:14:18.000000,2023-12-07 11:53:53.000000,62052.0,42909.0
18,13038,35,11403076_M11,31,Balboa St & 10th Ave,31,1.33125,909591,2023-12-07 16:51:11.000000,2023-12-07 11:51:00.000000,60686.0,42555.0
19,13039,20,11403115_M11,31,Balboa St & 10th Ave,31,0.0,909598,2023-12-07 17:13:34.000000,2023-12-07 11:53:45.000000,62013.0,42867.0
20,13040,36,11403076_M11,31,Balboa St & 12th Ave,31,1.35,909591,2023-12-07 16:51:58.000000,2023-12-07 11:51:45.000000,60732.0,42596.0
21,13041,19,11403115_M11,31,Balboa St & 12th Ave,31,0.0,909598,2023-12-07 17:12:51.000000,2023-12-07 11:53:00.000000,61974.0,42826.0
22,13043,38,11403076_M11,31,Balboa St & 17th Ave,31,1.7333333333333336,909590,2023-12-07 16:32:28.000000,2023-12-07 11:53:21.000000,59589.0,42699.0
23,13044,17,11403115_M11,31,Balboa St & 17th Ave,31,0.0,909598,2023-12-07 17:10:55.000000,2023-12-07 11:51:25.000000,61874.0,42719.0
24,13045,39,11403076_M11,31,Balboa St & 19th Ave,31,1.7666666666666666,909590,2023-12-07 16:33:12.000000,2023-12-07 11:54:04.000000,59635.0,42740.0
25,13046,16,11403115_M11,31,Balboa St & 19th Ave,31,0.0,909598,2023-12-07 17:10:14.000000,2023-12-07 11:50:49.000000,61835.0,42678.0
26,13047,40,11403076_M11,31,Balboa St & 21st Ave,31,1.7466666666666666,909590,2023-12-07 16:33:53.000000,2023-12-07 11:54:21.000000,59681.0,42780.0
27,13048,15,11403115_M11,31,Balboa St & 21st Ave,31,0.0,909598,2023-12-07 17:09:35.000000,2023-12-07 11:50:26.000000,61796.0,42636.0
28,13049,41,11403076_M11,31,Balboa St & 23rd Ave,31,1.7133333333333336,909590,2023-12-07 16:34:31.000000,2023-12-07 11:55:15.000000,59727.0,42821.0
29,13050,14,11403115_M11,31,Balboa St & 23rd Ave,31,0.0,909598,2023-12-07 17:08:56.000000,2023-12-07 11:49:46.000000,61757.0,42594.0
30,13051,42,11403076_M11,31,Balboa St & 25th Ave,31,1.7866666666666666,909590,2023-12-07 16:35:21.000000,2023-12-07 11:56:26.000000,59778.0,42867.0
31,13052,13,11403115_M11,31,Balboa St & 25th Ave,31,0.0,909598,2023-12-07 17:08:12.000000,2023-12-07 11:48:19.000000,61723.0,42558.0
32,13053,43,11403076_M11,31,Balboa St & 28th Ave,31,1.8866666666666667,909590,2023-12-07 16:36:23.000000,2023-12-07 11:57:30.000000,59841.0,42922.0
33,13054,12,11403115_M11,31,Balboa St & 28th Ave,31,0.0,909598,2023-12-07 17:07:04.000000,2023-12-07 11:47:47.000000,61660.0,42490.0
34,13055,44,11403076_M11,31,Balboa St & 30th Ave,31,1.8266666666666669,909590,2023-12-07 16:37:07.000000,2023-12-07 11:58:11.000000,59893.0,42968.0
35,13056,11,11403115_M11,31,Balboa St & 30th Ave,31,0.0,909598,2023-12-07 17:06:28.000000,2023-12-07 11:47:11.000000,61621.0,42449.0
36,13057,45,11403076_M11,31,Balboa St & 32nd Ave,31,1.86,909590,2023-12-07 16:37:41.000000,2023-12-07 11:58:44.000000,59933.0,43004.0
37,13058,10,11403115_M11,31,Balboa St & 32nd Ave,31,0.0,909598,2023-12-07 17:05:53.000000,2023-12-07 11:46:34.000000,61581.0,42407.0
38,13059,9,11403115_M11,31,Balboa St & 34th Ave,31,0.0,909598,2023-12-07 17:05:16.000000,2023-12-07 11:46:08.000000,61542.0,42365.0
39,13059,37,11397337_M11,18,Balboa St & 34th Ave,18,2.6944444444444446,909448,2023-12-07 17:20:08.000000,2023-12-07 11:38:10.000000,62167.0,41767.0
40,13060,8,11397295_M11,18,Balboa St & 35th Ave,18,1.9833333333333334,909441,2023-12-07 17:23:30.000000,2023-12-07 11:42:24.000000,62590.0,42130.0
41,13060,46,11403076_M11,31,Balboa St & 35th Ave,31,1.7866666666666664,909590,2023-12-07 16:38:28.000000,2023-12-07 11:59:04.000000,59992.0,43055.0
42,13061,9,11397295_M11,18,Balboa St & 37th Ave,18,1.5499999999999998,909441,2023-12-07 17:24:29.000000,2023-12-07 11:43:15.000000,62643.0,42183.0
43,13061,47,11403076_M11,31,Balboa St & 37th Ave,31,1.8933333333333333,909590,2023-12-07 16:39:21.000000,2023-12-07 11:59:58.000000,60048.0,43105.0
44,13062,8,11403115_M11,31,Balboa St & 37th Ave,31,0.0,909598,2023-12-07 17:04:19.000000,2023-12-07 11:45:12.000000,61484.0,42303.0
45,13062,36,11397337_M11,18,Balboa St & 37th Ave,18,2.7294117647058824,909448,2023-12-07 17:19:05.000000,2023-12-07 12:03:21.000000,62102.0,42902.0
46,13063,10,11397295_M11,18,Balboa St & 40th Ave,18,1.4722222222222223,909441,2023-12-07 17:25:30.000000,2023-12-07 11:43:59.000000,62707.0,42247.0
47,13063,48,11403076_M11,31,Balboa St & 40th Ave,31,1.9333333333333333,909590,2023-12-07 16:40:24.000000,2023-12-07 12:00:40.000000,60117.0,43166.0
48,13064,7,11403115_M11,31,Balboa St & 40th Ave,31,0.0,909598,2023-12-07 17:03:19.000000,2023-12-07 11:44:30.000000,61425.0,42240.0
49,13064,35,11397337_M11,18,Balboa St & 40th Ave,18,2.835294117647059,909448,2023-12-07 17:18:02.000000,2023-12-07 12:02:26.000000,62037.0,42837.0
50,13065,11,11397295_M11,18,Balboa St & 43rd Ave,18,1.2277777777777779,909441,2023-12-07 17:26:21.000000,2023-12-07 11:44:38.000000,62772.0,42312.0
51,13065,49,11403076_M11,31,Balboa St & 43rd Ave,31,1.7733333333333332,909590,2023-12-07 16:41:15.000000,2023-12-07 12:01:43.000000,60186.0,43227.0
52,13066,6,11403115_M11,31,Balboa St & 43rd Ave,31,0.08235294117647061,909598,2023-12-07 17:02:32.000000,2023-12-07 11:43:41.000000,61367.0,42178.0
53,13066,34,11397337_M11,18,Balboa St & 43rd Ave,18,3.0058823529411764,909448,2023-12-07 17:17:10.000000,2023-12-07 12:01:17.000000,61972.0,42772.0
54,13067,31,11403076_M11,31,Balboa St & Arguello Blvd,31,0.7875,909591,2023-12-07 16:47:23.000000,2023-12-07 11:47:44.000000,60499.0,42379.0
55,13070,37,11403076_M11,31,Balboa St & Park Presidio Blvd,31,1.5499999999999998,909591,2023-12-07 16:52:55.000000,2023-12-07 11:52:37.000000,60773.0,42632.0
56,13071,18,11403115_M11,31,Balboa St & Park Presidio Blvd,31,0.0,909598,2023-12-07 17:12:02.000000,2023-12-07 11:52:34.000000,61940.0,42789.0
57,13072,25,11430704_M11,30,Broderick St & Bay St,30,0.0,42882,2023-12-07 11:48:13.000000,2023-12-07 11:48:13.000000,42724.0,42724.0
58,13072,30,11430702_M11,30,Broderick St & Bay St,30,0.0,910410,2023-12-07 17:16:04.000000,2023-12-07 11:41:53.000000,62525.0,42284.0
59,13074,27,11430704_M11,30,Broderick St & Beach St,30,0.0,45996,2023-12-07 11:49:01.000000,2023-12-07 11:49:01.000000,42765.0,42765.0
60,13074,32,11430702_M11,30,Broderick St & Beach St,30,0.0,910407,2023-12-07 16:52:59.000000,2023-12-07 11:42:26.000000,61140.0,42335.0
61,13075,24,11430704_M11,30,Broderick St & Francisco St,30,0.0,41320,2023-12-07 11:47:51.000000,2023-12-07 11:47:51.000000,42703.0,42703.0
62,13075,29,11430702_M11,30,Broderick St & Francisco St,30,0.0,910412,2023-12-07 17:27:37.000000,2023-12-07 11:41:28.000000,63278.0,42260.0
63,13076,28,11430704_M11,30,Broderick St & Jefferson St,30,0.0,47558,2023-12-07 11:49:37.000000,2023-12-07 11:49:37.000000,42786.0,42786.0
64,13076,33,11430702_M11,30,Broderick St & Jefferson St,30,0.0,910406,2023-12-07 16:41:34.000000,2023-12-07 11:42:54.000000,60448.0,42361.0
65,13077,26,11430704_M11,30,Broderick St & North Point St,30,0.0,44442,2023-12-07 11:48:34.000000,2023-12-07 11:48:34.000000,42744.0,42744.0
66,13077,31,11430702_M11,30,Broderick St & North Point St,30,0.0,910407,2023-12-07 17:04:30.000000,2023-12-07 11:41:59.000000,61833.0,42310.0
67,13082,12,11394638_M11,12,Broadway & Columbus Ave,12,0.03636363636363638,909385,2023-12-07 17:10:06.000000,2023-12-07 11:41:26.000000,61878.0,42106.0
68,13084,13,11394638_M11,12,Broadway & Montgomery St,12,0.0,909385,2023-12-07 17:11:24.000000,2023-12-07 11:43:35.000000,61996.0,42238.0
69,13085,33,11398413_M11,22,Broadway & Steiner St,22,4.290566037735849,909528,2023-12-07 17:10:19.000000,2023-12-07 11:47:35.000000,61732.0,42172.0
