,,update_count,driving_time,routes
802,224,1,2.0,"('20768',)"
224,803,1,3.0,"('20768',)"
803,193,1,4.0,"('20768',)"
195,804,2,2.0,"('20768', '20770')"
804,805,2,3.0,"('20768', '20770')"
198,806,2,1.0,"('20768', '20770')"
808,809,1,2.0,"('20769',)"
809,217,1,3.0,"('20769',)"
811,812,1,1.0,"('20769',)"
111,58,1,4.0,"('20769',)"
486,270,1,4.0,"('20770',)"
730,823,1,2.0,"('20771',)"
394,244,1,5.0,"('20771',)"
244,999690,1,4.0,"('20771',)"
133,280,1,1.0,"('20771',)"
819,220,1,3.0,"('20771',)"
57008,57012,3,1.475,"('20643', '20652', '20664')"
57012,57014,3,0.45,"('20643', '20652', '20664')"
57014,99974143,2,0.6333333333333333,"('20643', '20652')"
99974143,57062,2,0.45,"('20643', '20652')"
57062,99973937,2,0.7,"('20643', '20652')"
99973937,67196,2,0.8833333333333333,"('20643', '20652')"
67196,99971287,1,0.6,"('20643',)"
99971287,99971221,1,1.0666666666666667,"('20643',)"
99971221,99971222,1,0.7,"('20643',)"
99971222,99972310,1,0.4166666666666667,"('20643',)"
99972310,99971223,1,0.4666666666666667,"('20643',)"
99971223,99971224,1,0.7833333333333333,"('20643',)"
99971224,99971225,1,0.7166666666666667,"('20643',)"
99971225,67114,1,1.4333333333333333,"('20643',)"
67120,99972852,1,0.8666666666666667,"('20643',)"
99972852,99973767,1,1.1666666666666667,"('20643',)"
99973767,79040,1,1.5333333333333334,"('20643',)"
79040,79450,1,0.6833333333333333,"('20643',)"
79450,79454,1,0.55,"('20643',)"
79454,79050,1,1.05,"('20643',)"
79050,79460,1,1.0,"('20643',)"
79460,79058,1,0.75,"('20643',)"
79466,79496,1,0.5833333333333334,"('20643',)"
79496,100004,1,1.5666666666666667,"('20643',)"
100004,100006,2,0.5833333333333334,"('20643', '20676')"
100006,100008,2,0.55,"('20643', '20676')"
100008,100010,2,0.36666666666666664,"('20643', '20676')"
100010,100012,2,1.1166666666666667,"('20643', '20676')"
100012,100014,2,0.48333333333333334,"('20643', '20676')"
100014,99973633,1,1.3333333333333333,"('20643',)"
99973633,113098,1,1.3,"('20643',)"
113098,113122,2,0.8166666666666667,"('20643', '20673')"
113122,114082,3,0.6416666666666666,"('20643', '20673', '20677')"
114082,114900,3,1.2916666666666667,"('20643', '20673', '20677')"
84902,99973367,1,1.2,"('20644',)"
99973367,99973369,1,1.15,"('20644',)"
99973369,99973370,1,0.7166666666666667,"('20644',)"
99973370,84178,1,0.7333333333333333,"('20644',)"
84178,84173,1,0.5666666666666667,"('20644',)"
84173,84170,1,0.5833333333333334,"('20644',)"
84170,84168,1,0.7666666666666667,"('20644',)"
84168,84154,1,1.2166666666666666,"('20644',)"
84154,84151,1,1.05,"('20644',)"
84151,84148,1,0.7,"('20644',)"
84148,83054,1,0.9333333333333333,"('20644',)"
83054,83048,1,0.6166666666666667,"('20644',)"
83048,99971962,1,0.15,"('20644',)"
99971962,83046,2,0.6166666666666667,"('20644', '20694')"
83046,83034,2,0.7166666666666667,"('20644', '20694')"
83034,83032,2,0.5333333333333333,"('20644', '20694')"
83030,82084,2,0.5833333333333334,"('20644', '20694')"
82084,82080,2,1.2166666666666666,"('20644', '20694')"
82078,82076,1,0.5333333333333333,"('20644',)"
82074,82072,1,0.38333333333333336,"('20644',)"
82178,81150,1,0.55,"('20644',)"
81150,81149,1,0.5,"('20644',)"
81149,81900,1,1.6666666666666667,"('20644',)"
98900,99248,1,1.3166666666666667,"('20645',)"
99248,99260,2,0.5666666666666667,"('20645', '20763')"
99260,99268,2,0.5833333333333334,"('20645', '20763')"
99268,99971945,2,0.9333333333333333,"('20645', '20763')"
99971945,99196,2,0.4,"('20645', '20763')"
99196,99906,2,0.5333333333333333,"('20645', '20763')"
99906,99200,2,0.6166666666666667,"('20645', '20763')"
99200,99908,1,1.2,"('20645',)"
99908,99176,1,0.9833333333333333,"('20645',)"
99176,99174,2,0.4666666666666667,"('20645', '20754')"
99174,99172,2,0.23333333333333334,"('20645', '20754')"
99172,99170,1,0.5666666666666667,"('20645',)"
99170,99168,1,0.38333333333333336,"('20645',)"
99168,99178,1,0.26666666666666666,"('20645',)"
99178,99166,1,0.3,"('20645',)"
100050,100052,1,0.4666666666666667,"('20645',)"
100052,100054,1,0.31666666666666665,"('20645',)"
100054,100128,1,0.3333333333333333,"('20645',)"
100136,100164,1,0.5333333333333333,"('20645',)"
100164,100137,1,0.4,"('20645',)"
100137,101069,1,0.6,"('20645',)"
101069,101139,1,0.9166666666666666,"('20645',)"
101139,101168,1,0.4166666666666667,"('20645',)"
101168,101446,1,0.35,"('20645',)"
101144,99973307,1,1.0,"('20645',)"
99973307,99973308,1,1.0666666666666667,"('20645',)"
99973308,99973832,1,1.1,"('20645',)"
99973832,99973780,1,1.0833333333333333,"('20645',)"
99973780,99973678,1,1.3,"('20645',)"
99973678,99972102,1,0.8166666666666667,"('20645',)"
99972102,102308,2,0.35,"('20645', '20755')"
102308,93016,2,0.65,"('20645', '20755')"
93016,102298,2,0.7333333333333333,"('20645', '20755')"
102558,102124,1,0.6333333333333333,"('20645',)"
103162,103196,1,0.5166666666666667,"('20645',)"
99970938,94022,1,0.6666666666666666,"('20645',)"
94160,94140,1,1.1166666666666667,"('20645',)"
94140,999755,1,2.566666666666667,"('20645',)"
151144,151138,1,0.6,"('20646',)"
151138,151130,1,0.6166666666666667,"('20646',)"
151130,151054,1,0.38333333333333336,"('20646',)"
151054,151056,1,0.36666666666666664,"('20646',)"
151056,151058,1,0.48333333333333334,"('20646',)"
151058,151016,1,0.9833333333333333,"('20646',)"
140056,151014,1,0.3,"('20646',)"
151014,151008,1,0.5666666666666667,"('20646',)"
140088,140094,1,0.9,"('20646',)"
140094,99973151,1,0.7,"('20646',)"
99973151,140176,1,0.5833333333333334,"('20646',)"
140176,140106,1,1.5333333333333334,"('20646',)"
140106,140108,1,0.6666666666666666,"('20646',)"
140108,127046,1,0.85,"('20646',)"
127046,127050,1,1.1166666666666667,"('20646',)"
127050,127052,1,0.6333333333333333,"('20646',)"
127053,117098,1,0.43333333333333335,"('20646',)"
117100,117122,1,0.35,"('20646',)"
117122,117124,1,0.3333333333333333,"('20646',)"
117124,117102,1,0.45,"('20646',)"
117102,117104,1,0.23333333333333334,"('20646',)"
117104,117106,1,0.25,"('20646',)"
117106,117108,1,0.26666666666666666,"('20646',)"
117114,117116,1,0.2833333333333333,"('20646',)"
117116,117118,1,0.31666666666666665,"('20646',)"
117118,117120,2,0.5333333333333333,"('20646', '20661')"
117120,117121,2,1.3333333333333333,"('20646', '20661')"
117121,117123,2,0.6166666666666667,"('20646', '20661')"
117123,117127,2,0.8,"('20646', '20661')"
117127,117129,2,0.3333333333333333,"('20646', '20661')"
117131,95012,2,1.0166666666666666,"('20646', '20661')"
95012,95901,2,1.2333333333333334,"('20646', '20661')"
59901,59004,1,1.8166666666666667,"('20647',)"
59004,59006,1,0.6833333333333333,"('20647',)"
59006,59052,1,0.6333333333333333,"('20647',)"
59052,59010,1,0.5333333333333333,"('20647',)"
59010,59012,1,0.6666666666666666,"('20647',)"
59012,59014,1,0.45,"('20647',)"
59014,59016,1,0.36666666666666664,"('20647',)"
59016,59018,1,1.0666666666666667,"('20647',)"
59018,52222,1,0.7833333333333333,"('20647',)"
52222,52002,1,0.5,"('20647',)"
52002,52008,1,1.55,"('20647',)"
52008,52010,1,0.43333333333333335,"('20647',)"
52010,52012,1,0.7166666666666667,"('20647',)"
52012,51002,1,0.8666666666666667,"('20647',)"
51002,51066,1,0.85,"('20647',)"
52028,52030,1,0.6166666666666667,"('20647',)"
52032,52034,1,0.7,"('20647',)"
52034,52038,1,0.7333333333333333,"('20647',)"
52038,44002,1,0.7666666666666667,"('20647',)"
44002,44004,1,0.65,"('20647',)"
44004,44006,1,0.5833333333333334,"('20647',)"
44008,44014,1,1.0333333333333334,"('20647',)"
44058,44062,1,0.6,"('20647',)"
44066,99971032,1,0.5666666666666667,"('20647',)"
44074,44078,1,0.8166666666666667,"('20647',)"
39150,39074,1,0.9333333333333333,"('20647',)"
39074,39078,1,1.2166666666666666,"('20647',)"
39078,39080,1,0.3333333333333333,"('20647',)"
39082,39084,1,0.35,"('20647',)"
39084,39086,1,0.31666666666666665,"('20647',)"
39086,39090,1,0.75,"('20647',)"
39092,39117,1,0.38333333333333336,"('20647',)"
39194,39124,1,0.9666666666666667,"('20647',)"
39018,40017,1,1.3333333333333333,"('20647',)"
40017,40914,2,0.8666666666666667,"('20647', '20689')"
40914,40050,2,1.4,"('20647', '20689')"
40050,40086,2,1.1666666666666667,"('20647', '20689')"
40086,40910,2,2.433333333333333,"('20647', '20689')"
95900,95130,1,0.6833333333333333,"('20648',)"
95130,99970104,1,1.2833333333333334,"('20648',)"
99970104,99970105,2,0.6,"('20648', '20694')"
99970105,99970107,2,0.8333333333333334,"('20648', '20694')"
99970107,99970108,1,0.2833333333333333,"('20648',)"
99970108,99970109,1,0.4666666666666667,"('20648',)"
99970109,83095,1,0.25,"('20648',)"
83095,83100,1,0.3333333333333333,"('20648',)"
83100,83132,1,0.5333333333333333,"('20648',)"
83132,83026,1,0.26666666666666666,"('20648',)"
83026,83116,1,0.38333333333333336,"('20648',)"
83116,84130,1,0.4,"('20648',)"
84134,84136,1,0.15,"('20648',)"
84136,84137,1,0.1,"('20648',)"
84137,70264,1,0.45,"('20648',)"
70020,70186,1,0.65,"('20648',)"
70186,70188,2,0.38333333333333336,"('20648', '20663')"
70188,70190,2,0.25,"('20648', '20663')"
70190,70200,2,0.75,"('20648', '20663')"
70200,70202,2,0.7333333333333333,"('20648', '20663')"
70202,70204,2,0.35,"('20648', '20663')"
70204,70144,1,0.8166666666666667,"('20648',)"
70144,70148,1,0.8,"('20648',)"
70148,70150,1,0.5833333333333334,"('20648',)"
70152,70154,1,0.5166666666666667,"('20648',)"
70160,70162,1,0.5,"('20648',)"
70164,70166,1,1.05,"('20648',)"
70166,70168,1,0.5666666666666667,"('20648',)"
70170,70036,1,0.4166666666666667,"('20648',)"
70036,70174,1,0.6333333333333333,"('20648',)"
999777,999778,1,0.48333333333333334,"('20648',)"
999778,59244,1,0.6,"('20648',)"
59244,59260,1,1.4666666666666666,"('20648',)"
59266,59310,1,1.2666666666666666,"('20648',)"
99970173,99970098,1,0.43333333333333335,"('20648',)"
99970098,59900,1,0.7,"('20648',)"
86900,86126,1,1.0833333333333333,"('20649',)"
86126,86128,1,0.8166666666666667,"('20649',)"
86128,99973230,1,1.2333333333333334,"('20649',)"
99973230,86140,1,0.21666666666666667,"('20649',)"
86142,86144,1,0.35,"('20649',)"
86144,86146,1,0.31666666666666665,"('20649',)"
86146,86178,1,0.3,"('20649',)"
86178,72150,1,0.4666666666666667,"('20649',)"
72150,99969922,1,0.6333333333333333,"('20649',)"
99969922,99970558,1,0.5666666666666667,"('20649',)"
99970558,72160,1,0.9,"('20649',)"
72160,72164,1,0.36666666666666664,"('20649',)"
72164,72166,1,0.23333333333333334,"('20649',)"
72166,72170,1,0.7833333333333333,"('20649',)"
72170,72110,1,1.1,"('20649',)"
72110,72112,2,0.5333333333333333,"('20649', '20703')"
72112,72114,2,1.2833333333333334,"('20649', '20703')"
72114,72034,1,1.0,"('20649',)"
72034,72036,1,0.38333333333333336,"('20649',)"
72038,72040,1,0.8833333333333333,"('20649',)"
72040,72042,1,0.48333333333333334,"('20649',)"
72042,72044,1,0.6666666666666666,"('20649',)"
72044,72046,1,0.25,"('20649',)"
72046,72048,1,0.7666666666666667,"('20649',)"
72048,72049,1,1.8166666666666667,"('20649',)"
72049,72002,3,0.6083333333333334,"('20649', '20680', '20707')"
71030,71108,1,0.55,"('20649',)"
71124,61016,1,1.25,"('20649',)"
61016,60108,1,0.75,"('20649',)"
99973407,60110,1,1.15,"('20649',)"
60110,60102,1,0.5,"('20649',)"
60102,60098,1,0.7333333333333333,"('20649',)"
60098,60094,1,0.7,"('20649',)"
60094,60090,1,0.6,"('20649',)"
99971898,99971932,1,0.8666666666666667,"('20649',)"
99971932,60088,1,2.433333333333333,"('20649',)"
60088,60086,1,0.6833333333333333,"('20649',)"
60084,53010,1,1.55,"('20649',)"
53022,53516,1,1.4833333333333334,"('20649',)"
53036,53030,2,0.5166666666666667,"('20649', '20668')"
53030,53176,2,0.7166666666666667,"('20649', '20668')"
53176,53900,3,1.4083333333333332,"('20649', '20668', '20698')"
130050,130092,1,1.5833333333333333,"('20650',)"
130092,130094,2,0.31666666666666665,"('20650', '20653')"
130094,130096,2,0.5,"('20650', '20653')"
130096,130098,2,0.45,"('20650', '20653')"
130098,129230,2,0.48333333333333334,"('20650', '20653')"
129230,129226,2,0.21666666666666667,"('20650', '20653')"
129226,129228,2,0.5333333333333333,"('20650', '20653')"
129228,129236,2,0.38333333333333336,"('20650', '20653')"
129236,106136,2,0.5833333333333334,"('20650', '20653')"
106136,106324,1,0.6333333333333333,"('20650',)"
106324,106330,1,0.9166666666666666,"('20650',)"
106330,106468,1,1.1666666666666667,"('20650',)"
106468,129192,1,0.6833333333333333,"('20650',)"
129192,129198,1,0.7666666666666667,"('20650',)"
129198,129120,1,0.45,"('20650',)"
129120,129122,1,0.3,"('20650',)"
129122,129124,1,0.9333333333333333,"('20650',)"
129124,129126,1,0.7,"('20650',)"
129206,99971541,1,0.8666666666666667,"('20650',)"
99971541,99971957,1,0.6,"('20650',)"
99969968,99973257,1,1.35,"('20650',)"
99973257,128026,1,1.05,"('20650',)"
128026,128028,1,0.36666666666666664,"('20650',)"
128028,128030,1,0.48333333333333334,"('20650',)"
128032,128034,1,0.4,"('20650',)"
128036,128038,1,0.6166666666666667,"('20650',)"
128038,128042,1,0.8166666666666667,"('20650',)"
128042,128190,1,0.9,"('20650',)"
99973147,128104,1,0.5166666666666667,"('20650',)"
128110,128112,1,0.18333333333333332,"('20650',)"
128112,128114,1,0.4166666666666667,"('20650',)"
128114,127044,1,0.8833333333333333,"('20650',)"
127044,99972451,1,1.0166666666666666,"('20650',)"
99973478,126102,1,0.5666666666666667,"('20650',)"
126102,127068,1,1.0,"('20650',)"
126074,126078,1,0.65,"('20650',)"
126120,126122,2,0.7666666666666667,"('20650', '20669')"
126122,126004,1,1.5166666666666666,"('20650',)"
126004,99973898,1,1.2,"('20650',)"
99972009,116020,1,1.2333333333333334,"('20650',)"
116020,116024,1,1.0333333333333334,"('20650',)"
116024,103083,1,3.8,"('20650',)"
102009,99973476,1,0.6666666666666666,"('20650',)"
99973476,103900,1,1.85,"('20650',)"
81910,81005,1,1.4166666666666667,"('20651',)"
81005,81082,1,0.65,"('20651',)"
81082,81083,1,1.0833333333333333,"('20651',)"
81083,80243,1,0.9166666666666666,"('20651',)"
80243,80171,1,0.6166666666666667,"('20651',)"
80171,80251,1,0.75,"('20651',)"
80251,80396,1,0.6833333333333333,"('20651',)"
80396,80402,1,0.8833333333333333,"('20651',)"
80402,80406,1,0.85,"('20651',)"
80406,80400,1,0.9333333333333333,"('20651',)"
80400,68276,1,0.9833333333333333,"('20651',)"
68276,68278,1,0.4666666666666667,"('20651',)"
80060,68248,1,1.2166666666666666,"('20651',)"
68248,68252,1,1.0333333333333334,"('20651',)"
68254,68256,1,1.1333333333333333,"('20651',)"
68260,68262,1,1.3333333333333333,"('20651',)"
68266,68267,1,0.7166666666666667,"('20651',)"
68267,58116,1,1.0666666666666667,"('20651',)"
58116,58118,1,0.55,"('20651',)"
58120,58122,1,0.7833333333333333,"('20651',)"
58122,58124,1,0.6666666666666666,"('20651',)"
58124,58126,1,1.0,"('20651',)"
58126,99971393,1,1.15,"('20651',)"
99971393,57116,1,1.3833333333333333,"('20651',)"
57116,57034,1,1.1,"('20651',)"
50011,99972380,1,0.6,"('20651',)"
99972380,50004,1,1.35,"('20651',)"
50004,50022,1,0.8166666666666667,"('20651',)"
99970318,99970077,1,4.783333333333333,"('20651',)"
99970333,99970078,1,2.95,"('20651',)"
99970078,99970093,1,1.8333333333333333,"('20651',)"
99970079,99970080,1,1.7333333333333334,"('20651',)"
99970080,99970088,1,3.1,"('20651',)"
67196,67194,1,0.9,"('20652',)"
67194,67192,1,0.4666666666666667,"('20652',)"
67192,67188,1,0.8666666666666667,"('20652',)"
67188,67186,1,0.21666666666666667,"('20652',)"
67186,67184,1,0.3333333333333333,"('20652',)"
67184,67182,1,0.6166666666666667,"('20652',)"
67182,67180,1,0.9333333333333333,"('20652',)"
67180,67176,1,1.1333333333333333,"('20652',)"
67174,67172,1,1.4166666666666667,"('20652',)"
67172,67135,1,0.31666666666666665,"('20652',)"
67135,67169,1,0.85,"('20652',)"
67169,67292,1,0.6333333333333333,"('20652',)"
67292,67170,1,0.38333333333333336,"('20652',)"
67170,67166,1,0.5333333333333333,"('20652',)"
67166,67165,1,0.36666666666666664,"('20652',)"
67282,67284,1,1.0833333333333333,"('20652',)"
67284,68160,1,0.35,"('20652',)"
68160,99973764,1,1.05,"('20652',)"
99973764,99973781,1,1.15,"('20652',)"
99973781,99971116,1,1.0333333333333334,"('20652',)"
99971116,99971117,1,0.9666666666666667,"('20652',)"
99971117,99973819,1,1.1,"('20652',)"
99973819,99973879,1,0.9833333333333333,"('20652',)"
99973879,99973820,1,0.45,"('20652',)"
99973820,99973768,1,1.2666666666666666,"('20652',)"
99973768,99973769,1,1.1666666666666667,"('20652',)"
99973769,81910,1,1.8833333333333333,"('20652',)"
99972600,99972588,1,1.45,"('20653',)"
99972588,99972589,1,0.8,"('20653',)"
99972589,99973199,1,0.35,"('20653',)"
99973199,99972591,1,1.1,"('20653',)"
99972591,153031,1,0.6333333333333333,"('20653',)"
153031,153037,1,0.7166666666666667,"('20653',)"
153036,153132,1,0.95,"('20653',)"
153132,153126,1,0.8166666666666667,"('20653',)"
153126,153016,1,0.55,"('20653',)"
153016,153054,1,0.7833333333333333,"('20653',)"
153054,153020,1,1.1333333333333333,"('20653',)"
153020,130084,1,1.3333333333333333,"('20653',)"
130084,130080,1,1.0666666666666667,"('20653',)"
130076,130086,1,0.8333333333333334,"('20653',)"
130086,130200,1,0.9166666666666666,"('20653',)"
130200,130198,1,0.6833333333333333,"('20653',)"
130198,130090,1,1.15,"('20653',)"
130090,130092,1,1.05,"('20653',)"
106136,106108,1,0.6,"('20653',)"
106110,106112,1,0.4,"('20653',)"
106112,106114,1,0.23333333333333334,"('20653',)"
106114,106116,1,0.7333333333333333,"('20653',)"
106118,106120,1,0.31666666666666665,"('20653',)"
106122,106124,1,0.2833333333333333,"('20653',)"
106128,106130,1,0.5166666666666667,"('20653',)"
106398,106396,1,0.26666666666666666,"('20653',)"
106396,106392,1,0.38333333333333336,"('20653',)"
85436,85432,1,0.25,"('20653',)"
85428,85424,1,0.21666666666666667,"('20653',)"
85424,85420,1,0.6166666666666667,"('20653',)"
85066,99974038,1,0.4166666666666667,"('20653',)"
84902,99973365,1,1.8333333333333333,"('20654',)"
99973365,99974115,1,0.6833333333333333,"('20654',)"
99974115,99973362,1,0.65,"('20654',)"
99973362,85124,1,0.8333333333333334,"('20654',)"
85124,85126,1,1.0166666666666666,"('20654',)"
85126,85138,1,0.6,"('20654',)"
85138,85900,1,1.3833333333333333,"('20654',)"
85900,85145,2,0.65,"('20654', '20707')"
85145,85400,1,0.9333333333333333,"('20654',)"
85400,85402,1,0.23333333333333334,"('20654',)"
85402,85404,1,0.25,"('20654',)"
85404,85406,1,0.18333333333333332,"('20654',)"
85406,85410,1,0.5333333333333333,"('20654',)"
85410,85411,1,0.31666666666666665,"('20654',)"
85411,71282,1,0.45,"('20654',)"
71282,71284,1,0.38333333333333336,"('20654',)"
71286,71288,1,0.36666666666666664,"('20654',)"
71288,71300,1,0.2,"('20654',)"
71300,71302,1,0.4166666666666667,"('20654',)"
71304,71306,1,0.3333333333333333,"('20654',)"
71306,71332,1,0.6166666666666667,"('20654',)"
71332,71354,1,0.85,"('20654',)"
71354,99973251,1,1.3166666666666667,"('20654',)"
71314,71316,1,0.7,"('20654',)"
71318,71320,1,0.55,"('20654',)"
71320,61172,1,1.0833333333333333,"('20654',)"
61172,61174,1,0.9,"('20654',)"
61174,61176,1,0.8,"('20654',)"
61178,61180,1,0.21666666666666667,"('20654',)"
61182,61192,1,0.5833333333333334,"('20654',)"
61192,61184,1,0.75,"('20654',)"
61184,60031,1,0.9833333333333333,"('20654',)"
60360,99971996,1,0.3,"('20654',)"
99971996,53252,1,0.5,"('20654',)"
53254,53256,1,0.4,"('20654',)"
53256,53258,1,0.5166666666666667,"('20654',)"
53258,53260,1,0.26666666666666666,"('20654',)"
53260,53262,1,0.48333333333333334,"('20654',)"
54148,54150,1,0.2833333333333333,"('20654',)"
46216,46218,1,0.6666666666666666,"('20654',)"
46222,46224,1,0.11666666666666667,"('20654',)"
46156,46900,1,1.2833333333333334,"('20654',)"
86900,99973351,1,1.2666666666666666,"('20655',)"
99973351,86019,1,1.5833333333333333,"('20655',)"
86019,99971995,1,0.5666666666666667,"('20655',)"
99971995,86202,1,0.7833333333333333,"('20655',)"
86202,86204,1,0.7,"('20655',)"
86204,86206,1,0.5166666666666667,"('20655',)"
86206,86208,1,0.23333333333333334,"('20655',)"
86208,99971201,1,0.9666666666666667,"('20655',)"
99971201,107294,1,0.38333333333333336,"('20655',)"
107294,107296,1,0.9333333333333333,"('20655',)"
107296,999790,1,0.5,"('20655',)"
999790,107306,1,0.6166666666666667,"('20655',)"
107306,107304,1,0.26666666666666666,"('20655',)"
107304,106440,1,1.2166666666666666,"('20655',)"
106440,106438,1,0.65,"('20655',)"
106438,104436,1,0.5333333333333333,"('20655',)"
104436,106434,1,0.6833333333333333,"('20655',)"
106434,106433,1,0.6,"('20655',)"
106433,106426,1,0.55,"('20655',)"
106422,106420,1,0.3333333333333333,"('20655',)"
106420,106416,1,0.7666666666666667,"('20655',)"
99971202,106432,1,0.8833333333333333,"('20655',)"
106432,106428,1,0.36666666666666664,"('20655',)"
106428,105572,1,0.6666666666666666,"('20655',)"
105572,105456,1,0.8333333333333334,"('20655',)"
105455,105452,1,0.4166666666666667,"('20655',)"
105228,105232,1,0.9,"('20655',)"
105232,105234,1,0.31666666666666665,"('20655',)"
105234,105236,1,0.8166666666666667,"('20655',)"
105236,105238,1,0.4666666666666667,"('20655',)"
105238,105240,1,0.25,"('20655',)"
105250,104048,1,0.8666666666666667,"('20655',)"
104068,104076,1,1.1333333333333333,"('20655',)"
104076,103090,2,0.8333333333333334,"('20655', '20697')"
103090,103092,2,0.21666666666666667,"('20655', '20697')"
103092,103095,2,0.4666666666666667,"('20655', '20697')"
103168,103170,2,1.3666666666666667,"('20655', '20697')"
103170,103169,2,0.7833333333333333,"('20655', '20697')"
103169,103022,2,0.5,"('20655', '20697')"
103022,103024,2,0.55,"('20655', '20697')"
103024,103026,2,0.6,"('20655', '20697')"
103026,102152,1,1.6333333333333333,"('20655',)"
102062,102156,2,0.3,"('20655', '20667')"
102156,102274,1,1.1,"('20655',)"
84901,99974208,1,2.5833333333333335,"('20656',)"
99974208,105570,1,1.0833333333333333,"('20656',)"
105570,105372,1,0.7833333333333333,"('20656',)"
105372,105374,1,0.6666666666666666,"('20656',)"
105374,105376,1,0.3333333333333333,"('20656',)"
105376,105378,1,0.35,"('20656',)"
105378,105380,1,0.26666666666666666,"('20656',)"
105380,105382,1,0.25,"('20656',)"
105382,105383,1,0.6166666666666667,"('20656',)"
105383,105384,1,0.5666666666666667,"('20656',)"
105384,105386,1,0.5,"('20656',)"
105386,105390,1,0.43333333333333335,"('20656',)"
105392,105394,1,0.2,"('20656',)"
105396,106380,1,0.5833333333333334,"('20656',)"
106298,106428,1,0.2833333333333333,"('20656',)"
106428,105578,1,0.85,"('20656',)"
105578,105517,1,0.65,"('20656',)"
105517,105523,1,0.7666666666666667,"('20656',)"
105523,106478,1,0.7,"('20656',)"
106478,106178,1,0.31666666666666665,"('20656',)"
106308,106474,1,0.23333333333333334,"('20656',)"
106310,106312,1,0.5166666666666667,"('20656',)"
106312,106064,1,0.6,"('20656',)"
106066,106068,1,0.3,"('20656',)"
106072,106074,1,0.16666666666666666,"('20656',)"
106076,106078,1,0.38333333333333336,"('20656',)"
106078,106002,1,0.45,"('20656',)"
106006,106008,1,0.21666666666666667,"('20656',)"
106008,106012,1,0.9333333333333333,"('20656',)"
106018,106020,1,0.36666666666666664,"('20656',)"
99971783,99971781,1,0.8333333333333334,"('20656',)"
99973262,107326,1,0.18333333333333332,"('20656',)"
107324,99971775,1,0.5333333333333333,"('20656',)"
107106,107104,2,0.25,"('20656', '20700')"
