,,update_count,driving_time,routes
1538,2249,4,1.0,"['1', '1', '1', '1']"
2249,1437,7,1.0,"['1', '1', '1', '1', '77', '90', '90']"
1437,854,11,0.6000000000000001,"['1', '1', '1', '1', '39', '39', '39', '39', '77', '90', '90']"
854,1446,7,1.0,"['1', '1', '1', '1', '77', '90', '90']"
1446,1451,4,1.3333333333333333,"['1', '1', '1', '1']"
1451,1453,4,0.0,"['1', '1', '1', '1']"
1453,1454,4,1.0,"['1', '1', '1', '1']"
1454,201,4,0.33333333333333337,"['1', '1', '1', '1']"
201,1455,4,0.6666666666666667,"['1', '1', '1', '1']"
1455,1456,4,0.0,"['1', '1', '1', '1']"
1456,1457,4,0.33333333333333337,"['1', '1', '1', '1']"
1457,1458,4,1.0,"['1', '1', '1', '1']"
1458,1459,4,0.0,"['1', '1', '1', '1']"
1459,1460,4,1.0,"['1', '1', '1', '1']"
1460,1461,4,0.0,"['1', '1', '1', '1']"
1461,1462,4,1.0,"['1', '1', '1', '1']"
1462,1463,4,1.0,"['1', '1', '1', '1']"
1463,1439,4,0.0,"['1', '1', '1', '1']"
1439,1464,4,0.6666666666666667,"['1', '1', '1', '1']"
1464,1465,4,0.33333333333333337,"['1', '1', '1', '1']"
1465,340,4,0.6666666666666667,"['1', '1', '1', '1']"
340,1466,4,0.33333333333333337,"['1', '1', '1', '1']"
1466,1187,4,0.0,"['1', '1', '1', '1']"
1187,1440,4,0.6666666666666667,"['1', '1', '1', '1']"
1440,1468,4,1.0,"['1', '1', '1', '1']"
1468,372,4,0.0,"['1', '1', '1', '1']"
372,378,4,1.0,"['1', '1', '1', '1']"
378,1443,4,0.0,"['1', '1', '1', '1']"
1443,728,4,1.0,"['1', '1', '1', '1']"
728,31,6,0.4,"['1', '1', '1', '1', '10', '10']"
31,1444,6,1.0,"['1', '1', '1', '1', '10', '10']"
1444,1068,6,0.0,"['1', '1', '1', '1', '10', '10']"
1068,48,6,1.0,"['1', '1', '1', '1', '10', '10']"
48,1445,6,0.0,"['1', '1', '1', '1', '10', '10']"
1445,1467,6,1.0,"['1', '1', '1', '1', '10', '10']"
1467,65,6,0.2,"['1', '1', '1', '1', '10', '10']"
65,70,9,0.0,"['1', '1', '1', '1', '10', '10', '35', '35', '35']"
70,78,6,0.8,"['1', '1', '1', '1', '10', '10']"
78,1442,6,0.2,"['1', '1', '1', '1', '10', '10']"
1442,1441,6,0.8,"['1', '1', '1', '1', '10', '10']"
1441,770,10,0.22222222222222227,"['1', '1', '1', '1', '10', '10', '31', '31', '31', '31']"
770,1447,8,1.0,"['1', '1', '1', '1', '31', '31', '31', '31']"
1447,1448,8,1.0,"['1', '1', '1', '1', '31', '31', '31', '31']"
1448,1449,8,0.0,"['1', '1', '1', '1', '31', '31', '31', '31']"
1449,90,8,0.5714285714285714,"['1', '1', '1', '1', '31', '31', '31', '31']"
90,1449,7,0.8333333333333334,"['1', '31', '37', '37', '37', '37', '37']"
1449,1447,7,0.0,"['1', '31', '37', '37', '37', '37', '37']"
1447,770,7,0.8333333333333334,"['1', '31', '37', '37', '37', '37', '37']"
770,1441,10,0.11111111111111113,"['1', '10', '10', '10', '31', '37', '37', '37', '37', '37']"
1441,1442,4,1.0,"['1', '10', '10', '10']"
1442,70,4,1.0,"['1', '10', '10', '10']"
70,65,4,0.0,"['1', '10', '10', '10']"
65,1467,4,1.0,"['1', '10', '10', '10']"
1467,1445,4,1.0,"['1', '10', '10', '10']"
1445,48,4,0.6666666666666667,"['1', '10', '10', '10']"
48,1068,4,0.3333333333333333,"['1', '10', '10', '10']"
1068,1444,4,0.6666666666666667,"['1', '10', '10', '10']"
1444,31,4,0.3333333333333333,"['1', '10', '10', '10']"
31,728,4,0.6666666666666667,"['1', '10', '10', '10']"
728,1443,1,1.0,['1']
1443,378,1,1.0,['1']
378,372,1,0.0,['1']
372,1468,1,1.0,['1']
1468,1440,1,1.0,['1']
1440,1466,1,0.0,['1']
1466,1465,1,1.0,['1']
1465,1464,1,1.0,['1']
1464,1463,1,0.0,['1']
1463,1462,1,1.0,['1']
1462,1461,1,1.0,['1']
1461,1460,1,0.0,['1']
1460,1459,1,1.0,['1']
1459,1458,1,0.0,['1']
1458,1457,1,1.0,['1']
1457,1455,1,0.0,['1']
1455,201,1,1.0,['1']
201,1454,1,0.0,['1']
1454,1453,1,1.0,['1']
1453,1451,1,0.0,['1']
1451,1446,1,2.0,['1']
1446,854,8,1.0,"['1', '77', '77', '77', '77', '90', '90', '90']"
854,1437,8,0.7142857142857144,"['1', '77', '77', '77', '77', '90', '90', '90']"
1437,1538,6,2.4,"['1', '19', '19', '19', '8', '8']"
866,858,4,1.0,"['10', '10', '19', '19']"
858,2037,4,0.0,"['10', '10', '19', '19']"
2037,857,2,0.0,"['10', '10']"
857,860,2,1.0,"['10', '10']"
860,862,2,1.0,"['10', '10']"
862,258,2,1.0,"['10', '10']"
258,855,2,0.0,"['10', '10']"
855,861,2,1.0,"['10', '10']"
861,251,2,0.0,"['10', '10']"
251,856,2,1.0,"['10', '10']"
856,859,2,1.0,"['10', '10']"
859,1687,2,1.0,"['10', '10']"
1687,234,2,1.0,"['10', '10']"
234,1689,2,0.0,"['10', '10']"
1689,229,2,1.0,"['10', '10']"
229,532,2,1.0,"['10', '10']"
532,1686,2,1.0,"['10', '10']"
1686,1690,2,1.0,"['10', '10']"
1690,1688,2,1.0,"['10', '10']"
1688,23,5,1.0,"['10', '10', '8', '8', '8']"
23,735,5,1.0,"['10', '10', '8', '8', '8']"
735,732,8,1.0,"['10', '10', '11', '11', '11', '8', '8', '8']"
732,549,8,1.0,"['10', '10', '11', '11', '11', '8', '8', '8']"
549,726,5,1.0,"['10', '10', '11', '11', '11']"
726,882,5,1.0,"['10', '10', '11', '11', '11']"
882,727,4,0.6666666666666667,"['10', '10', '9', '9']"
727,731,4,1.6666666666666665,"['10', '10', '9', '9']"
731,101,2,1.0,"['10', '10']"
101,724,2,1.0,"['10', '10']"
724,733,2,1.0,"['10', '10']"
733,736,2,0.0,"['10', '10']"
736,730,2,1.0,"['10', '10']"
730,734,2,1.0,"['10', '10']"
734,729,2,1.0,"['10', '10']"
729,725,2,0.0,"['10', '10']"
725,728,2,0.0,"['10', '10']"
770,774,2,1.0,"['10', '10']"
774,773,2,1.0,"['10', '10']"
773,769,2,0.0,"['10', '10']"
769,768,2,1.0,"['10', '10']"
768,771,2,0.0,"['10', '10']"
771,775,2,1.0,"['10', '10']"
775,772,2,0.0,"['10', '10']"
772,1029,6,1.0,"['10', '10', '39', '39', '39', '39']"
1029,1020,6,0.0,"['10', '10', '39', '39', '39', '39']"
1020,1030,6,0.6000000000000001,"['10', '10', '39', '39', '39', '39']"
1030,1046,6,0.4,"['10', '10', '39', '39', '39', '39']"
1046,1045,6,0.4,"['10', '10', '39', '39', '39', '39']"
1045,783,6,0.4,"['10', '10', '39', '39', '39', '39']"
783,1796,2,1.0,"['10', '10']"
1796,103,2,1.0,"['10', '10']"
103,106,2,0.0,"['10', '10']"
106,785,2,1.0,"['10', '10']"
785,114,2,1.0,"['10', '10']"
114,1022,2,0.0,"['10', '10']"
1022,1047,2,1.0,"['10', '10']"
1047,1028,2,0.0,"['10', '10']"
1028,1052,2,1.0,"['10', '10']"
1052,792,2,1.0,"['10', '10']"
792,1811,6,0.0,"['10', '10', '39', '39', '39', '39']"
1811,1810,1,0.0,['10']
1810,792,2,1.0,"['10', '10']"
792,1052,3,1.0,"['10', '10', '10']"
1052,1025,3,0.5,"['10', '10', '10']"
1025,1028,3,0.5,"['10', '10', '10']"
1028,1047,3,0.5,"['10', '10', '10']"
1047,1022,3,0.5,"['10', '10', '10']"
1022,785,3,0.5,"['10', '10', '10']"
785,106,3,1.0,"['10', '10', '10']"
106,103,3,1.0,"['10', '10', '10']"
103,1796,3,0.0,"['10', '10', '10']"
1796,783,3,1.0,"['10', '10', '10']"
783,1045,4,0.33333333333333337,"['10', '10', '10', '39']"
1045,1046,4,0.6666666666666667,"['10', '10', '10', '39']"
1046,1031,4,0.33333333333333337,"['10', '10', '10', '39']"
1031,1030,4,1.0,"['10', '10', '10', '39']"
1030,1020,4,0.6666666666666667,"['10', '10', '10', '39']"
1020,1029,4,0.33333333333333337,"['10', '10', '10', '39']"
1029,772,4,1.0,"['10', '10', '10', '39']"
772,775,3,1.0,"['10', '10', '10']"
775,771,3,0.0,"['10', '10', '10']"
771,768,3,0.0,"['10', '10', '10']"
768,769,3,1.0,"['10', '10', '10']"
769,774,3,0.0,"['10', '10', '10']"
774,770,3,1.0,"['10', '10', '10']"
728,725,3,0.0,"['10', '10', '10']"
725,729,3,0.5,"['10', '10', '10']"
729,734,3,1.0,"['10', '10', '10']"
734,730,3,0.5,"['10', '10', '10']"
730,736,3,1.0,"['10', '10', '10']"
736,733,3,1.0,"['10', '10', '10']"
