,stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,geometry,closest_hospital_distance,closest_grocery_distance,closest_park_distance,closest_bar_distance,closest_worship_distance,closest_mcdonalds_distance,closest_starbucks_distance,near_hospital,near_grocery,near_park,near_bar,near_worship,near_mcdonalds,near_starbucks,total_population,white_population,black_population,asian_population,total_housing_units,owner_occupied_units,rentor_occupied_units,population_over_age_25,has_bachelors_degree,has_masters_degree,has_professional_degree,state,county,tract,block group,has_doctorate,total_income_known,income_to_poverty_above_200,vehicles,total_population_percent,white_population_percent,black_population_percent,asian_population_percent,total_housing_units_percent,owner_occupied_units_percent,rentor_occupied_units_percent,population_over_age_25_percent,has_bachelors_degree_percent,has_masters_degree_percent,has_professional_degree_percent,has_doctorate_percent,total_income_known_percent,income_to_poverty_above_200_percent,vehicles_percent,less_than_a_bachelors_degree,less_than_a_bachelors_degree_percent,income_to_poverty_under_200,income_to_poverty_under_200_percent,routes
0,00001,,COLUMBUS ST & BROADWAY,,41.392985,-81.536518,,,0,,0,POINT (-81.536518 41.392985),5132.405749415229,1027.1222606143358,893.5928114140846,224.67781666430716,691.3065850972948,5515.075812349575,7394.597427725849,False,False,False,True,False,False,False,1082,568,465,0,402,311,91,729,193,71,0,39,35,132200,2,0,1082,640,,1.0,0.5249537892791127,0.4297597042513863,0.0,1.0,0.7736318407960199,0.2263681592039801,1.0,0.26474622770919065,0.09739368998628258,0.0,0.0,1.0,0.5914972273567468,,465,0.6378600823045267,442,0.40850277264325324,
1,00002,,10800 BROOKPARK RD (HOME DEPOT),,41.418571,-81.760947,,,0,,0,POINT (-81.760947 41.418571),7550.052791834641,145.7718810235823,3412.0424550023918,745.9102761489726,1124.4060104656842,180.10001929766676,604.7663685558326,False,True,False,False,False,True,False,1988,1096,407,31,936,235,701,1243,254,58,0,39,35,137101,2,0,1988,1168,1342.0,1.0,0.5513078470824949,0.20472837022132798,0.015593561368209255,1.0,0.25106837606837606,0.7489316239316239,1.0,0.20434432823813356,0.04666130329847144,0.0,0.0,1.0,0.5875251509054326,0.6750503018108652,931,0.7489943684633951,820,0.4124748490945674,
2,00003,,BROADWAY & BOOTH AV,,41.450382,-81.629692,,,0,,0,POINT (-81.629692 41.450382),6425.113719980776,1375.3833090599444,7846.464540147686,483.02627695176517,80.09452469003905,2558.8631036333936,4702.785111039054,False,False,False,False,True,False,False,816,545,152,0,276,74,202,490,0,12,0,39,35,115800,2,0,801,233,394.0,1.0,0.6678921568627451,0.18627450980392157,0.0,1.0,0.26811594202898553,0.7318840579710145,1.0,0.0,0.024489795918367346,0.0,0.0,1.0,0.2908863920099875,0.48284313725490197,478,0.9755102040816327,568,0.7091136079900124,
3,00004,,EUCLID AV & E 100TH ST,,41.503697,-81.618108,,,0,,0,POINT (-81.618108 41.503697),1119.5133770380553,1330.2781180548172,13205.078318455295,1516.9507820697968,609.6318062114531,3413.3453513741497,1202.7888430580767,False,False,False,False,False,False,False,735,345,234,139,489,86,403,535,92,22,225,39,35,118900,2,25,735,465,353.0,1.0,0.46938775510204084,0.3183673469387755,0.1891156462585034,1.0,0.17586912065439672,0.8241308793456033,1.0,0.17196261682242991,0.041121495327102804,0.4205607476635514,0.04672897196261682,1.0,0.6326530612244898,0.48027210884353744,171,0.31962616822429907,270,0.3673469387755102,
4,00005,,10081 W RIDGEWOOD DR,,41.384506,-81.756317,,,0,,0,POINT (-81.756317 41.384506),6467.282218146384,786.4210193266615,217.88528672614413,817.7848882460964,1426.8003372626497,1883.7024318769775,1959.3604256518654,False,False,True,False,False,False,False,810,725,85,0,336,204,132,509,95,16,17,39,35,178204,3,0,788,649,637.0,1.0,0.8950617283950617,0.10493827160493827,0.0,1.0,0.6071428571428571,0.39285714285714285,1.0,0.18664047151277013,0.03143418467583497,0.03339882121807466,0.0,1.0,0.8236040609137056,0.7864197530864198,381,0.7485265225933202,139,0.17639593908629442,
5,00006,,WASHINGTON AV & W 25TH ST,,41.493045,-81.708601,,,0,,0,POINT (-81.708601 41.493045),2104.366736469187,964.7321668061253,12058.946642124445,206.50123198328828,122.303590776796,4706.051375034903,1138.090172666609,False,False,False,True,True,False,False,1227,66,903,0,589,0,589,488,17,0,0,39,35,103300,2,0,1227,200,370.0,1.0,0.05378973105134474,0.7359413202933985,0.0,1.0,0.0,1.0,1.0,0.03483606557377049,0.0,0.0,0.0,1.0,0.16299918500407498,0.3015484922575387,471,0.9651639344262295,1027,0.837000814995925,
6,00007,,CORLETT AV & E 131ST ST,,41.455665,-81.591282,,,0,,0,POINT (-81.591282 41.455665),4903.2542835110435,1000.7051515701845,7654.581968262183,1177.276133217195,717.7534067143903,3398.742932668266,5064.9212220026375,False,False,False,False,False,False,False,644,0,644,0,269,154,115,528,29,32,0,39,35,121100,1,0,644,468,424.0,1.0,0.0,1.0,0.0,1.0,0.5724907063197026,0.4275092936802974,1.0,0.054924242424242424,0.06060606060606061,0.0,0.0,1.0,0.7267080745341615,0.6583850931677019,467,0.884469696969697,176,0.2732919254658385,
7,00008,,HARVARD AV & E 150TH ST,,41.449474,-81.576578,,,0,,0,POINT (-81.576578 41.449474),3919.1897196855625,1284.9031221883306,7099.988247576814,1386.4906166461337,671.0729221769077,4883.4198612722275,5612.962980253005,False,False,False,False,False,False,False,632,20,521,0,221,135,86,447,8,2,0,39,35,121500,2,0,632,264,299.0,1.0,0.03164556962025317,0.8243670886075949,0.0,1.0,0.6108597285067874,0.3891402714932127,1.0,0.017897091722595078,0.0044742729306487695,0.0,0.0,1.0,0.4177215189873418,0.47310126582278483,437,0.9776286353467561,368,0.5822784810126582,
8,00009,,HARVARD AV & ACCESS DR,,41.44976,-81.562756,,,0,,0,POINT (-81.562756 41.44976),2874.0005223578673,155.18745048745325,7396.767882503935,2593.7480767346024,237.88191935576143,5960.388350467927,4432.920053759426,False,True,False,False,True,False,False,860,225,618,7,420,380,40,619,49,2,0,39,35,122100,2,0,860,616,,1.0,0.2616279069767442,0.7186046511627907,0.00813953488372093,1.0,0.9047619047619048,0.09523809523809523,1.0,0.0791599353796446,0.0032310177705977385,0.0,0.0,1.0,0.7162790697674418,,568,0.9176090468497576,244,0.2837209302325581,
9,00010,,19403 HARVARD AV,,41.449933,-81.542923,,,0,,0,POINT (-81.542923 41.449933),1857.8384425959916,1756.814757271662,7117.117938543015,1868.8659758751908,1773.8202111628664,5491.681111760107,2852.060770558206,False,False,False,False,False,False,False,864,3,814,0,318,175,143,452,74,47,34,39,35,188103,2,0,864,432,553.0,1.0,0.003472222222222222,0.9421296296296297,0.0,1.0,0.550314465408805,0.449685534591195,1.0,0.16371681415929204,0.10398230088495575,0.0752212389380531,0.0,1.0,0.5,0.6400462962962963,297,0.6570796460176991,432,0.5,
