,,update_count,driving_time,routes
1538,2249,1,1.0,"('1',)"
2249,1437,2,1.0,"('1', '77')"
1437,854,3,1.0,"('1', '39', '77')"
201,1455,1,0.0,"('1',)"
1441,770,3,0.5,"('1', '31', '37')"
770,1447,3,1.0,"('1', '31', '37')"
2073,2072,1,1.0,"('3',)"
2072,2071,1,0.0,"('3',)"
1513,1723,2,1.0,"('3', '9')"
1723,16,3,1.0,"('3', '9', '55')"
16,1523,3,0.0,"('3', '9', '55')"
1523,809,3,1.5,"('3', '9', '55')"
809,1538,5,0.75,"('3', '9', '26', '22', '55')"
1727,1729,1,1.0,"('7',)"
1904,1726,1,0.0,"('7',)"
898,896,2,0.0,"('7', '28')"
896,897,2,1.0,"('7', '28')"
2073,881,4,1.0,"('31', '37', '35', '41')"
881,2148,2,1.0,"('31', '37')"
2148,982,2,0.0,"('31', '37')"
90,1450,1,0.0,"('31',)"
1450,1470,1,1.0,"('31',)"
2135,2019,3,1.0,"('31', '28', '94')"
2019,1812,3,0.0,"('31', '37', '39')"
1812,1037,3,1.0,"('31', '37', '39')"
1037,2135,3,1.0,"('31', '37', '94')"
2019,2018,1,1.0,"('28',)"
2018,2017,1,0.0,"('28',)"
163,2097,1,2.0,"('28',)"
2140,880,2,1.0,"('28', '34')"
890,1938,2,0.0,"('28', '34')"
90,777,1,1.0,"('37',)"
1660,784,1,0.0,"('37',)"
956,928,2,0.0,"('37', '39')"
928,957,2,1.0,"('37', '39')"
2271,809,4,1.0,"('39', '11', '14', '15')"
809,1279,2,2.0,"('39', '8')"
1279,1437,1,2.0,"('39',)"
854,853,1,1.0,"('39',)"
853,2075,1,0.0,"('39',)"
2075,2211,1,9.0,"('39',)"
865,723,1,2.0,"('40',)"
723,284,1,1.0,"('40',)"
1067,1070,1,0.0,"('40',)"
1535,1512,2,1.0,"('40', '35')"
1504,2070,2,0.0,"('40', '35')"
1085,1073,2,0.0,"('40', '50')"
1073,286,2,1.0,"('40', '50')"
1186,99,2,1.0,"('40', '90')"
1966,152,2,0.0,"('40', '19')"
2201,987,1,0.0,"('48',)"
290,2200,1,1.0,"('48',)"
194,1494,1,3.0,"('48',)"
1494,539,2,1.0,"('48', '11')"
2063,2062,2,2.0,"('48', '9')"
2062,882,2,0.0,"('48', '9')"
889,3,2,0.0,"('50', '6')"
3,882,1,1.0,"('50',)"
882,2062,2,1.0,"('50', '11')"
2062,2063,2,1.0,"('50', '6')"
1494,904,1,0.0,"('50',)"
904,50,1,2.0,"('50',)"
749,739,2,1.0,"('50', '15')"
739,742,2,0.0,"('50', '15')"
1430,1429,1,1.0,"('8',)"
62,530,1,0.0,"('8',)"
532,1688,1,2.0,"('8',)"
