,stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,geometry,routes
0,00001,,COLUMBUS ST & BROADWAY,,41.392985,-81.536518,,,0,,0,POINT (-81.536518 41.392985),
1,00002,,10800 BROOKPARK RD (HOME DEPOT),,41.418571,-81.760947,,,0,,0,POINT (-81.760947 41.418571),"('54',)"
2,00003,,BROADWAY & BOOTH AV,,41.450382,-81.629692,,,0,,0,POINT (-81.629692 41.450382),
3,00004,,EUCLID AV & E 100TH ST,,41.503697,-81.618108,,,0,,0,POINT (-81.618108 41.503697),"('6',)"
4,00005,,10081 W RIDGEWOOD DR,,41.384506,-81.756317,,,0,,0,POINT (-81.756317 41.384506),
5,00006,,WASHINGTON AV & W 25TH ST,,41.493045,-81.708601,,,0,,0,POINT (-81.708601 41.493045),
6,00007,,CORLETT AV & E 131ST ST,,41.455665,-81.591282,,,0,,0,POINT (-81.591282 41.455665),
7,00008,,HARVARD AV & E 150TH ST,,41.449474,-81.576578,,,0,,0,POINT (-81.576578 41.449474),
8,00009,,HARVARD AV & ACCESS DR,,41.44976,-81.562756,,,0,,0,POINT (-81.562756 41.44976),
9,00010,,19403 HARVARD AV,,41.449933,-81.542923,,,0,,0,POINT (-81.542923 41.449933),
10,00011,,HARVARD AV & E 150TH ST,,41.449602,-81.576356,,,0,,0,POINT (-81.576356 41.449602),
11,00012,,BROADWAY & MARBLE AV,,41.455682,-81.635665,,,0,,0,POINT (-81.635665 41.455682),
12,00013,,MILES AV & E 135TH ST,,41.44548,-81.588918,,,0,,0,POINT (-81.588918 41.44548),"('251', '53')"
13,00014,,PROSPECT AV & ONTARIO ST,,41.49803,-81.692012,,,0,,0,POINT (-81.692012 41.49803),
14,00015,,HARVARD AV & LEE RD,,41.449751,-81.564637,,,0,,0,POINT (-81.564637 41.449751),
15,00016,,MILES AV & DANDRIDGE DR,,41.434787,-81.545748,,,0,,0,POINT (-81.545748 41.434787),
16,00017,,MILES AV & DANDRIDGE DR,,41.434945,-81.54575,,,0,,0,POINT (-81.54575 41.434945),"('9', '14', '55', '251', '62', '15')"
17,00018,,MILES AV & E 146TH ST,,41.444196,-81.57956,,,0,,0,POINT (-81.57956 41.444196),
18,00019,,1028 PROSPECT AV E,,41.499123,-81.684377,,,0,,0,POINT (-81.684377 41.499123),"('51',)"
19,00020,,1027 SUPERIOR AV E,,41.502891,-81.687717,,,0,,0,POINT (-81.687717 41.502891),
20,00021,,MILES AV & E 111TH ST,,41.445204,-81.6079,,,0,,0,POINT (-81.6079 41.445204),
21,00022,,W 25TH ST & LORAIN AV,,41.484066,-81.703176,,,0,,0,POINT (-81.703176 41.484066),
22,00023,,HARVARD AV & E 71ST ST,,41.448598,-81.63854,,,0,,0,POINT (-81.63854 41.448598),
23,00024,,10406 KINSMAN RD,,41.469926,-81.612171,,,0,,0,POINT (-81.612171 41.469926),
24,00025,,10335 DETROIT AV,,41.481026,-81.758801,,,0,,0,POINT (-81.758801 41.481026),
25,00026,,10335 DETROIT AV,,41.48118,-81.758991,,,0,,0,POINT (-81.758991 41.48118),
26,00027,,SEVILLE RD & JOHNSTON PKWY,,41.435014,-81.572634,,,0,,0,POINT (-81.572634 41.435014),
27,00028,,QUINCY AV & WOOODHILL RD,,41.49346,-81.612313,,,0,,0,POINT (-81.612313 41.49346),"('53',)"
28,00029,,SEVILLE RD & JOHNSTON PKWY,,41.434929,-81.572532,,,0,,0,POINT (-81.572532 41.434929),
29,00030,,QUINCY AV & E 85TH ST,,41.493463,-81.627669,,,0,,0,POINT (-81.627669 41.493463),"('54',)"
30,00031,,10603 DETROIT AV,,41.481524,-81.760756,,,0,,0,POINT (-81.760756 41.481524),
31,00032,,10603 DETROIT AV,,41.481593,-81.76059,,,0,,0,POINT (-81.76059 41.481593),
32,00033,,11395 BROOKPARK RD,,41.418376,-81.765662,,,0,,0,POINT (-81.765662 41.418376),
33,00034,,BROADVIEW RD & NORTH AV,,41.41711,-81.694469,,,0,,0,POINT (-81.694469 41.41711),
34,00035,,BROOKPARK RD & W 33RD LOOP,,41.419036,-81.706818,,,0,,0,POINT (-81.706818 41.419036),
35,00036,,BROOKPARK RD & TIEDEMAN RD,,41.418531,-81.758152,,,0,,0,POINT (-81.758152 41.418531),
36,00038,,RICHMOND RD & ROBERT BISHOP DR,,41.444263,-81.49768,,,0,,0,POINT (-81.49768 41.444263),
37,00039,,ST. CLAIR AV & E 106TH ST,,41.539638,-81.613489,,,0,,0,POINT (-81.613489 41.539638),
38,00040,,QUINCY AV & E 85TH ST,,41.493374,-81.627862,,,0,,0,POINT (-81.627862 41.493374),
39,00041,,10708 KINSMAN RD,,41.469199,-81.608649,,,0,,0,POINT (-81.608649 41.469199),
40,00042,,GREAT NORTHERN BLVD & BROOKPARK RD,,41.419038,-81.90187,,,0,,0,POINT (-81.90187 41.419038),
41,00043,,MILES AV & E ELMARGE RD,,41.445093,-81.609952,,,0,,0,POINT (-81.609952 41.445093),
42,00044,,GREAT NORTHERN BLVD & COUNTRY CLUB BLVD,,41.416344,-81.902005,,,0,,0,POINT (-81.902005 41.416344),
43,00045,,GREAT NORTHERN BLVD & COUNTRY CLUB BLVD,,41.415878,-81.901663,,,0,,0,POINT (-81.901663 41.415878),
44,00046,,BRUSH RD & METRO DR,,41.586252,-81.497021,,,0,,0,POINT (-81.497021 41.586252),
45,00047,,10705 LORAIN AV,,41.46453,-81.760531,,,0,,0,POINT (-81.760531 41.46453),
46,00048,,1450 E 260TH ST,,41.590494,-81.502902,,,0,,0,POINT (-81.502902 41.590494),
47,00049,,BRUSH RD & METRO DR,,41.58619,-81.49711,,,0,,0,POINT (-81.49711 41.58619),
48,00050,,BRUSH RD & MULBERRY CIR,,41.584778,-81.49555,,,0,,0,POINT (-81.49555 41.584778),
49,00051,,UNION AV & E 113TH ST,,41.463686,-81.605323,,,0,,0,POINT (-81.605323 41.463686),
50,00052,,MONTICELLO BLVD & MONTFORD RD,,41.532215,-81.539876,,,0,,0,POINT (-81.539876 41.532215),
51,00053,,SOM CENTER RD & MAYFIELD RD,,41.520439,-81.438625,,,0,,0,POINT (-81.438625 41.520439),
52,00054,,1424 SOM CENTER RD,,41.521934,-81.43864,,,0,,0,POINT (-81.43864 41.521934),
53,00055,,WILSON MILLS RD & STANWELL DR,,41.539038,-81.472593,,,0,,0,POINT (-81.472593 41.539038),
54,00056,,MONTICELLO BLVD & MONTFORD RD,,41.532504,-81.539815,,,0,,0,POINT (-81.539815 41.532504),
55,00057,,3000 QUIGLEY RD,,41.473327,-81.679309,,,0,,0,POINT (-81.679309 41.473327),
56,00058,,3000 QUIGLEY RD,,41.473328,-81.679171,,,0,,0,POINT (-81.679171 41.473328),
57,00059,,HARVARD AV & WARRENSVILLE CTR RD,,41.449914,-81.536559,,,0,,0,POINT (-81.536559 41.449914),
58,00062,,E 13TH ST & HAMILTON AV,,41.506865,-81.687149,,,0,,0,POINT (-81.687149 41.506865),
59,00064,,BRUSH RD & MULBERRY CIR,,41.585142,-81.495625,,,0,,0,POINT (-81.495625 41.585142),
60,00065,,BUCKEYE RD & MARTIN LUTHER KING DR,,41.481769,-81.609437,,,0,,0,POINT (-81.609437 41.481769),
61,00070,,ST. CLAIR AV & E 112TH ST,,41.540794,-81.60658,,,0,,0,POINT (-81.60658 41.540794),
62,00072,,W PLEASANT VALLEY RD & CUYAHOGA COM COLLEGE WEST,,41.363855,-81.764191,,,0,,0,POINT (-81.764191 41.363855),
63,00078,,11109 W PLEASANT VALLEY RD,,41.363835,-81.763759,,,0,,0,POINT (-81.763759 41.363835),
64,00083,,11216 STOKES BLVD,,41.493975,-81.604735,,,0,,0,POINT (-81.604735 41.493975),
65,00084,,PEARL RD & IDLEWOOD TRAIL,,41.330184,-81.836678,,,0,,0,POINT (-81.836678 41.330184),
66,00088,,BROOKPARK RD & CHEVROLET BLVD,,41.418528,-81.768518,,,0,,0,POINT (-81.768518 41.418528),
67,00089,,BUCKEYE RD & E 114TH ST,,41.481352,-81.605554,,,0,,0,POINT (-81.605554 41.481352),
68,00099,,W PLEASANT VALLEY RD & E BICENTENNIAL DR,,41.363934,-81.768807,,,0,,0,POINT (-81.768807 41.363934),
