,,update_count,driving_time,routes,avg_delay
30021,3625,2,2.0,"('169-13168', '222-13168')",
3625,12116,3,0.5,"('169-13168', '222-13168', '294-13168')",
2499,3567,2,1.0,"('169-13168', '294-13168')",
14196,5852,2,2.0,"('169-13168', '294-13168')",
5852,15547,1,1.0,"('169-13168',)",
15547,15560,2,1.0,"('169-13168', '90-13168')",
15560,15559,2,2.0,"('169-13168', '90-13168')",
14495,14456,1,0.0,"('169-13168',)",
16851,16853,2,1.0,"('169-13168', '158-13168')",
16861,16839,2,0.0,"('169-13168', '158-13168')",
695,9254,2,2.0,"('169-13168', '167-13168')",
9254,9255,2,0.0,"('169-13168', '167-13168')",
9255,9256,2,1.0,"('169-13168', '167-13168')",
696,15163,2,2.0,"('169-13168', '761-13168')",
8517,8525,2,1.0,"('169-13168', '237-13168')",
8525,8519,2,0.0,"('169-13168', '237-13168')",
8519,14588,1,2.0,"('169-13168',)",
14938,14940,2,1.0,"('169-13168', '150-13168')",
6575,6597,2,2.0,"('169-13168', '150-13168')",
6597,7148,3,1.0,"('169-13168', '164-13168', '150-13168')",
30006,13939,1,4.0,"('232-13168',)",
13939,32184,1,3.0,"('232-13168',)",
32184,2647,1,1.0,"('232-13168',)",
2647,23200002,1,0.0,"('232-13168',)",
36491,23200006,1,2.0,"('232-13168',)",
17426,17428,2,1.0,"('232-13168', '205-13168')",
17430,17431,2,2.0,"('232-13168', '205-13168')",
597,176158,1,1.0,"('128-13168',)",
2129,176131,1,2.0,"('128-13168',)",
8693,8695,2,1.0,"('128-13168', '127-13168')",
17245,17246,1,3.0,"('128-13168',)",
17246,17247,1,0.0,"('128-13168',)",
9884,1357,3,1.0,"('128-13168', '125-13168', '127-13168')",
1357,17302,3,0.5,"('128-13168', '125-13168', '127-13168')",
17302,30009,3,2.5,"('128-13168', '125-13168', '127-13168')",
5543,7816,1,2.0,"('115-13168',)",
7816,7822,1,1.0,"('115-13168',)",
7822,7802,1,0.0,"('115-13168',)",
7832,7833,2,0.0,"('115-13168', '211-13168')",
7833,1558,2,1.0,"('115-13168', '211-13168')",
1563,1559,2,1.0,"('115-13168', '212-13168')",
1564,7826,2,0.0,"('115-13168', '212-13168')",
3409,1906,1,3.0,"('115-13168',)",
10457,1926,2,1.0,"('115-13168', '127-13168')",
17880,30016,2,4.0,"('115-13168', '460-13168')",
30020,142127,2,3.0,"('76-13168', '267-13168')",
142127,4933,1,1.0,"('76-13168',)",
4933,15057,1,2.0,"('76-13168',)",
15057,176170,2,1.0,"('76-13168', '267-13168')",
15058,15086,2,0.0,"('76-13168', '267-13168')",
16389,16392,2,1.0,"('76-13168', '487-13168')",
10230,10224,1,0.0,"('76-13168',)",
9218,14694,3,2.0,"('76-13168', '78-13168', '70-13168')",
14694,3934,2,1.0,"('76-13168', '78-13168')",
3934,9061,2,2.0,"('76-13168', '78-13168')",
9061,15612,3,0.5,"('76-13168', '78-13168', '70-13168')",
2397,13560,5,1.0,"('76-13168', '78-13168', '55-13168', '70-13168', '53-13168')",
13560,13561,3,1.5,"('76-13168', '78-13168', '70-13168')",
13561,13562,3,1.0,"('76-13168', '78-13168', '70-13168')",
13567,13568,2,0.0,"('76-13168', '78-13168')",
1866,10395,1,1.0,"('260-13168',)",
10395,11959,1,0.0,"('260-13168',)",
9316,13404,2,0.0,"('260-13168', '686-13168')",
11096,2549,2,1.0,"('260-13168', '179-13168')",
2549,2546,2,0.0,"('260-13168', '179-13168')",
11858,13163,1,2.0,"('260-13168',)",
13161,13165,2,1.0,"('260-13168', '70-13168')",
13146,13138,2,0.0,"('260-13168', '70-13168')",
13138,13150,2,2.0,"('260-13168', '70-13168')",
8742,1767,1,4.0,"('260-13168',)",
1767,30014,1,3.0,"('260-13168',)",
5596,18021,1,1.0,"('78-13168',)",
11339,11342,1,0.0,"('78-13168',)",
16072,11116,1,2.0,"('78-13168',)",
11744,12290,2,0.0,"('78-13168', '106-13168')",
12290,17257,2,2.0,"('78-13168', '106-13168')",
