,,update_count,driving_time,routes,source_stop_id,destination_stop_id,avg_delay
30003,13101,3,3.0,"('96-13172', '164-13172', '165-13172')",30003,13101,2.488646288209607
13101,6614,3,0.0,"('96-13172', '164-13172', '165-13172')",13101,6614,2.620524017467249
6614,4642,3,1.0,"('96-13172', '164-13172', '165-13172')",6614,4642,7.94187725631769
4642,8611,1,1.0,"('96-13172',)",4642,8611,7.91081081081081
8611,10122,1,1.0,"('96-13172',)",8611,10122,3.752
10122,13548,1,1.0,"('96-13172',)",10122,13548,4.112
13548,13546,1,1.0,"('96-13172',)",13548,13546,4.092
13546,13545,1,1.0,"('96-13172',)",13546,13545,3.656
13545,18009,1,2.0,"('96-13172',)",13545,18009,4.0360000000000005
18009,18075,1,2.0,"('96-13172',)",18009,18075,3.412
18075,18076,1,1.0,"('96-13172',)",18075,18076,10.130232558139536
18076,18077,1,1.0,"('96-13172',)",18076,18077,3.792
18077,18078,1,1.0,"('96-13172',)",18077,18078,3.7439999999999998
18078,18079,1,0.0,"('96-13172',)",18078,18079,3.5839999999999996
18079,18080,1,1.0,"('96-13172',)",18079,18080,4.1080000000000005
18080,18081,1,1.0,"('96-13172',)",18080,18081,3.8480000000000003
18081,12591,1,4.0,"('96-13172',)",18081,12591,10.14
12591,18083,1,3.0,"('96-13172',)",12591,18083,3.472
18083,18084,1,1.0,"('96-13172',)",18083,18084,3.292
18084,18085,1,3.0,"('96-13172',)",18084,18085,2.7560000000000002
18085,18086,1,1.0,"('96-13172',)",18085,18086,2.516
18086,9119,1,0.0,"('96-13172',)",18086,9119,9.94864864864865
9119,18087,1,1.0,"('96-13172',)",9119,18087,3.628
18087,18088,1,1.0,"('96-13172',)",18087,18088,3.728
18088,10755,1,1.0,"('96-13172',)",18088,10755,3.512
10755,2193,1,1.0,"('96-13172',)",10755,2193,3.38
2193,12960,1,2.0,"('96-13172',)",2193,12960,5.336
12960,12962,2,0.0,"('96-13172', '603-13172')",12960,12962,3.1311688311688313
12962,4499,2,2.0,"('96-13172', '603-13172')",12962,4499,2.431168831168831
4499,18089,1,0.0,"('96-13172',)",4499,18089,5.268
18089,18090,1,1.0,"('96-13172',)",18089,18090,5.8500000000000005
18090,18091,1,1.0,"('96-13172',)",18090,18091,5.366666666666667
18091,18092,1,1.0,"('96-13172',)",18091,18092,5.283333333333333
18092,18093,1,0.0,"('96-13172',)",18092,18093,5.5625
18093,18094,1,1.0,"('96-13172',)",18093,18094,5.3
18094,18095,1,0.0,"('96-13172',)",18094,18095,5.875
18095,18096,1,1.0,"('96-13172',)",18095,18096,5.729166666666667
18096,12103,1,6.0,"('96-13172',)",18096,12103,5.582142857142857
12103,12098,1,1.0,"('96-13172',)",12103,12098,1.7897058823529413
12098,12616,1,3.0,"('96-13172',)",12098,12616,3.4583333333333335
12616,3106,1,4.0,"('96-13172',)",12616,3106,3.2291666666666665
1428,7268,1,1.0,"('218-13172',)",1428,7268,6.0200000000000005
7268,7293,1,2.0,"('218-13172',)",7268,7293,5.365
7293,7299,1,1.0,"('218-13172',)",7293,7299,4.8950000000000005
7299,7277,1,2.0,"('218-13172',)",7299,7277,4.325
7277,4973,1,2.0,"('218-13172',)",7277,4973,9.290322580645162
4973,3498,2,1.0,"('218-13172', '217-13172')",4973,3498,2.679090909090909
3498,3491,2,1.0,"('218-13172', '217-13172')",3498,3491,2.7163636363636363
3491,3495,2,1.0,"('218-13172', '217-13172')",3491,3495,2.832727272727273
3495,3496,2,1.0,"('218-13172', '217-13172')",3495,3496,2.672727272727273
3496,3494,2,2.0,"('218-13172', '217-13172')",3496,3494,2.389090909090909
3494,1859,2,2.0,"('218-13172', '217-13172')",3494,1859,4.43587786259542
1859,11987,1,1.0,"('218-13172',)",1859,11987,8.85
11987,14387,1,1.0,"('218-13172',)",11987,14387,3.9000000000000004
14387,5980,1,2.0,"('218-13172',)",14387,5980,4.022222222222222
5980,5989,1,1.0,"('218-13172',)",5980,5989,11.006666666666666
5989,32158,1,1.0,"('218-13172',)",5989,32158,5.238888888888889
32158,32159,1,4.0,"('218-13172',)",32158,32159,5.327777777777778
32159,17716,1,3.0,"('218-13172',)",32159,17716,9.727272727272727
17716,32160,1,2.0,"('218-13172',)",17716,32160,5.15
32160,32161,1,3.0,"('218-13172',)",32160,32161,4.333333333333333
32161,32162,1,0.0,"('218-13172',)",32161,32162,4.322222222222222
32162,32163,1,1.0,"('218-13172',)",32162,32163,4.172222222222222
32163,11416,1,1.0,"('218-13172',)",32163,11416,4.627777777777777
11416,639,1,1.0,"('218-13172',)",11416,639,5.061111111111112
639,32164,1,0.0,"('218-13172',)",639,32164,5.138888888888889
639,11416,1,1.0,"('230-13172',)",639,11416,1.4106382978723404
11416,11413,1,1.0,"('230-13172',)",11416,11413,1.7936170212765956
11413,11398,1,2.0,"('230-13172',)",11413,11398,2.448936170212766
11398,11417,1,2.0,"('230-13172',)",11398,11417,2.1361702127659576
11417,11404,1,1.0,"('230-13172',)",11417,11404,8.085507246376812
11404,11382,1,1.0,"('230-13172',)",11404,11382,2.1936170212765957
11382,3086,1,2.0,"('230-13172',)",11382,3086,1.4893617021276595
3086,11388,1,1.0,"('230-13172',)",3086,11388,9.445205479452055
11388,11385,1,1.0,"('230-13172',)",11388,11385,2.5382978723404253
11385,11389,1,2.0,"('230-13172',)",11385,11389,2.3595744680851065
11389,11400,1,1.0,"('230-13172',)",11389,11400,1.8191489361702127
11400,11390,1,1.0,"('230-13172',)",11400,11390,1.9212765957446807
11390,15487,1,1.0,"('230-13172',)",11390,15487,3.3638297872340424
15487,11395,1,2.0,"('230-13172',)",15487,11395,3.1957446808510634
11395,11415,1,1.0,"('230-13172',)",11395,11415,8.354411764705883
11415,11393,1,1.0,"('230-13172',)",11415,11393,3.595744680851064
11393,11409,1,1.0,"('230-13172',)",11393,11409,3.4914893617021274
11409,11405,1,2.0,"('230-13172',)",11409,11405,3.2148936170212763
11405,11407,1,1.0,"('230-13172',)",11405,11407,3.402127659574468
11407,11410,1,1.0,"('230-13172',)",11407,11410,3.5595744680851067
11410,11411,1,1.0,"('230-13172',)",11410,11411,3.2170212765957444
11411,11386,1,1.0,"('230-13172',)",11411,11386,3.3127659574468082
11386,4551,1,1.0,"('230-13172',)",11386,4551,9.23623188405797
4551,11402,1,1.0,"('230-13172',)",4551,11402,3.55531914893617
11402,11418,1,1.0,"('230-13172',)",11402,11418,3.057446808510638
11418,11408,1,2.0,"('230-13172',)",11418,11408,2.8340425531914892
11408,20077,1,1.0,"('230-13172',)",11408,20077,2.9000000000000004
