,stop_id,trip_sequence,trip_id,route_id,stop_name,route_name,minute_delay,oid_max,actual_arrival_time_max,actual_arrival_time_min,planned_arrival_seconds_since_midnight_max,planned_arrival_seconds_since_midnight_min
0,1,11,10265000160535-DEC23,265-13172,Paramount / Slauson,265,1.1444444444444446,11093681,2023-12-13 06:44:38.000000,2023-12-12 05:43:19.000000,74760.0,20760.0
1,10012,18,10202000570519-DEC23,202-13172,Greenleaf / Alameda,202,2.317647058823529,11092745,2023-12-13 06:19:31.000000,2023-12-12 05:33:06.000000,69360.0,20040.0
2,10033,55,10110002860433-DEC23,110-13172,Hyde Park / Gay,110,0.0,10781126,2023-12-13 05:16:33.000000,2023-12-12 05:16:36.000000,19020.0,19020.0
3,10033,64,10110002821518-DEC23,110-13172,Hyde Park / Gay,110,4.580645161290323,11093953,2023-12-13 07:28:29.000000,2023-12-12 05:53:55.000000,86040.0,21300.0
4,10034,54,10110002860433-DEC23,110-13172,Hyde Park / Long,110,0.0,10776514,2023-12-13 05:16:02.000000,2023-12-12 05:16:01.000000,18960.0,18960.0
5,10034,63,10110002821518-DEC23,110-13172,Hyde Park / Long,110,4.922580645161291,11093953,2023-12-13 07:27:59.000000,2023-12-12 05:52:39.000000,85980.0,21240.0
6,10035,56,10110002860433-DEC23,110-13172,Hyde Park / Park,110,0.0,10785744,2023-12-13 05:17:35.000000,2023-12-12 05:17:22.000000,19080.0,19080.0
7,10035,65,10110002821518-DEC23,110-13172,Hyde Park / Park,110,4.363492063492063,11093953,2023-12-13 07:29:36.000000,2023-12-12 05:54:45.000000,86100.0,21360.0
8,10036,59,10110002860433-DEC23,110-13172,Hyde Park / Field,110,0.0,10794994,2023-12-13 05:19:47.000000,2023-12-12 05:19:41.000000,19200.0,19200.0
9,10036,68,10110002821518-DEC23,110-13172,Hyde Park / Field,110,4.117460317460317,11093953,2023-12-13 07:31:24.000000,2023-12-12 05:57:05.000000,86220.0,21480.0
10,10037,58,10110002860433-DEC23,110-13172,Hyde Park / Hyde Park,110,0.15,10790361,2023-12-13 05:19:20.000000,2023-12-12 05:18:56.000000,19140.0,19140.0
11,10037,67,10110002821518-DEC23,110-13172,Hyde Park / Hyde Park,110,4.3126984126984125,11093953,2023-12-13 07:30:48.000000,2023-12-12 05:55:49.000000,86160.0,21420.0
12,10043,30,10120000880419-DEC23,120-13172,Imperial / Avalon,120,4.032258064516129,11092714,2023-12-13 07:31:15.000000,2023-12-12 04:51:26.000000,86040.0,17100.0
13,10044,44,10120001012349-DEC23,120-13172,Imperial / Avalon,120,0.0,8580571,2023-12-13 00:25:47.000000,2023-12-13 00:25:47.000000,88140.0,88140.0
14,10044,80,10120001000422-DEC23,120-13172,Imperial / Avalon,120,3.0727272727272723,11093930,2023-12-13 06:30:59.000000,2023-12-12 05:42:43.000000,84540.0,20400.0
15,10044,83,10120001020656-DEC23,120-13172,Imperial / Avalon,120,3.7823529411764705,5558832,2023-12-12 19:15:13.000000,2023-12-12 08:31:23.000000,69540.0,30720.0
16,10049,42,10120001012349-DEC23,120-13172,Imperial / Central,120,0.0,8545901,2023-12-13 00:24:23.000000,2023-12-13 00:24:23.000000,87960.0,87960.0
17,10049,78,10120001000422-DEC23,120-13172,Imperial / Central,120,3.9454545454545453,11093930,2023-12-13 06:29:30.000000,2023-12-12 05:41:14.000000,84360.0,20280.0
18,10049,81,10120001020656-DEC23,120-13172,Imperial / Central,120,4.452941176470588,5536125,2023-12-12 19:13:26.000000,2023-12-12 08:30:50.000000,69360.0,30540.0
19,10050,4,10010007510530-DEC23,10-13172,Imperial / San Pedro,10/48,3.5450000000000004,11094255,2023-12-13 06:47:03.000000,2023-12-12 05:09:05.000000,81120.0,18540.0
20,10050,45,10120001012349-DEC23,120-13172,Imperial / San Pedro,120,0.0,8592104,2023-12-13 00:26:45.000000,2023-12-13 00:26:45.000000,88200.0,88200.0
21,10050,81,10120001000422-DEC23,120-13172,Imperial / San Pedro,120,3.472727272727273,11093930,2023-12-13 06:31:48.000000,2023-12-12 05:43:39.000000,84600.0,20460.0
22,10050,84,10120001020656-DEC23,120-13172,Imperial / San Pedro,120,4.64375,5567899,2023-12-12 19:18:02.000000,2023-12-12 08:33:43.000000,69600.0,30780.0
23,10051,43,10120001012349-DEC23,120-13172,Imperial / Wadsworth,120,0.0,8557464,2023-12-13 00:25:03.000000,2023-12-13 00:25:03.000000,88020.0,88020.0
24,10051,79,10120001000422-DEC23,120-13172,Imperial / Wadsworth,120,3.809090909090909,11093930,2023-12-13 06:30:18.000000,2023-12-12 05:42:03.000000,84420.0,20340.0
25,10051,82,10120001020656-DEC23,120-13172,Imperial / Wadsworth,120,4.088235294117647,5545212,2023-12-12 19:14:06.000000,2023-12-12 08:30:34.000000,69420.0,30660.0
26,10052,31,10120000880419-DEC23,120-13172,Imperial / Wadsworth,120,3.806451612903226,11092714,2023-12-13 07:32:51.000000,2023-12-12 04:53:02.000000,86160.0,17220.0
27,10054,35,10102000720506-DEC23,102-13172,Jefferson / Main,102,1.645,11093952,2023-12-13 06:16:59.000000,2023-12-12 05:37:23.000000,80280.0,20220.0
28,10056,33,10102000720506-DEC23,102-13172,Jefferson / Trinity,102,1.8800000000000001,11093952,2023-12-13 06:16:03.000000,2023-12-12 05:36:33.000000,80220.0,20160.0
29,10059,17,10258000580544-DEC23,258-13172,Eastern / Floral,258,0.0,11045051,2023-12-13 05:57:17.000000,2023-12-12 05:58:30.000000,21540.0,21540.0
30,10059,48,10258000560538-DEC23,258-13172,Eastern / Floral,258,4.141666666666667,11093565,2023-12-13 08:00:38.000000,2023-12-12 06:40:39.000000,74520.0,24000.0
