,,update_count,driving_time,routes,source_stop_id,destination_stop_id,avg_delay,delay_std
3106,4135,1,4.0,"('96-13172',)",3106,4135,6.583333333333333,6.907797526467222
4135,3612,1,1.0,"('96-13172',)",4135,3612,6.933333333333334,7.176814520848833
3612,3611,2,1.0,"('96-13172', '94-13172')",3612,3611,4.15,6.715624720352931
3611,3616,2,1.0,"('96-13172', '94-13172')",3611,3616,11.964,13.686120706759821
3616,18097,1,6.0,"('96-13172',)",3616,18097,6.760000000000001,8.314024296332072
18097,18098,1,0.0,"('96-13172',)",18097,18098,6.8,8.719805043692205
18098,18099,1,1.0,"('96-13172',)",18098,18099,7.040000000000001,8.322439546190768
18099,18100,1,0.0,"('96-13172',)",18099,18100,6.959999999999999,8.690972327651263
18100,18101,1,0.0,"('96-13172',)",18100,18101,6.859999999999999,8.293551712023023
18101,18102,1,1.0,"('96-13172',)",18101,18102,7.040000000000001,8.77570509987659
18102,18103,1,1.0,"('96-13172',)",18102,18103,6.739999999999999,8.427514461571691
18103,18104,1,0.0,"('96-13172',)",18103,18104,7.0200000000000005,8.46652230848062
18104,4589,1,1.0,"('96-13172',)",18104,4589,6.9799999999999995,8.345777375415667
4589,4510,2,0.0,"('96-13172', '603-13172')",4589,4510,8.047619047619047,8.435734647771886
4510,4504,2,1.0,"('96-13172', '603-13172')",4510,4504,7.533333333333334,8.340763354353923
4504,10499,1,1.0,"('96-13172',)",4504,10499,8.14,9.20342327615111
10499,10733,1,1.0,"('96-13172',)",10499,10733,7.7,8.962142600963233
10733,2194,1,1.0,"('96-13172',)",10733,2194,7.25,8.028885352276491
2194,2213,1,0.0,"('96-13172',)",2194,2213,7.1499999999999995,8.112151379258155
2213,18306,1,1.0,"('96-13172',)",2213,18306,8.36,7.942795477664021
18306,18106,1,1.0,"('96-13172',)",18306,18106,8.360000000000001,8.16045341877521
18106,16,1,1.0,"('96-13172',)",18106,16,14.377777777777778,13.260635144835424
16,18107,1,0.0,"('96-13172',)",16,18107,9.16,7.353094586634937
18107,18108,1,1.0,"('96-13172',)",18107,18108,9.5,7.545859791965392
18108,18109,1,3.0,"('96-13172',)",18108,18109,7.9,7.2825133024252
18109,12591,1,3.0,"('96-13172',)",18109,12591,13.885714285714286,12.455578211043779
12591,18112,1,1.0,"('96-13172',)",12591,18112,8.36,6.8649836125077535
18112,18113,1,3.0,"('96-13172',)",18112,18113,7.340000000000001,7.060311607854146
18113,18114,1,1.0,"('96-13172',)",18113,18114,6.733333333333333,6.747048737534557
18114,18115,1,1.0,"('96-13172',)",18114,18115,6.466666666666666,7.177929134971079
18115,18116,1,1.0,"('96-13172',)",18115,18116,5.933333333333334,7.13965452011977
18116,18117,1,0.0,"('96-13172',)",18116,18117,6.466666666666666,7.173469639349335
18117,18118,1,1.0,"('96-13172',)",18117,18118,8.718181818181819,11.945025590748491
18118,18119,1,1.0,"('96-13172',)",18118,18119,7.1499999999999995,7.291296181064105
18119,18121,1,2.0,"('96-13172',)",18119,18121,6.266666666666667,7.403692772304012
18121,5101,1,1.0,"('96-13172',)",18121,5101,6.966666666666666,7.677412758649014
5101,5102,1,1.0,"('96-13172',)",5101,5102,6.533333333333334,7.54709657197168
5102,13547,1,1.0,"('96-13172',)",5102,13547,6.583333333333333,7.6757844333114695
13547,1573,1,1.0,"('96-13172',)",13547,1573,6.516666666666667,7.794463847287167
1573,1574,1,1.0,"('96-13172',)",1573,1574,12.475,12.710709769998797
1574,11813,1,0.0,"('96-13172',)",1574,11813,6.883333333333333,7.797285852568615
