,,update_count,driving_time,routes
795,796,1,2.0,"('14456',)"
832,833,1,1.5,"('14457',)"
834,813,1,2.0,"('14457',)"
10493,56,1,3.0,"('14458',)"
10374,3809,1,1.4,"('27757',)"
3809,9100,1,1.8333333333333333,"('27757',)"
9100,9101,1,0.38333333333333336,"('27757',)"
9101,9102,1,0.48333333333333334,"('27757',)"
9102,9103,1,0.43333333333333335,"('27757',)"
9103,3057,1,0.85,"('27757',)"
3057,3058,1,0.4166666666666667,"('27757',)"
3058,3059,1,0.8166666666666667,"('27757',)"
3059,3060,1,0.8,"('27757',)"
3060,3633,1,0.95,"('27757',)"
3633,3635,2,1.0833333333333333,"('27757', '27827')"
3635,10576,2,0.5166666666666667,"('27757', '27827')"
10576,10577,2,0.5,"('27757', '27827')"
10577,3639,2,0.6,"('27757', '27827')"
3639,3641,1,1.6,"('27757',)"
3641,3643,2,0.6333333333333333,"('27757', '27827')"
3643,3122,2,1.1166666666666667,"('27757', '27827')"
3122,2,1,1.6333333333333333,"('27757',)"
2,3671,3,0.5,"('27757', '27787', '27827')"
3671,3181,1,1.5666666666666667,"('27757',)"
3181,3655,1,2.966666666666667,"('27757',)"
3655,3656,1,0.7166666666666667,"('27757',)"
3656,3657,1,0.7333333333333333,"('27757',)"
3657,3658,1,0.6833333333333333,"('27757',)"
3658,3193,1,0.8333333333333334,"('27757',)"
3193,3626,1,0.5,"('27757',)"
3626,3625,1,0.9666666666666667,"('27757',)"
3625,3623,1,1.5333333333333334,"('27757',)"
3623,3624,1,0.9166666666666666,"('27757',)"
3624,1,1,1.9,"('27757',)"
184,6648,1,2.5,"('27758',)"
6648,6649,1,0.5666666666666667,"('27758',)"
6649,6650,1,0.65,"('27758',)"
6650,6950,1,1.0,"('27758',)"
6951,6908,1,1.15,"('27758',)"
6908,7905,1,1.0166666666666666,"('27758',)"
7905,7009,2,0.9333333333333333,"('27758', '27813')"
7009,7010,1,0.8333333333333334,"('27758',)"
7010,7839,1,1.65,"('27758',)"
7839,6953,1,0.5166666666666667,"('27758',)"
6953,6954,1,1.0333333333333334,"('27758',)"
6954,6956,1,0.9833333333333333,"('27758',)"
6956,6958,1,1.6666666666666667,"('27758',)"
6958,6959,1,0.8833333333333333,"('27758',)"
6959,25,1,1.4166666666666667,"('27758',)"
25,6961,1,0.43333333333333335,"('27758',)"
6961,6963,1,0.9666666666666667,"('27758',)"
6963,6965,1,1.1,"('27758',)"
6965,6967,1,1.0666666666666667,"('27758',)"
6969,6970,1,0.75,"('27758',)"
6971,6972,2,0.6,"('27758', '27828')"
6972,6973,2,0.75,"('27758', '27828')"
6973,6974,1,1.1833333333333333,"('27758',)"
6974,6975,1,0.6166666666666667,"('27758',)"
6975,6976,1,0.6666666666666666,"('27758',)"
6976,6978,1,0.8666666666666667,"('27758',)"
6978,6979,1,0.7,"('27758',)"
6979,6980,1,0.5833333333333334,"('27758',)"
6980,26,1,0.6,"('27758',)"
26,6863,1,1.8833333333333333,"('27758',)"
6865,7598,1,0.7166666666666667,"('27758',)"
7598,27,1,1.2666666666666666,"('27758',)"
40,590,2,2.6,"('27759', '27801')"
590,103,3,1.1916666666666667,"('27759', '27801', '27815')"
103,10529,4,0.6333333333333333,"('27759', '27801', '27815', '27816')"
10529,6630,4,0.8888888888888888,"('27759', '27801', '27815', '27816')"
6630,6631,5,0.5625,"('27759', '27801', '27815', '27816', '16887')"
6631,6717,4,1.0944444444444446,"('27759', '27801', '27815', '27816')"
6717,6718,4,0.7777777777777779,"('27759', '27801', '27815', '27816')"
10530,10531,4,1.1055555555555556,"('27759', '27801', '27815', '27816')"
10531,39,3,1.1,"('27759', '27815', '27816')"
39,6719,2,1.7166666666666666,"('27759', '27766')"
6719,6720,3,2.2333333333333334,"('27759', '27766', '27801')"
6720,6722,2,1.0,"('27759', '27766')"
6722,6724,2,1.1166666666666667,"('27759', '27766')"
6724,6725,2,0.85,"('27759', '27766')"
6725,6728,2,1.4833333333333334,"('27759', '27766')"
6728,43,2,0.7333333333333333,"('27759', '27766')"
43,6729,2,0.7166666666666667,"('27759', '27766')"
6729,6730,2,0.6833333333333333,"('27759', '27766')"
6730,6731,2,0.5,"('27759', '27766')"
6731,6732,2,0.31666666666666665,"('27759', '27766')"
6732,6733,2,0.8,"('27759', '27766')"
6733,6734,2,0.5333333333333333,"('27759', '27766')"
6734,6735,2,0.8833333333333333,"('27759', '27766')"
6735,6738,2,1.6166666666666667,"('27759', '27766')"
6738,6739,2,0.65,"('27759', '27766')"
6739,6740,2,0.48333333333333334,"('27759', '27766')"
6740,6742,2,0.8166666666666667,"('27759', '27766')"
6742,6744,2,1.0833333333333333,"('27759', '27766')"
6745,6746,2,0.5666666666666667,"('27759', '27766')"
6746,44,2,0.6666666666666666,"('27759', '27766')"
44,6747,2,0.43333333333333335,"('27759', '27766')"
6747,6748,3,0.375,"('27759', '27766', '27776')"
6748,6749,3,0.6583333333333333,"('27759', '27766', '27776')"
6749,8385,2,0.5,"('27759', '27776')"
8385,8386,2,1.0,"('27759', '27776')"
8386,8387,2,0.7833333333333333,"('27759', '27776')"
8387,8389,1,1.35,"('27759',)"
8389,8391,1,1.5666666666666667,"('27759',)"
8391,8393,1,1.5333333333333334,"('27759',)"
8393,5385,1,0.9333333333333333,"('27759',)"
5385,5386,1,1.1166666666666667,"('27759',)"
5386,5387,1,0.48333333333333334,"('27759',)"
5387,5388,1,0.35,"('27759',)"
5388,5389,1,0.75,"('27759',)"
5389,5390,1,0.65,"('27759',)"
5390,5391,1,0.5666666666666667,"('27759',)"
5391,8722,1,0.55,"('27759',)"
8722,45,1,0.6833333333333333,"('27759',)"
45,8723,1,0.8666666666666667,"('27759',)"
8723,8724,1,0.9166666666666666,"('27759',)"
8724,8725,1,0.9666666666666667,"('27759',)"
8725,8726,1,1.1333333333333333,"('27759',)"
8726,8547,1,0.9833333333333333,"('27759',)"
8547,8549,2,0.95,"('27759', '27818')"
8549,8550,2,0.5833333333333334,"('27759', '27818')"
8550,8551,2,0.4166666666666667,"('27759', '27818')"
8551,8727,2,1.4833333333333334,"('27759', '27801')"
8728,8662,1,3.3833333333333333,"('27759',)"
8662,8664,1,1.6,"('27759',)"
8664,8666,1,1.2166666666666666,"('27759',)"
8666,8668,1,1.7333333333333334,"('27759',)"
8668,524,2,0.9666666666666667,"('27759', '27832')"
524,523,2,0.9,"('27759', '27832')"
523,5731,4,1.1111111111111112,"('27759', '27766', '27768', '27832')"
5731,5732,6,0.45999999999999996,"('27759', '27763', '27766', '27768', '27770', '27832')"
5732,5828,6,0.9,"('27759', '27763', '27766', '27768', '27770', '27832')"
5828,30,8,1.0880952380952382,"('27759', '27762', '27763', '27766', '27768', '27770', '27795', '27832')"
30,8597,2,0.16666666666666666,"('27759', '27763')"
8597,8598,2,0.38333333333333336,"('27759', '27763')"
8598,8707,1,0.8333333333333334,"('27759',)"
8707,8710,1,2.35,"('27759',)"
8710,8712,1,3.1666666666666665,"('27759',)"
8712,8713,1,1.0166666666666666,"('27759',)"
8714,8553,1,1.15,"('27759',)"
8553,1353,2,1.5166666666666666,"('27759', '27801')"
1353,743,2,1.4,"('27759', '27801')"
743,1356,2,1.3666666666666667,"('27759', '27801')"
1356,1357,2,0.7666666666666667,"('27759', '27801')"
1357,1359,2,1.3333333333333333,"('27759', '27801')"
1359,1383,2,3.1166666666666667,"('27759', '27801')"
1383,34,3,1.3,"('27759', '27801', '27808')"
22,6670,1,1.25,"('27760',)"
6670,24,1,1.75,"('27760',)"
24,8012,1,1.5,"('27760',)"
8012,8013,3,0.725,"('27760', '27769', '27833')"
8013,8014,1,0.48333333333333334,"('27760',)"
8014,8015,1,0.5333333333333333,"('27760',)"
8015,8021,1,1.4,"('27760',)"
8021,7110,1,1.0333333333333334,"('27760',)"
7110,7936,1,0.6666666666666666,"('27760',)"
7936,7937,1,0.7,"('27760',)"
7937,7938,1,0.7333333333333333,"('27760',)"
7939,7940,1,0.36666666666666664,"('27760',)"
7940,7941,1,1.05,"('27760',)"
7941,7942,1,0.7666666666666667,"('27760',)"
7942,7943,1,0.4166666666666667,"('27760',)"
7943,7944,1,0.7166666666666667,"('27760',)"
7944,63,1,0.55,"('27760',)"
63,7945,1,0.8833333333333333,"('27760',)"
7945,7946,1,0.5166666666666667,"('27760',)"
7946,7947,1,0.75,"('27760',)"
7948,7949,1,0.85,"('27760',)"
7951,7952,1,1.0166666666666666,"('27760',)"
7953,7954,1,0.6,"('27760',)"
7956,7957,2,0.8,"('27760', '27836')"
7957,7958,2,0.5666666666666667,"('27760', '27836')"
7958,7959,2,0.75,"('27760', '27836')"
7959,64,2,1.0166666666666666,"('27760', '27836')"
64,7960,2,0.55,"('27760', '27836')"
7960,7961,2,0.7,"('27760', '27836')"
7961,7962,2,0.85,"('27760', '27836')"
7962,7963,2,0.6666666666666666,"('27760', '27836')"
7964,7965,2,0.48333333333333334,"('27760', '27836')"
7965,7966,2,0.65,"('27760', '27836')"
7966,7967,2,0.8833333333333333,"('27760', '27836')"
7967,7969,2,0.7166666666666667,"('27760', '27836')"
7969,7970,1,0.6166666666666667,"('27760',)"
1307,7579,1,0.6333333333333333,"('27760',)"
7580,7581,1,0.38333333333333336,"('27760',)"
7581,8065,1,1.1,"('27760',)"
8065,8066,2,0.8333333333333334,"('27760', '27764')"
8067,8068,3,0.8416666666666667,"('27760', '27764', '27794')"
8068,482,3,1.025,"('27760', '27764', '27794')"
482,952,2,0.8,"('27760', '27764')"
952,4535,2,0.45,"('27760', '27764')"
4535,4536,2,0.43333333333333335,"('27760', '27764')"
4536,4537,2,0.48333333333333334,"('27760', '27764')"
4537,5027,1,1.85,"('27760',)"
5027,5028,1,0.25,"('27760',)"
5028,1306,1,0.8,"('27760',)"
1306,5284,1,0.9333333333333333,"('27760',)"
5284,5285,1,0.4,"('27760',)"
5285,5286,1,0.3333333333333333,"('27760',)"
5286,5287,1,0.45,"('27760',)"
5287,5288,1,0.8666666666666667,"('27760',)"
5288,5043,1,0.5,"('27760',)"
5043,5325,1,1.2333333333333334,"('27760',)"
5326,5327,1,0.5666666666666667,"('27760',)"
5327,5328,1,0.4666666666666667,"('27760',)"
5333,5334,1,1.1166666666666667,"('27760',)"
5335,5336,1,0.35,"('27760',)"
5336,1799,1,2.066666666666667,"('27760',)"
1799,10221,3,0.5,"('27760', '27820', '16895')"
10221,9956,2,1.8833333333333333,"('27760', '27820')"
9956,1070,4,1.9333333333333331,"('27760', '27792', '27820', '27836')"
78,8122,2,2.1,"('27761', '27830')"
8122,8123,1,0.7333333333333333,"('27761',)"
8123,8124,1,0.4166666666666667,"('27761',)"
8124,8125,2,1.1,"('27761', '27830')"
8125,8126,2,0.36666666666666664,"('27761', '27830')"
8126,8127,2,0.6,"('27761', '27830')"
8127,8128,2,0.5,"('27761', '27830')"
8128,81,2,1.0,"('27761', '27830')"
81,8129,2,1.0166666666666666,"('27761', '27830')"
8129,8130,2,1.25,"('27761', '27830')"
8130,8131,2,0.6833333333333333,"('27761', '27830')"
8131,8132,2,1.15,"('27761', '27830')"
8132,8134,2,1.5833333333333333,"('27761', '27830')"
8134,10562,2,1.3166666666666667,"('27761', '27830')"
10562,8142,1,0.8,"('27761',)"
8142,82,1,0.4666666666666667,"('27761',)"
82,8143,1,0.6,"('27761',)"
8143,8144,1,0.45,"('27761',)"
8144,1296,1,0.65,"('27761',)"
1296,8146,1,0.9,"('27761',)"
8146,8147,1,0.55,"('27761',)"
1638,8148,1,0.5,"('27761',)"
8148,83,1,0.7,"('27761',)"
83,8149,1,0.3333333333333333,"('27761',)"
8149,8150,1,0.36666666666666664,"('27761',)"
8151,8153,1,0.7166666666666667,"('27761',)"
8153,8154,1,0.4,"('27761',)"
8154,8156,1,0.5666666666666667,"('27761',)"
8156,8157,1,0.35,"('27761',)"
8157,8158,1,0.31666666666666665,"('27761',)"
8158,8159,1,0.25,"('27761',)"
84,8161,1,0.6333333333333333,"('27761',)"
8161,8163,1,0.9166666666666666,"('27761',)"
8165,8167,1,0.5833333333333334,"('27761',)"
8168,8169,1,0.2,"('27761',)"
8170,8171,2,0.48333333333333334,"('27761', '27798')"
8171,8172,2,0.5,"('27761', '27798')"
4550,4455,1,2.1,"('27761',)"
4455,4456,1,0.5333333333333333,"('27761',)"
4456,4457,1,0.26666666666666666,"('27761',)"
4459,4578,1,1.0166666666666666,"('27761',)"
4579,1247,1,0.2833333333333333,"('27761',)"
1247,1281,1,0.16666666666666666,"('27761',)"
34,1384,1,1.2,"('27762',)"
1384,1364,1,0.5333333333333333,"('27762',)"
1364,1390,1,1.05,"('27762',)"
1390,10558,1,1.6,"('27762',)"
10558,5680,1,2.7333333333333334,"('27762',)"
5680,5681,1,0.65,"('27762',)"
5681,5682,1,0.21666666666666667,"('27762',)"
5682,5683,1,0.36666666666666664,"('27762',)"
5683,5684,1,0.7,"('27762',)"
5684,5685,1,0.6833333333333333,"('27762',)"
5685,5686,1,0.9166666666666666,"('27762',)"
5686,5687,1,0.4,"('27762',)"
5687,5873,1,0.9,"('27762',)"
5873,5874,2,1.2333333333333334,"('27762', '27824')"
5874,5875,2,1.4166666666666667,"('27762', '27824')"
5875,8716,2,1.6166666666666667,"('27762', '27824')"
8716,8717,2,1.2166666666666666,"('27762', '27824')"
8717,680,2,0.38333333333333336,"('27762', '27824')"
5876,5877,2,0.4666666666666667,"('27762', '27824')"
5877,503,2,0.4,"('27762', '27824')"
5878,5879,2,0.55,"('27762', '27824')"
5879,8629,1,2.45,"('27762',)"
8631,5742,1,0.4666666666666667,"('27762',)"
5742,5743,1,0.6666666666666666,"('27762',)"
5743,8632,1,1.1833333333333333,"('27762',)"
8632,5828,1,2.4,"('27762',)"
30,5722,4,0.2555555555555556,"('27762', '27795', '27810', '27838')"
5722,523,2,1.1166666666666667,"('27762', '27838')"
523,8670,2,0.5666666666666667,"('27762', '27838')"
8670,8671,2,0.6333333333333333,"('27762', '27838')"
8671,8684,2,0.7333333333333333,"('27762', '27838')"
8684,5428,1,2.3333333333333335,"('27762',)"
5428,5429,1,1.55,"('27762',)"
5429,5431,1,1.2333333333333334,"('27762',)"
5431,5433,1,1.25,"('27762',)"
5433,5435,1,1.4833333333333334,"('27762',)"
5435,5436,1,0.9333333333333333,"('27762',)"
5436,8810,1,0.8833333333333333,"('27762',)"
8810,8811,1,0.8333333333333334,"('27762',)"
8811,8813,1,1.45,"('27762',)"
8815,8816,1,0.5666666666666667,"('27762',)"
8816,8817,1,1.0166666666666666,"('27762',)"
8817,8819,1,1.7333333333333334,"('27762',)"
8819,8820,1,0.75,"('27762',)"
88,8795,1,1.3833333333333333,"('27762',)"
5411,5447,1,1.2666666666666666,"('27762',)"
5447,8425,1,0.48333333333333334,"('27762',)"
8426,8428,1,1.3333333333333333,"('27762',)"
8429,8431,1,1.1,"('27762',)"
8431,8432,1,0.7833333333333333,"('27762',)"
8432,8434,1,2.0,"('27762',)"
8435,1868,1,1.7166666666666666,"('27762',)"
1868,18,1,1.3,"('27762',)"
6751,89,1,1.0,"('27762',)"
89,6752,1,0.5166666666666667,"('27762',)"
6752,6753,1,0.6166666666666667,"('27762',)"
6754,6755,1,0.8166666666666667,"('27762',)"
6755,6757,1,1.0333333333333334,"('27762',)"
6760,6761,1,0.5,"('27762',)"
6762,6763,1,0.2833333333333333,"('27762',)"
