,Unnamed: 0,index,stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,geometry,closest_hospital_distance,closest_grocery_distance,closest_park_distance,closest_bar_distance,closest_worship_distance,closest_mcdonalds_distance,closest_starbucks_distance,nearby_stops,near_hospital,near_grocery,near_park,near_bar,near_worship,near_mcdonalds,near_starbucks,total_population,white_population,black_population,asian_population,total_housing_units,owner_occupied_units,rentor_occupied_units,population_over_age_25,has_bachelors_degree,has_masters_degree,has_professional_degree,state,county,tract,block group,has_doctorate,total_income_known,income_to_poverty_above_200,vehicles,total_population_percent,white_population_percent,black_population_percent,asian_population_percent,total_housing_units_percent,owner_occupied_units_percent,rentor_occupied_units_percent,population_over_age_25_percent,has_bachelors_degree_percent,has_masters_degree_percent,has_professional_degree_percent,has_doctorate_percent,total_income_known_percent,income_to_poverty_above_200_percent,vehicles_percent,less_than_a_bachelors_degree,less_than_a_bachelors_degree_percent,income_to_poverty_under_200,income_to_poverty_under_200_percent,routes
0,0,0,1,115AQRSN,Quail Roost Dr & SW 115 Ave,SW 107TH AVE & SW 112TH ST,25.59245,-80.37795,,,,,,0,POINT (-80.37795 25.59245),10236.197780309592,59.59665509308466,953.3184900206666,15546.06154226413,424.4998049769558,1203.5326350763216,642.9130676899688,"['1', '3212', '3225', '3614']",False,True,False,False,False,False,False,2229,1098,531,221,579,315,264,1551,252,31,14,12,86,10208,2,0,2165,1179,1268.0,1.0,0.4925975773889636,0.2382234185733512,0.0991475998205473,1.0,0.5440414507772021,0.4559585492227979,1.0,0.1624758220502901,0.019987105093488,0.0090264345583494,0.0,1.0,0.5445727482678984,0.5688649618663078,1348,0.869116698903933,986,0.4554272517321016,"['27757', '27757', '27757', '27787', '27787', '27787', '27787', '27787', '27787', '27787']"
1,1,0,1,115AQRSN,Quail Roost Dr & SW 115 Ave,SW 107TH AVE & SW 112TH ST,25.59245,-80.37795,,,,,,0,POINT (-80.37795 25.59245),10236.197780309592,59.59665509308466,953.3184900206666,15546.06154226413,424.4998049769558,1203.5326350763216,642.9130676899688,"['1', '3212', '3225', '3614']",False,True,False,False,False,False,False,2229,1098,531,221,579,315,264,1551,252,31,14,12,86,10208,2,0,2165,1179,1268.0,1.0,0.4925975773889636,0.2382234185733512,0.0991475998205473,1.0,0.5440414507772021,0.4559585492227979,1.0,0.1624758220502901,0.019987105093488,0.0090264345583494,0.0,1.0,0.5445727482678984,0.5688649618663078,1348,0.869116698903933,986,0.4554272517321016,"['27757', '27757', '27757', '27757', '27757', '27757', '27778', '27778', '27778', '27778', '27778', '27778', '27778', '27778', '27782', '27782', '27787', '27787', '27787', '27787', '27787', '27787', '27787', '27787', '27787', '27787', '27820', '27820', '27820', '27820', '27820', '27827', '27827', '27827', '27827', '27827', '27827', '27827', '27827', '27827', '27827']"
2,2,0,1,115AQRSN,Quail Roost Dr & SW 115 Ave,SW 107TH AVE & SW 112TH ST,25.59245,-80.37795,,,,,,0,POINT (-80.37795 25.59245),10236.197780309592,59.59665509308466,953.3184900206666,15546.06154226413,424.4998049769558,1203.5326350763216,642.9130676899688,"['1', '3212', '3225', '3614']",False,True,False,False,False,False,False,2229,1098,531,221,579,315,264,1551,252,31,14,12,86,10208,2,0,2165,1179,1268.0,1.0,0.4925975773889636,0.2382234185733512,0.0991475998205473,1.0,0.5440414507772021,0.4559585492227979,1.0,0.1624758220502901,0.019987105093488,0.0090264345583494,0.0,1.0,0.5445727482678984,0.5688649618663078,1348,0.869116698903933,986,0.4554272517321016,"['17784', '17784', '17784', '17784', '17784', '17784', '17784', '17784', '17784', '17784', '27781', '27781', '27781', '27781', '27781', '27781', '27782', '27782', '27782', '27782', '27790', '27790', '27790', '27790', '27790', '27790', '27790', '27790', '27790', '27790', '27846', '27846', '27846', '27846', '27846', '27846', '27846', '27846', '27846', '27846']"
3,3,1,2,CTLRTERW,SW 211 ST @ OP S DADE GOVT CTR,,25.57193,-80.36665,,,,,,0,POINT (-80.36665 25.57193),12326.360939798536,119.98111252195864,1799.2297191918285,17514.44869270527,274.2696716190899,650.3327050294648,179.85861094511526,"['2', '13', '3164', '3181', '3671', '3674', '11300', '3123']",False,True,False,False,True,False,True,1589,729,139,36,540,204,336,1173,120,0,6,12,86,10609,1,0,1589,930,878.0,1.0,0.4587791063561988,0.0874764002517306,0.0226557583385777,1.0,0.3777777777777777,0.6222222222222222,1.0,0.1023017902813299,0.0,0.0051150895140664,0.0,1.0,0.5852737570799245,0.55254877281309,1088,0.927536231884058,659,0.4147262429200755,"['17784', '17784', '17784', '17784', '17784', '17784', '27781', '27781', '27781', '27781', '27781', '27781', '27781', '27787', '27787', '27787', '27787', '27787', '27787', '27787', '27787', '27787', '27787', '27819', '27819', '27819', '27819', '27819', '27819', '27840', '27840', '27840', '27840', '27840', '27840', '27846', '27846', '27846', '27846', '27846', '27846', '27846', '27846', '27846', '27846']"
4,4,1,2,CTLRTERW,SW 211 ST @ OP S DADE GOVT CTR,,25.57193,-80.36665,,,,,,0,POINT (-80.36665 25.57193),12326.360939798536,119.98111252195864,1799.2297191918285,17514.44869270527,274.2696716190899,650.3327050294648,179.85861094511526,"['2', '13', '3164', '3181', '3671', '3674', '11300', '3123']",False,True,False,False,True,False,True,1589,729,139,36,540,204,336,1173,120,0,6,12,86,10609,1,0,1589,930,878.0,1.0,0.4587791063561988,0.0874764002517306,0.0226557583385777,1.0,0.3777777777777777,0.6222222222222222,1.0,0.1023017902813299,0.0,0.0051150895140664,0.0,1.0,0.5852737570799245,0.55254877281309,1088,0.927536231884058,659,0.4147262429200755,"['20408', '20408', '20408', '27777', '27777', '27781', '27781', '27781', '27782', '27782', '27787', '27787', '27787', '27787', '27787', '27794', '27794', '27794', '27794', '27840', '27840', '27840', '27846', '27846', '27846', '27846', '27846', '27855', '27855', '27855', '28082', '28082', '28082', '28082']"
5,5,1,2,CTLRTERW,SW 211 ST @ OP S DADE GOVT CTR,,25.57193,-80.36665,,,,,,0,POINT (-80.36665 25.57193),12326.360939798536,119.98111252195864,1799.2297191918285,17514.44869270527,274.2696716190899,650.3327050294648,179.85861094511526,"['2', '13', '3164', '3181', '3671', '3674', '11300', '3123']",False,True,False,False,True,False,True,1589,729,139,36,540,204,336,1173,120,0,6,12,86,10609,1,0,1589,930,878.0,1.0,0.4587791063561988,0.0874764002517306,0.0226557583385777,1.0,0.3777777777777777,0.6222222222222222,1.0,0.1023017902813299,0.0,0.0051150895140664,0.0,1.0,0.5852737570799245,0.55254877281309,1088,0.927536231884058,659,0.4147262429200755,
6,6,1,2,CTLRTERW,SW 211 ST @ OP S DADE GOVT CTR,,25.57193,-80.36665,,,,,,0,POINT (-80.36665 25.57193),12326.360939798536,119.98111252195864,1799.2297191918285,17514.44869270527,274.2696716190899,650.3327050294648,179.85861094511526,"['2', '13', '3164', '3181', '3671', '3674', '11300', '3123']",False,True,False,False,True,False,True,1589,729,139,36,540,204,336,1173,120,0,6,12,86,10609,1,0,1589,930,878.0,1.0,0.4587791063561988,0.0874764002517306,0.0226557583385777,1.0,0.3777777777777777,0.6222222222222222,1.0,0.1023017902813299,0.0,0.0051150895140664,0.0,1.0,0.5852737570799245,0.55254877281309,1088,0.927536231884058,659,0.4147262429200755,
7,7,1,2,CTLRTERW,SW 211 ST @ OP S DADE GOVT CTR,,25.57193,-80.36665,,,,,,0,POINT (-80.36665 25.57193),12326.360939798536,119.98111252195864,1799.2297191918285,17514.44869270527,274.2696716190899,650.3327050294648,179.85861094511526,"['2', '13', '3164', '3181', '3671', '3674', '11300', '3123']",False,True,False,False,True,False,True,1589,729,139,36,540,204,336,1173,120,0,6,12,86,10609,1,0,1589,930,878.0,1.0,0.4587791063561988,0.0874764002517306,0.0226557583385777,1.0,0.3777777777777777,0.6222222222222222,1.0,0.1023017902813299,0.0,0.0051150895140664,0.0,1.0,0.5852737570799245,0.55254877281309,1088,0.927536231884058,659,0.4147262429200755,
8,8,2,4,152SBSWN,BUSWAY & SW 152 ST,,25.628291,-80.341621,,,,,,0,POINT (-80.341621 25.628291),6022.672810290107,96.19881600444536,2412.852750439682,11164.490321984318,1062.4153413777378,707.7642935842055,1288.8783951451792,"['4', '11', '415', '3501', '3502', '3532', '3533', '9119', '9121', '9122', '9123', '9124', '9120', '10213']",False,True,False,False,False,False,False,817,338,107,0,256,90,166,599,162,22,39,12,86,8310,2,0,810,391,426.0,1.0,0.4137086903304773,0.1309669522643818,0.0,1.0,0.3515625,0.6484375,1.0,0.2704507512520868,0.0367278797996661,0.0651085141903172,0.0,1.0,0.482716049382716,0.5214198286413708,425,0.7095158597662772,419,0.5172839506172839,"['27759', '27759', '27759', '27759', '27762', '27762', '27762', '27762', '27763', '27763', '27763', '27763', '27766', '27766', '27766', '27766', '27766', '27766', '27766', '27766']"
9,9,2,4,152SBSWN,BUSWAY & SW 152 ST,,25.628291,-80.341621,,,,,,0,POINT (-80.341621 25.628291),6022.672810290107,96.19881600444536,2412.852750439682,11164.490321984318,1062.4153413777378,707.7642935842055,1288.8783951451792,"['4', '11', '415', '3501', '3502', '3532', '3533', '9119', '9121', '9122', '9123', '9124', '9120', '10213']",False,True,False,False,False,False,False,817,338,107,0,256,90,166,599,162,22,39,12,86,8310,2,0,810,391,426.0,1.0,0.4137086903304773,0.1309669522643818,0.0,1.0,0.3515625,0.6484375,1.0,0.2704507512520868,0.0367278797996661,0.0651085141903172,0.0,1.0,0.482716049382716,0.5214198286413708,425,0.7095158597662772,419,0.5172839506172839,
