,,update_count,driving_time,routes,source_stop_id,destination_stop_id,avg_delay
801,802,1,1.0,"('14456',)",801,802,30.0
802,803,1,1.0,"('14456',)",802,803,30.0
803,804,1,1.0,"('14456',)",803,804,30.0
804,805,1,1.0,"('14456',)",804,805,30.0
805,806,1,1.0,"('14456',)",805,806,30.0
806,807,1,1.0,"('14456',)",806,807,30.0
807,808,1,1.0,"('14456',)",807,808,30.0
808,809,1,1.0,"('14456',)",808,809,30.0
809,810,1,1.0,"('14456',)",809,810,30.0
810,811,1,1.0,"('14456',)",810,811,7.865333333333333
811,812,1,1.0,"('14456',)",811,812,17.17297297297297
812,813,1,1.0,"('14456',)",812,813,7.045833333333333
832,833,1,1.5,"('14457',)",832,833,0.0
833,834,1,1.5,"('14457',)",833,834,0.0
834,813,1,2.0,"('14457',)",834,813,0.0
56,10493,1,3.0,"('14458',)",56,10493,
10374,3809,1,1.4,"('27757',)",10374,3809,
3809,9100,1,1.8333333333333333,"('27757',)",3809,9100,
9100,9101,1,0.38333333333333336,"('27757',)",9100,9101,
9101,9102,1,0.48333333333333334,"('27757',)",9101,9102,
9102,9103,1,0.43333333333333335,"('27757',)",9102,9103,
9103,3057,1,0.85,"('27757',)",9103,3057,
3057,3058,1,0.4166666666666667,"('27757',)",3057,3058,
3058,3059,1,0.8166666666666667,"('27757',)",3058,3059,
3059,3060,1,0.8,"('27757',)",3059,3060,
3060,3633,1,0.95,"('27757',)",3060,3633,
3633,3635,2,1.0833333333333333,"('27757', '27827')",3633,3635,
3635,10576,2,0.5166666666666667,"('27757', '27827')",3635,10576,
10576,10577,2,0.5,"('27757', '27827')",10576,10577,
10577,3639,2,0.6,"('27757', '27827')",10577,3639,
3639,3641,1,1.6,"('27757',)",3639,3641,
3641,3643,2,0.6333333333333333,"('27757', '27827')",3641,3643,
3643,3122,2,1.1166666666666667,"('27757', '27827')",3643,3122,
3122,2,1,1.6333333333333333,"('27757',)",3122,2,
2,3671,4,0.538888888888889,"('27757', '27778', '27787', '27827')",2,3671,
3671,3181,1,1.6833333333333333,"('27757',)",3671,3181,
3181,3655,1,3.183333333333333,"('27757',)",3181,3655,
3655,3656,1,0.7666666666666667,"('27757',)",3655,3656,
3656,3657,1,0.7833333333333333,"('27757',)",3656,3657,
3657,3658,1,0.7166666666666667,"('27757',)",3657,3658,
3658,3193,1,0.9,"('27757',)",3658,3193,
3193,3626,1,0.5333333333333333,"('27757',)",3193,3626,
3626,3625,1,1.0333333333333334,"('27757',)",3626,3625,
3625,3623,1,1.6333333333333333,"('27757',)",3625,3623,
3623,3624,1,0.9833333333333333,"('27757',)",3623,3624,
3624,1,1,2.05,"('27757',)",3624,1,
184,6648,1,2.5,"('27758',)",184,6648,
6648,6649,2,0.31666666666666665,"('27758', '27838')",6648,6649,
6649,6650,2,0.36666666666666664,"('27758', '27838')",6649,6650,
6650,6950,2,0.5666666666666667,"('27758', '27838')",6650,6950,
6950,6951,2,0.5833333333333334,"('27758', '27838')",6950,6951,
6951,6908,2,0.65,"('27758', '27838')",6951,6908,
6908,7905,2,0.5833333333333334,"('27758', '27838')",6908,7905,
7905,7009,3,0.7916666666666667,"('27758', '27813', '27838')",7905,7009,
