,,update_count,driving_time,routes
425,426,11,2.453333333333334,"['1', '1', '1', '103', '103', '103', '103', '103', '103-O', '103-O', '103-O']"
426,425,2,7.0,"['1', '1']"
126,68,15,0.7964285714285714,"['103', '103-O', '103-O', '105', '105', '114A', '114A', '114A', '114A', '114A', '114B', '114B', '114B', '114B', '114B']"
68,67,13,0.3,"['103', '103-O', '103-O', '114A', '114A', '114A', '114A', '114A', '114B', '114B', '114B', '114B', '114B']"
67,401,3,1.3166666666666667,"['103', '103-O', '103-O']"
401,400,3,0.2833333333333333,"['103', '103-O', '103-O']"
400,175,3,0.4166666666666667,"['103', '103-O', '103-O']"
175,383,3,0.8333333333333334,"['103', '103-O', '103-O']"
383,177,3,0.5333333333333333,"['103', '103-O', '103-O']"
177,191,10,1.1722222222222223,"['103', '103', '103', '103', '103', '103-O', '103-O', '103-O', '103-O', '103-O']"
191,358,6,0.5066666666666667,"['103', '103-O', '103-O', '103-O', '103-O', '103-O']"
358,399,6,1.5033333333333334,"['103', '103-O', '103-O', '103-O', '103-O', '103-O']"
399,425,10,0.4444444444444445,"['103', '103', '103', '103', '103', '103-O', '103-O', '103-O', '103-O', '103-O']"
426,427,8,0.6714285714285716,"['103', '103', '103', '103', '103', '103-O', '103-O', '103-O']"
427,428,10,0.6611111111111111,"['103', '103', '103', '103', '103', '103-O', '103-O', '103-O', '103-O', '103-O']"
428,177,3,0.5,"['103', '103-O', '103-O']"
177,410,3,0.5333333333333333,"['103', '103-O', '103-O']"
410,352,8,0.5595238095238096,"['103', '103-O', '103-O', '105', '105', '105', '105', '105']"
352,409,5,0.45000000000000007,"['103', '103-O', '103-O', '105', '105']"
409,408,5,0.6583333333333333,"['103', '103-O', '103-O', '105', '105']"
408,407,3,0.3,"['103', '103-O', '103-O']"
407,406,3,0.21666666666666667,"['103', '103-O', '103-O']"
406,405,3,0.25,"['103', '103-O', '103-O']"
405,404,3,0.23333333333333334,"['103', '103-O', '103-O']"
404,403,3,0.4,"['103', '103-O', '103-O']"
403,344,8,0.35476190476190483,"['103', '103-O', '103-O', '114A', '114A', '114A', '114A', '114A']"
344,402,5,0.2833333333333333,"['103', '103-O', '103-O', '114A', '114A']"
402,403,3,0.8,"['103', '103-O', '103-O']"
403,404,7,0.45833333333333337,"['103', '103', '103', '103', '103-O', '103-O', '103-O']"
404,405,7,0.24166666666666667,"['103', '103', '103', '103', '103-O', '103-O', '103-O']"
405,406,7,0.2972222222222223,"['103', '103', '103', '103', '103-O', '103-O', '103-O']"
406,407,7,0.2611111111111111,"['103', '103', '103', '103', '103-O', '103-O', '103-O']"
407,408,7,0.3444444444444445,"['103', '103', '103', '103', '103-O', '103-O', '103-O']"
408,409,7,0.24722222222222226,"['103', '103', '103', '103', '103-O', '103-O', '103-O']"
409,352,10,0.4537037037037037,"['103', '103', '103', '103', '103-O', '103-O', '103-O', '105', '105', '105']"
352,410,12,0.5,"['103', '103', '103', '103', '103-O', '103-O', '103-O', '105', '105', '105', '105', '105']"
410,177,7,0.5611111111111111,"['103', '103', '103', '103', '103-O', '103-O', '103-O']"
191,399,4,2.0611111111111113,"['103', '103', '103', '103']"
428,188,7,0.6500000000000001,"['103', '103', '103', '103', '103-O', '103-O', '103-O']"
188,383,7,0.26388888888888884,"['103', '103', '103', '103', '103-O', '103-O', '103-O']"
383,175,7,0.6777777777777779,"['103', '103', '103', '103', '103-O', '103-O', '103-O']"
175,400,7,0.6416666666666667,"['103', '103', '103', '103', '103-O', '103-O', '103-O']"
400,401,7,0.6694444444444446,"['103', '103', '103', '103', '103-O', '103-O', '103-O']"
401,72,7,0.6222222222222223,"['103', '103', '103', '103', '103-O', '103-O', '103-O']"
72,67,7,1.2055555555555557,"['103', '103', '103', '103', '103-O', '103-O', '103-O']"
67,68,9,0.3750000000000001,"['103', '103', '103', '103', '103-O', '103-O', '103-O', '103-O', '103-O']"
68,126,15,1.2869047619047622,"['103', '103', '103', '103', '103-O', '103-O', '103-O', '103-O', '103-O', '105', '105', '105', '114A', '114A', '114A']"
126,330,3,9.65,"['103-O', '103-O', '103-O']"
330,6,22,0.8753968253968252,"['103-O', '103-O', '103-O', '114A', '114A', '114A', '114B', '202', '202', '202', '51', '51', '51', '51', '52', '52', '53-O', '53-O', '53-O', '57', '57', '57']"
6,11,31,1.6927777777777777,"['103-O', '103-O', '103-O', '114A', '114A', '114A', '114B', '202', '202', '202', '49', '49', '49', '49', '51', '51', '51', '51', '52', '52', '53-O', '53-O', '53-O', '55', '55', '57', '57', '57', '8', '84', '84']"
11,6,31,1.1822222222222223,"['103-O', '103-O', '114A', '114A', '114B', '114B', '114B', '114B', '202', '202', '32', '32', '32', '49', '51', '52', '52', '52', '53-O', '53-O', '55', '55', '57', '57', '8', '84', '84', '91', '91', '91', '91']"
6,12,19,0.9185185185185184,"['103-O', '103-O', '114A', '114A', '114B', '114B', '114B', '114B', '202', '202', '49', '51', '52', '52', '52', '53-O', '53-O', '57', '57']"
12,184,2,0.6666666666666666,"['103-O', '103-O']"
184,67,2,8.916666666666666,"['103-O', '103-O']"
425,424,2,1.95,"['103-O', '103-O']"
424,427,2,0.3333333333333333,"['103-O', '103-O']"
355,166,9,0.5583333333333335,"['105', '105', '105', '114A', '114A', '114B', '114B', '114B', '114B']"
166,167,7,0.6444444444444445,"['105', '105', '105', '114B', '114B', '114B', '114B']"
167,168,7,0.7277777777777779,"['105', '105', '105', '114B', '114B', '114B', '114B']"
168,125,3,2.316666666666667,"['105', '105', '105']"
125,123,3,0.9833333333333333,"['105', '105', '105']"
123,320,3,1.6833333333333333,"['105', '105', '105']"
320,372,7,0.5361111111111112,"['105', '105', '105', '114A', '114A', '114A', '114B']"
372,325,9,1.0520833333333335,"['105', '105', '105', '114A', '114A', '114B', '114B', '114B', '114B']"
325,423,3,2.05,"['105', '105', '105']"
423,407,3,0.7166666666666667,"['105', '105', '105']"
407,409,3,1.7,"['105', '105', '105']"
352,411,3,0.6333333333333333,"['105', '105', '105']"
411,413,3,0.5,"['105', '105', '105']"
413,412,3,0.9833333333333333,"['105', '105', '105']"
412,178,3,0.5666666666666667,"['105', '105', '105']"
