,stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,geometry,closest_hospital_distance,closest_grocery_distance,closest_park_distance,closest_bar_distance,closest_worship_distance,closest_mcdonalds_distance,closest_starbucks_distance,near_hospital,near_grocery,near_park,near_bar,near_worship,near_mcdonalds,near_starbucks,total_population,white_population,black_population,asian_population,total_housing_units,owner_occupied_units,rentor_occupied_units,population_over_age_25,has_bachelors_degree,has_masters_degree,has_professional_degree,state,county,tract,block group,has_doctorate,total_income_known,income_to_poverty_above_200,vehicles,total_population_percent,white_population_percent,black_population_percent,asian_population_percent,total_housing_units_percent,owner_occupied_units_percent,rentor_occupied_units_percent,population_over_age_25_percent,has_bachelors_degree_percent,has_masters_degree_percent,has_professional_degree_percent,has_doctorate_percent,total_income_known_percent,income_to_poverty_above_200_percent,vehicles_percent,less_than_a_bachelors_degree,less_than_a_bachelors_degree_percent,income_to_poverty_under_200,income_to_poverty_under_200_percent,routes
0,1423,4262,St Charles + Hillary,,29.939808,-90.130253,,,,,,2,POINT (-90.130253 29.939808),772.0697167054553,556.4667680382097,677.7193847941402,173.7750405670622,63.81886186279653,512.8742794577535,567.7897523645507,False,False,False,True,True,False,False,844.0,692.0,101.0,11.0,308.0,139.0,169.0,543.0,205.0,148.0,83.0,22.0,71.0,12500.0,1.0,36.0,826.0,731.0,440.0,1.0,0.8199052132701422,0.11966824644549763,0.013033175355450236,1.0,0.4512987012987013,0.5487012987012987,1.0,0.3775322283609576,0.27255985267034993,0.15285451197053407,0.06629834254143646,1.0,0.8849878934624698,0.5213270142180095,71.0,0.13075506445672191,95.0,0.11501210653753027,
7,1424,4263,St Charles + Lowerline,,29.938259,-90.128334,,,,,,2,POINT (-90.128334 29.938259),702.1845032761518,439.09214430558757,746.9292128340973,344.70935023700383,43.90634593272445,580.0046291336436,406.9059128064734,False,False,False,True,True,False,False,844.0,692.0,101.0,11.0,308.0,139.0,169.0,543.0,205.0,148.0,83.0,22.0,71.0,12500.0,1.0,36.0,826.0,731.0,440.0,1.0,0.8199052132701422,0.11966824644549763,0.013033175355450236,1.0,0.4512987012987013,0.5487012987012987,1.0,0.3775322283609576,0.27255985267034993,0.15285451197053407,0.06629834254143646,1.0,0.8849878934624698,0.5213270142180095,71.0,0.13075506445672191,95.0,0.11501210653753027,
14,1425,4264,St Charles + Broadway,,29.937211,-90.126938,,,,,,2,POINT (-90.126938 29.937211),675.2305421740485,347.43979395774335,810.8494793345006,337.0709406801688,11.86431425840316,647.5127162982136,305.4035422314198,False,True,False,True,True,False,True,909.0,737.0,101.0,17.0,284.0,226.0,58.0,533.0,197.0,102.0,118.0,22.0,71.0,12000.0,2.0,38.0,741.0,647.0,474.0,1.0,0.8107810781078107,0.1111111111111111,0.0187018701870187,1.0,0.795774647887324,0.20422535211267606,1.0,0.3696060037523452,0.19136960600375236,0.22138836772983114,0.07129455909943715,1.0,0.873144399460189,0.5214521452145214,78.0,0.14634146341463414,94.0,0.12685560053981107,
23,1426,427,S. Claiborne at Felicity,,29.945883,-90.088508,,,,,,2,POINT (-90.088508 29.945883),965.9903959336743,282.01346656433566,386.92127691184584,284.21487984186626,50.7396543303113,487.0804317084694,334.5334972482738,False,True,True,True,True,False,True,675.0,72.0,538.0,5.0,283.0,88.0,195.0,434.0,44.0,10.0,0.0,22.0,71.0,8600.0,1.0,0.0,675.0,195.0,217.0,1.0,0.10666666666666667,0.797037037037037,0.007407407407407408,1.0,0.31095406360424027,0.6890459363957597,1.0,0.10138248847926268,0.02304147465437788,0.0,0.0,1.0,0.28888888888888886,0.3214814814814815,391.0,0.9009216589861752,480.0,0.7111111111111111,
28,1427,428,M L King at Clara,,29.945464,-90.086519,,,,,,2,POINT (-90.086519 29.945464),915.9245317161573,301.6488674837875,338.12401053905035,262.1802273957267,36.19058760380216,447.8343184843224,299.73164531931627,False,True,True,True,True,False,True,831.0,0.0,831.0,0.0,283.0,7.0,276.0,327.0,19.0,0.0,0.0,22.0,71.0,14000.0,3.0,0.0,831.0,58.0,,1.0,0.0,1.0,0.0,1.0,0.024734982332155476,0.9752650176678446,1.0,0.0581039755351682,0.0,0.0,0.0,1.0,0.06979542719614922,,308.0,0.9418960244648318,773.0,0.9302045728038508,
35,1428,4286,St Charles at Eighth Street,,29.929178,-90.089039,,,,,,2,POINT (-90.089039 29.929178),363.86180438058153,469.1544861938658,606.5770938514888,295.3585459127693,40.236061571283095,1380.377618425881,335.4104895546595,True,False,False,True,True,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1429,429,M L King at Robertson,,29.944414,-90.085301,,,,,,2,POINT (-90.085301 29.944414),798.096790459215,251.44070835265424,220.91045530463316,255.39889507844364,23.734415253306896,342.9478808719251,208.54414250189163,False,True,True,True,True,True,True,831.0,0.0,831.0,0.0,283.0,7.0,276.0,327.0,19.0,0.0,0.0,22.0,71.0,14000.0,3.0,0.0,831.0,58.0,,1.0,0.0,1.0,0.0,1.0,0.024734982332155476,0.9752650176678446,1.0,0.0581039755351682,0.0,0.0,0.0,1.0,0.06979542719614922,,308.0,0.9418960244648318,773.0,0.9302045728038508,
43,1430,430,M L King at LaSalle,,29.943511,-90.083705,,,,,,2,POINT (-90.083705 29.943511),695.7707698962479,196.5330917002205,121.9697222666298,175.16095379978867,39.55833027539551,266.02345604918537,167.69706550198808,False,True,True,True,True,True,True,831.0,0.0,831.0,0.0,283.0,7.0,276.0,327.0,19.0,0.0,0.0,22.0,71.0,14000.0,3.0,0.0,831.0,58.0,,1.0,0.0,1.0,0.0,1.0,0.024734982332155476,0.9752650176678446,1.0,0.0581039755351682,0.0,0.0,0.0,1.0,0.06979542719614922,,308.0,0.9418960244648318,773.0,0.9302045728038508,
50,1431,431,M L King at Simon Bolivar,,29.942437,-90.081748,,,,,,2,POINT (-90.081748 29.942437),574.1240240019887,192.6303859012879,45.050498514606666,108.93569951781318,19.184385879875844,206.82186871197482,193.82152236651706,False,True,True,True,True,True,True,831.0,0.0,831.0,0.0,283.0,7.0,276.0,327.0,19.0,0.0,0.0,22.0,71.0,14000.0,3.0,0.0,831.0,58.0,,1.0,0.0,1.0,0.0,1.0,0.024734982332155476,0.9752650176678446,1.0,0.0581039755351682,0.0,0.0,0.0,1.0,0.06979542719614922,,308.0,0.9418960244648318,773.0,0.9302045728038508,
57,1432,4344,St Charles at Lowerline,,29.938353,-90.128094,,,,,,2,POINT (-90.128094 29.938353),700.6373084115975,444.5966452007167,737.9293935589023,334.3350469881868,40.02588897284,570.8856674645364,413.639022960207,False,False,False,True,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,1433,4345,St Charles at Hillary,,29.939881,-90.130019,,,,,,2,POINT (-90.130019 29.939881),772.0885078360017,549.3852869419123,671.401081511618,165.36040322127835,72.44258051315137,506.87493281445114,573.569782552601,False,False,False,True,True,False,False,474.0,228.0,14.0,204.0,232.0,139.0,93.0,338.0,143.0,49.0,57.0,22.0,71.0,12600.0,3.0,5.0,474.0,393.0,318.0,1.0,0.4810126582278481,0.029535864978902954,0.43037974683544306,1.0,0.5991379310344828,0.40086206896551724,1.0,0.4230769230769231,0.14497041420118342,0.16863905325443787,0.014792899408284023,1.0,0.8291139240506329,0.6708860759493671,84.0,0.2485207100591716,81.0,0.17088607594936708,
61,1434,4346,St Charles at Fern,,29.94179,-90.132367,,,,,,2,POINT (-90.132367 29.94179),899.6355952890376,500.97916131075107,644.6428286844799,68.49873050303651,117.72311998163408,502.8617167272807,519.3093611088627,False,False,False,True,True,False,False,474.0,228.0,14.0,204.0,232.0,139.0,93.0,338.0,143.0,49.0,57.0,22.0,71.0,12600.0,3.0,5.0,474.0,393.0,318.0,1.0,0.4810126582278481,0.029535864978902954,0.43037974683544306,1.0,0.5991379310344828,0.40086206896551724,1.0,0.4230769230769231,0.14497041420118342,0.16863905325443787,0.014792899408284023,1.0,0.8291139240506329,0.6708860759493671,84.0,0.2485207100591716,81.0,0.17088607594936708,
64,1435,435,Poydras at Loyola,,29.950822,-90.075443,,,,,,2,POINT (-90.075443 29.950822),1502.5003606961545,327.7288720102151,545.8959225208162,29.132195739003738,276.02170166415317,313.8709054554535,148.16365747338745,False,True,False,True,True,True,True,835.0,241.0,450.0,17.0,653.0,40.0,613.0,751.0,177.0,76.0,10.0,22.0,71.0,13400.0,3.0,25.0,835.0,389.0,639.0,1.0,0.288622754491018,0.5389221556886228,0.02035928143712575,1.0,0.06125574272588055,0.9387442572741195,1.0,0.23568575233022637,0.10119840213049268,0.013315579227696404,0.033288948069241014,1.0,0.4658682634730539,0.7652694610778443,474.0,0.6311584553928096,446.0,0.5341317365269461,
91,1436,436,Loyola at Perdido,,29.951945,-90.075474,,,,,,2,POINT (-90.075474 29.951945),1500.7583697244786,352.5688490215759,464.2295086823998,34.36919798414656,186.0987355940691,196.81123165375098,147.79704799324807,False,True,False,True,True,True,True,835.0,241.0,450.0,17.0,653.0,40.0,613.0,751.0,177.0,76.0,10.0,22.0,71.0,13400.0,3.0,25.0,835.0,389.0,639.0,1.0,0.288622754491018,0.5389221556886228,0.02035928143712575,1.0,0.06125574272588055,0.9387442572741195,1.0,0.23568575233022637,0.10119840213049268,0.013315579227696404,0.033288948069241014,1.0,0.4658682634730539,0.7652694610778443,474.0,0.6311584553928096,446.0,0.5341317365269461,
118,1437,4360,Gentilly + Franklin,,30.002754,-90.050402,,,,,,2,POINT (-90.050402 30.002754),1726.0025738333125,359.0298377929798,870.1160115873315,1556.8579138155862,37.47508036613581,1471.139212261798,1100.4170763545312,False,True,False,False,True,False,False,918.0,101.0,763.0,0.0,359.0,207.0,152.0,641.0,132.0,32.0,0.0,22.0,71.0,2402.0,4.0,0.0,918.0,366.0,493.0,1.0,0.11002178649237472,0.8311546840958606,0.0,1.0,0.5766016713091922,0.4233983286908078,1.0,0.2059282371294852,0.0499219968798752,0.0,0.0,1.0,0.39869281045751637,0.5370370370370371,477.0,0.7441497659906396,552.0,0.6013071895424836,
124,1441,44,Elysian Fields Ave. at Decatur St.,,29.96269,-90.056608,,,,,,2,POINT (-90.056608 29.96269),1326.7166702705774,215.89797209055496,138.2307199924285,30.369633326977713,203.5007148517924,758.9737786069096,1085.042337744173,False,True,True,True,True,False,False,611.0,467.0,52.0,0.0,464.0,170.0,294.0,537.0,278.0,70.0,47.0,22.0,71.0,2600.0,2.0,8.0,611.0,355.0,349.0,1.0,0.7643207855973814,0.0851063829787234,0.0,1.0,0.36637931034482757,0.6336206896551724,1.0,0.5176908752327747,0.1303538175046555,0.08752327746741155,0.0148975791433892,1.0,0.5810147299509002,0.5711947626841244,134.0,0.24953445065176907,256.0,0.41898527004909986,
127,1446,444,Loyola at Howard,,29.945829,-90.076903,,,,,,2,POINT (-90.076903 29.945829),947.558521040571,213.67679592345402,393.97534545158123,127.36132425533398,150.7798187760295,534.0041387563734,318.4377373755716,False,True,True,True,True,False,True,729.0,332.0,391.0,6.0,511.0,55.0,456.0,688.0,200.0,59.0,47.0,22.0,71.0,13400.0,2.0,36.0,729.0,349.0,353.0,1.0,0.4554183813443073,0.5363511659807956,0.00823045267489712,1.0,0.10763209393346379,0.8923679060665362,1.0,0.29069767441860467,0.08575581395348837,0.06831395348837209,0.05232558139534884,1.0,0.4787379972565158,0.4842249657064472,349.0,0.5072674418604651,380.0,0.5212620027434842,
154,1447,4443,St Bernard at N. Claiborne,,29.972989,-90.066045,,,,,,2,POINT (-90.066045 29.972989),1749.0118792980213,455.02142023612015,441.6902974405928,121.49297242815359,88.46007310435242,449.82689532695804,1910.545521044063,False,False,False,True,True,False,False,823.0,240.0,569.0,8.0,363.0,119.0,244.0,669.0,125.0,180.0,8.0,22.0,71.0,3400.0,1.0,11.0,823.0,455.0,462.0,1.0,0.2916160388821385,0.6913730255164034,0.009720534629404616,1.0,0.3278236914600551,0.6721763085399449,1.0,0.18684603886397608,0.26905829596412556,0.01195814648729447,0.016442451420029897,1.0,0.5528554070473876,0.5613608748481167,345.0,0.515695067264574,368.0,0.4471445929526124,
160,1448,4445,N. Claiborne Ave. at LaHarpe St.,,29.971699,-90.066255,,,,,,2,POINT (-90.066255 29.971699),1644.9560017315666,382.12943840768787,528.6804167103046,161.66007284907005,31.689642102768932,334.67878125728754,1838.0751828965579,False,True,False,True,True,True,False,725.0,260.0,370.0,0.0,430.0,129.0,301.0,547.0,140.0,41.0,18.0,22.0,71.0,3400.0,2.0,0.0,725.0,338.0,336.0,1.0,0.3586206896551724,0.5103448275862069,0.0,1.0,0.3,0.7,1.0,0.25594149908592323,0.07495429616087751,0.03290676416819013,0.0,1.0,0.46620689655172415,0.463448275862069,348.0,0.6361974405850092,387.0,0.5337931034482759,
166,1450,445,Loyola + Tulane,,29.954333,-90.074706,,,,,,2,POINT (-90.074706 29.954333),1335.4282373512979,437.70360462339954,367.65093774850226,37.54449517674056,96.69046787586335,115.36558981495912,159.6487826285151,False,False,True,True,True,True,True,835.0,241.0,450.0,17.0,653.0,40.0,613.0,751.0,177.0,76.0,10.0,22.0,71.0,13400.0,3.0,25.0,835.0,389.0,639.0,1.0,0.288622754491018,0.5389221556886228,0.02035928143712575,1.0,0.06125574272588055,0.9387442572741195,1.0,0.23568575233022637,0.10119840213049268,0.013315579227696404,0.033288948069241014,1.0,0.4658682634730539,0.7652694610778443,474.0,0.6311584553928096,446.0,0.5341317365269461,
193,1454,449,Loyola at Girod,,29.948723,-90.076537,,,,,,2,POINT (-90.076537 29.948723),1269.133090253279,115.64616297194983,699.7787578451619,146.35776837734966,173.324608629698,544.6172833136616,138.3090572588482,False,True,False,True,True,False,True,729.0,332.0,391.0,6.0,511.0,55.0,456.0,688.0,200.0,59.0,47.0,22.0,71.0,13400.0,2.0,36.0,729.0,349.0,353.0,1.0,0.4554183813443073,0.5363511659807956,0.00823045267489712,1.0,0.10763209393346379,0.8923679060665362,1.0,0.29069767441860467,0.08575581395348837,0.06831395348837209,0.05232558139534884,1.0,0.4787379972565158,0.4842249657064472,349.0,0.5072674418604651,380.0,0.5212620027434842,
