,,update_count,driving_time,routes,source_stop_id,destination_stop_id,avg_delay
283,20659,4,0.6666666666666667,"('11', '13', '36', '10')",283,20659,0.0
20659,20660,4,1.3333333333333335,"('11', '13', '36', '10')",20659,20660,0.0
20660,20661,4,1.0,"('11', '13', '36', '10')",20660,20661,0.0
20661,20662,4,1.6666666666666667,"('11', '13', '36', '10')",20661,20662,0.0
20662,20658,4,1.3333333333333335,"('11', '13', '36', '10')",20662,20658,0.0
20658,20733,3,2.0,"('11', '13', '36')",20658,20733,0.0
20733,20734,3,1.0,"('11', '13', '36')",20733,20734,0.0
20734,301,3,2.0,"('11', '13', '36')",20734,301,15.862181818181819
301,20736,2,1.0,"('11', '36')",301,20736,0.0
20736,20737,2,1.0,"('11', '36')",20736,20737,0.0
20737,20739,2,1.0,"('11', '36')",20737,20739,0.0
20739,20740,2,1.0,"('11', '36')",20739,20740,0.0
20740,302,2,1.0,"('11', '36')",20740,302,30.0
302,317,1,0.0,"('11',)",302,317,0.0
317,20741,1,1.0,"('11',)",317,20741,0.0
20741,20742,1,0.0,"('11',)",20741,20742,0.0
20742,20743,1,1.0,"('11',)",20742,20743,0.0
20743,20744,1,1.0,"('11',)",20743,20744,0.0
20744,20745,1,0.0,"('11',)",20744,20745,0.0
20745,20746,1,1.0,"('11',)",20745,20746,0.0
20746,20747,1,1.0,"('11',)",20746,20747,0.0
20747,20748,1,0.0,"('11',)",20747,20748,0.0
20748,20749,1,2.0,"('11',)",20748,20749,0.0
20749,20750,3,1.0,"('11', '409', 'G')",20749,20750,0.0
20750,303,2,1.0,"('11', '409')",20750,303,0.0
303,20751,3,0.5,"('11', '409', '415')",303,20751,0.0
20751,20752,3,0.0,"('11', '409', '415')",20751,20752,0.0
20752,20753,3,1.0,"('11', '409', '415')",20752,20753,0.0
20753,20754,1,1.0,"('11',)",20753,20754,0.0
20754,20755,1,1.0,"('11',)",20754,20755,0.0
20755,20756,1,0.0,"('11',)",20755,20756,0.0
20756,20757,1,1.0,"('11',)",20756,20757,0.0
20757,20758,1,1.0,"('11',)",20757,20758,0.0
20758,20759,1,1.0,"('11',)",20758,20759,0.0
20759,20760,1,0.0,"('11',)",20759,20760,0.0
20760,304,1,2.0,"('11',)",20760,304,30.0
304,20761,1,0.0,"('11',)",304,20761,0.0
20761,20762,1,1.0,"('11',)",20761,20762,0.0
20762,20763,1,0.0,"('11',)",20762,20763,0.0
20763,20764,1,1.0,"('11',)",20763,20764,0.0
20764,20765,1,0.0,"('11',)",20764,20765,0.0
20765,20766,1,1.0,"('11',)",20765,20766,0.0
20766,20767,1,0.0,"('11',)",20766,20767,0.0
20767,25241,1,1.0,"('11',)",20767,25241,0.0
25241,305,1,2.0,"('11',)",25241,305,0.0
301,20807,1,1.0,"('13',)",301,20807,0.0
20807,20808,1,0.0,"('13',)",20807,20808,0.0
20808,20809,1,1.0,"('13',)",20808,20809,0.0
20809,20810,1,1.0,"('13',)",20809,20810,0.0
20810,20811,1,0.0,"('13',)",20810,20811,0.0
20811,20812,1,1.0,"('13',)",20811,20812,0.0
20812,322,1,1.0,"('13',)",20812,322,30.0
322,20814,1,1.0,"('13',)",322,20814,0.0
20814,20815,1,0.0,"('13',)",20814,20815,0.0
20815,20816,1,1.0,"('13',)",20815,20816,0.0
20816,20817,1,1.0,"('13',)",20816,20817,0.0
20817,20818,1,0.0,"('13',)",20817,20818,0.0
20818,20819,1,1.0,"('13',)",20818,20819,0.0
20819,20820,1,1.0,"('13',)",20819,20820,0.0
20820,323,1,1.0,"('13',)",20820,323,30.0
323,20821,1,0.0,"('13',)",323,20821,0.0
20821,20822,1,1.0,"('13',)",20821,20822,0.0
20822,20823,1,0.0,"('13',)",20822,20823,0.0
20823,20824,1,1.0,"('13',)",20823,20824,0.0
20824,20825,1,1.0,"('13',)",20824,20825,0.0
20825,324,1,1.0,"('13',)",20825,324,30.0
324,20826,1,0.0,"('13',)",324,20826,0.0
20826,20827,1,1.0,"('13',)",20826,20827,0.0
20827,31218,1,1.0,"('13',)",20827,31218,0.0
31218,21209,1,1.0,"('13',)",31218,21209,0.0
21209,20831,1,1.0,"('13',)",21209,20831,0.0
20831,30865,1,1.0,"('13',)",20831,30865,0.0
30865,20833,1,0.0,"('13',)",30865,20833,0.0
20833,20834,1,1.0,"('13',)",20833,20834,0.0
20834,325,1,1.0,"('13',)",20834,325,3.148818897637796
599,20859,1,0.0,"('34',)",599,20859,0.0
20859,20860,1,1.0,"('34',)",20859,20860,0.0
20860,20861,2,0.0,"('34', '46')",20860,20861,0.0
20861,20862,1,1.0,"('34',)",20861,20862,0.0
20862,20863,1,0.0,"('34',)",20862,20863,0.0
20863,20864,1,1.0,"('34',)",20863,20864,0.0
20864,20865,1,0.0,"('34',)",20864,20865,0.0
20865,20866,1,1.0,"('34',)",20865,20866,0.0
20866,20867,1,0.0,"('34',)",20866,20867,0.0
20867,20868,1,1.0,"('34',)",20867,20868,0.0
20868,20869,1,1.0,"('34',)",20868,20869,0.0
20869,600,1,0.0,"('34',)",20869,600,0.0
600,20870,1,1.0,"('34',)",600,20870,0.0
20870,20871,1,0.0,"('34',)",20870,20871,0.0
20871,20872,1,1.0,"('34',)",20871,20872,0.0
20872,20873,1,1.0,"('34',)",20872,20873,0.0
20873,20874,1,0.0,"('34',)",20873,20874,0.0
20874,20875,1,1.0,"('34',)",20874,20875,0.0
20875,20876,1,0.0,"('34',)",20875,20876,0.0
20876,20804,1,1.0,"('34',)",20876,20804,0.0
20804,20731,1,2.0,"('34',)",20804,20731,0.0
20731,20732,1,2.0,"('34',)",20731,20732,0.0
20732,20642,1,2.0,"('34',)",20732,20642,0.0
20642,20643,1,2.0,"('34',)",20642,20643,0.0
20643,20645,1,2.0,"('34',)",20643,20645,0.0
20645,20646,1,1.0,"('34',)",20645,20646,0.0
20646,31140,1,2.0,"('34',)",20646,31140,0.0
31140,283,1,2.0,"('34',)",31140,283,0.0
302,20897,1,0.0,"('36',)",302,20897,0.0
20897,30595,1,2.0,"('36',)",20897,30595,0.0
30595,20899,1,0.0,"('36',)",30595,20899,0.0
20899,20900,1,1.0,"('36',)",20899,20900,0.0
20900,20901,1,0.0,"('36',)",20900,20901,0.0
20901,20902,1,2.0,"('36',)",20901,20902,0.0
20902,20903,1,0.0,"('36',)",20902,20903,0.0
20903,20904,1,1.0,"('36',)",20903,20904,0.0
20904,20905,1,0.0,"('36',)",20904,20905,0.0
20905,20906,1,1.0,"('36',)",20905,20906,0.0
20906,20907,1,1.0,"('36',)",20906,20907,0.0
20907,20908,1,1.0,"('36',)",20907,20908,30.0
20908,20909,1,0.0,"('36',)",20908,20909,0.0
20909,20910,1,1.0,"('36',)",20909,20910,0.0
20910,20911,1,1.0,"('36',)",20910,20911,0.0
20911,20912,1,0.0,"('36',)",20911,20912,0.0
20912,20913,1,1.0,"('36',)",20912,20913,0.0
20913,20914,1,1.0,"('36',)",20913,20914,0.0
20914,20915,1,0.0,"('36',)",20914,20915,0.0
20915,20916,1,1.0,"('36',)",20915,20916,0.0
20916,20917,1,1.0,"('36',)",20916,20917,0.0
20917,20918,1,1.0,"('36',)",20917,20918,0.0
20918,610,1,1.0,"('36',)",20918,610,25.263698630136986
610,611,1,1.0,"('36',)",610,611,1.319
32648,32643,1,2.0,"('36B',)",32648,32643,4.187912087912088
32643,32125,1,0.0,"('36B',)",32643,32125,4.618478260869566
32125,32644,1,1.0,"('36B',)",32125,32644,4.38804347826087
32644,31775,1,1.0,"('36B',)",32644,31775,4.323913043478261
31775,20931,1,0.0,"('36B',)",31775,20931,5.69891304347826
20931,20932,1,1.0,"('36B',)",20931,20932,4.806521739130434
20932,32649,1,2.0,"('36B',)",20932,32649,2.8548387096774195
1874,19379,2,0.0,"('204', '206')",1874,19379,3.5703703703703704
19379,19380,4,0.6666666666666667,"('204', '206', '92', '106')",19379,19380,6.171428571428571
19380,29765,3,1.0,"('204', '206', '106')",19380,29765,5.914285714285715
29765,29183,1,1.0,"('204',)",29765,29183,2.893333333333333
29183,29184,1,1.0,"('204',)",29183,29184,2.986666666666667
29184,30621,1,3.0,"('204',)",29184,30621,1.98
30621,30421,1,1.0,"('204',)",30621,30421,1.54
30421,29187,1,0.0,"('204',)",30421,29187,3.433333333333333
29187,29197,1,1.0,"('204',)",29187,29197,3.7466666666666666
29197,29202,1,1.0,"('204',)",29197,29202,3.5533333333333337
29202,2289,1,1.0,"('204',)",29202,2289,3.6133333333333337
2289,2290,1,2.0,"('204',)",2289,2290,2.58
2290,29206,1,0.0,"('204',)",2290,29206,3.7199999999999998
29206,29207,1,1.0,"('204',)",29206,29207,3.8400000000000003
29207,29208,1,0.0,"('204',)",29207,29208,4.0
29208,29209,1,1.0,"('204',)",29208,29209,3.506666666666667
29209,29211,1,0.0,"('204',)",29209,29211,4.606666666666667
29211,26857,1,2.0,"('204',)",29211,26857,3.8066666666666666
26857,29487,1,0.0,"('204',)",26857,29487,4.153333333333333
29487,31799,1,1.0,"('204',)",29487,31799,4.08
31799,26859,1,0.0,"('204',)",31799,26859,4.38
26859,26860,1,0.0,"('204',)",26859,26860,4.12
26860,29710,1,0.0,"('204',)",26860,29710,8.239999999999998
29710,29711,1,1.0,"('204',)",29710,29711,7.5
29711,29712,1,0.0,"('204',)",29711,29712,8.08
