,,update_count,driving_time,routes,source_stop_id,destination_stop_id,avg_delay
283,20659,3,0.5,"('11', '36', '10')",283,20659,6.577023121387284
20659,20660,3,1.5,"('11', '36', '10')",20659,20660,6.435703918722786
20660,20661,3,1.0,"('11', '36', '10')",20660,20661,6.4258017492711375
20661,20662,3,1.5,"('11', '36', '10')",20661,20662,6.337865497076024
20662,20658,3,1.5,"('11', '36', '10')",20662,20658,6.9841642228739
20658,20733,2,1.0,"('11', '36')",20658,20733,7.18
20733,20734,2,1.0,"('11', '36')",20733,20734,6.86452205882353
20734,301,2,2.0,"('11', '36')",20734,301,8.54688524590164
301,20736,2,1.0,"('11', '36')",301,20736,4.32188679245283
20736,20737,2,1.0,"('11', '36')",20736,20737,4.304166666666666
20737,20739,2,1.0,"('11', '36')",20737,20739,3.9950943396226415
20739,20740,2,1.0,"('11', '36')",20739,20740,4.0223938223938225
20740,302,2,1.0,"('11', '36')",20740,302,8.956896551724139
302,317,1,0.0,"('11',)",302,317,4.4421487603305785
317,20741,1,1.0,"('11',)",317,20741,4.568595041322314
20741,20742,1,1.0,"('11',)",20741,20742,4.2611570247933885
20742,20743,1,0.0,"('11',)",20742,20743,4.479338842975206
20743,20744,1,1.0,"('11',)",20743,20744,4.2272727272727275
20744,20745,1,1.0,"('11',)",20744,20745,4.445454545454545
20745,20746,1,1.0,"('11',)",20745,20746,4.275409836065574
20746,20747,1,0.0,"('11',)",20746,20747,4.072131147540984
20747,20748,1,1.0,"('11',)",20747,20748,4.089344262295082
20748,20749,1,2.0,"('11',)",20748,20749,4.040983606557377
20749,20750,3,0.5,"('11', '409', 'G')",20749,20750,3.217948717948718
20750,303,2,1.0,"('11', '409')",20750,303,0.0
303,20751,3,0.5,"('11', '409', '415')",303,20751,0.0
20751,20752,3,0.0,"('11', '409', '415')",20751,20752,0.0
20752,20753,3,1.0,"('11', '409', '415')",20752,20753,0.0
20753,20754,1,1.0,"('11',)",20753,20754,4.458333333333333
20754,20755,1,1.0,"('11',)",20754,20755,4.466666666666667
20755,20756,1,0.0,"('11',)",20755,20756,4.691735537190083
20756,20757,1,1.0,"('11',)",20756,20757,4.500826446280992
