,stop_id,trip_sequence,trip_id,route_id,stop_name,route_name,minute_delay,oid_max,actual_arrival_time_max,actual_arrival_time_min,planned_arrival_seconds_since_midnight_max,planned_arrival_seconds_since_midnight_min
0,10,67,491336,1,Roosevelt Blvd & Woodward St,1,2.4794117647058824,2158802,2023-12-13 09:05:30.000000,2023-12-12 06:28:36.000000,87180.0,21420.0
1,10,89,491917,14,Roosevelt Blvd & Woodward St,14,2.290909090909091,2159724,2023-12-13 10:44:30.000000,2023-12-12 06:15:01.000000,94260.0,11460.0
2,10011,21,530391,102,Magnolia Av Station,102,7.8539682539682545,2159951,2023-12-13 09:35:32.000000,2023-12-12 06:26:45.000000,92880.0,16740.0
3,1003,15,517219,70,Oak Lane & Cheltenham Av,70,8.865986394557822,2159762,2023-12-13 10:44:30.000000,1969-12-31 19:00:00.000000,95040.0,20100.0
4,1006,35,515308,66,Frankford Av & Princeton Av ,66,1.9063583815028902,2159892,2023-12-13 09:47:58.000000,2023-12-12 06:08:16.000000,89580.0,4920.0
5,1007,38,515308,66,Frankford Av & Knorr St ,66,1.900578034682081,2159892,2023-12-13 09:49:37.000000,2023-12-12 06:10:02.000000,89640.0,4980.0
6,1008,43,517221,70,Cottman Av & Oxford Av,70,9.42937062937063,2159733,2023-12-13 10:55:18.000000,1969-12-31 19:00:00.000000,95580.0,20640.0
7,1008,76,518554,77,Cottman Av & Oxford Av,77,9.304545454545455,2141491,2023-12-13 08:54:34.000000,1969-12-31 19:00:00.000000,68160.0,24780.0
8,1009,50,517219,70,Cottman Av & Summerdale Av,70,2.127659574468085,2159733,2023-12-13 10:59:34.000000,2023-12-12 06:20:34.000000,95700.0,20820.0
9,1009,82,518551,77,Cottman Av & Summerdale Av,77,2.26875,2147621,2023-12-13 08:58:40.000000,2023-12-12 06:58:35.000000,68400.0,24960.0
10,101,1,498853,29,Pier 70 WalMart & Home Depot,29,24.519337016574585,2159943,1969-12-31 19:00:00.000000,1969-12-31 19:00:00.000000,93840.0,18900.0
11,101,8,497394,25,Pier 70 WalMart & Home Depot,25,5.317777777777778,2159463,2023-12-13 09:41:45.000000,1969-12-31 19:00:00.000000,84000.0,23880.0
12,101,39,498776,29,Pier 70 WalMart & Home Depot,29,4.389795918367347,2159164,2023-12-13 09:44:50.000000,2023-12-12 06:14:33.000000,96480.0,18480.0
13,101,89,514418,64,Pier 70 WalMart & Home Depot,64,5.212987012987012,2159480,2023-12-13 09:49:15.000000,2023-12-12 06:52:53.000000,88800.0,24540.0
14,101,93,497480,25,Pier 70 WalMart & Home Depot,25,8.835897435897436,2159096,2023-12-13 09:23:36.000000,1969-12-31 19:00:00.000000,83340.0,21840.0
15,101,118,516843,7,Pier 70 WalMart & Home Depot,7,3.794736842105263,2159563,2023-12-13 09:31:49.000000,2023-12-12 06:56:59.000000,80460.0,19800.0
16,1013,8,571104,433,Cottman Av & Roosevelt Blvd,433,1.0,1976127,2023-12-13 06:57:50.000000,2023-12-12 07:01:00.000000,25140.0,25140.0
17,1013,59,517219,70,Cottman Av & Roosevelt Blvd,70,2.954081632653061,2159733,2023-12-13 11:05:10.000000,2023-12-12 06:12:33.000000,95940.0,19860.0
18,1013,90,518551,77,Cottman Av & Roosevelt Blvd,77,3.2199999999999998,2156140,2023-12-13 09:03:53.000000,2023-12-12 07:02:22.000000,68760.0,25260.0
19,1016,81,517221,70,State Rd & Rhawn St,70,4.5851851851851855,2138805,2023-12-13 08:53:59.000000,2023-12-12 06:09:21.000000,85440.0,21840.0
20,10185,8,531934,105,Malvern Av & 65th St,105,1.076470588235294,2159979,2023-12-13 09:27:33.000000,2023-12-12 06:27:39.000000,82500.0,19020.0
21,10185,12,514740,65,Malvern Av & 65th St,65,3.7908163265306123,2159597,2023-12-13 09:32:51.000000,2023-12-12 06:19:29.000000,87060.0,17160.0
22,10188,10,531934,105,Malvern Av & 64th St - MBFS,105,1.535294117647059,2159979,2023-12-13 09:28:14.000000,2023-12-12 06:28:25.000000,82560.0,19080.0
23,10188,14,514740,65,Malvern Av & 64th St - MBFS,65,4.053061224489796,2159597,2023-12-13 09:33:44.000000,2023-12-12 06:20:18.000000,87120.0,17220.0
24,10189,11,531934,105,Malvern Av & Wynnewood Rd,105,1.1852941176470588,2159979,2023-12-13 09:28:29.000000,2023-12-12 06:28:37.000000,82560.0,19080.0
25,10189,15,514740,65,Malvern Av & Wynnewood Rd,65,3.694897959183674,2159597,2023-12-13 09:33:58.000000,2023-12-12 06:20:31.000000,87120.0,17220.0
26,1019,17,517312,70,State Rd & Rhawn St,70,3.1965517241379313,2159571,2023-12-13 09:30:21.000000,1969-12-31 19:00:00.000000,87600.0,23580.0
27,1019,105,519342,84,State Rd & Rhawn St,84,6.196923076923077,2158832,2023-12-13 09:22:01.000000,1969-12-31 19:00:00.000000,90480.0,20880.0
28,10200,61,498264,27,Manayunk Av & Hermit St,27,2.056,2159863,2023-12-13 09:35:04.000000,2023-12-12 06:05:50.000000,89580.0,22140.0
29,10201,59,498264,27,Manayunk Av & Kingsley St,27,2.12,2159863,2023-12-13 09:34:19.000000,2023-12-12 06:18:38.000000,89520.0,22080.0
30,10205,54,498264,27,Manayunk Av & Monastery Av,27,2.2842105263157895,2159863,2023-12-13 09:32:44.000000,2023-12-12 06:16:10.000000,89460.0,21960.0
31,10206,57,498264,27,Manayunk Av & Pennsdale St,27,2.039473684210526,2159863,2023-12-13 09:33:43.000000,2023-12-12 06:17:48.000000,89520.0,22020.0
32,10207,56,498264,27,Manayunk Av & Rector St,27,2.2171052631578947,2159863,2023-12-13 09:33:25.000000,2023-12-12 06:17:30.000000,89520.0,22020.0
33,10208,63,498264,27,Manayunk Av & Ridge Av,27,1.9453333333333334,2159863,2023-12-13 09:35:31.000000,2023-12-12 06:06:22.000000,89640.0,22200.0
