,,update_count,driving_time,routes,source_stop_id,destination_stop_id,avg_delay,delay_std
283,20659,3,0.5,"('11', '36', '10')",283,20659,6.354330708661418,6.703792282969651
20659,20660,3,1.5,"('11', '36', '10')",20659,20660,6.491050583657588,6.7480464234167465
20660,20661,3,1.0,"('11', '36', '10')",20660,20661,6.498818897637795,6.764008928239343
20661,20662,3,1.5,"('11', '36', '10')",20661,20662,6.243775100401606,6.762167304858234
20662,20658,3,1.5,"('11', '36', '10')",20662,20658,7.239285714285714,7.064737942551484
20658,20733,2,1.0,"('11', '36')",20658,20733,7.1482758620689655,6.865074075502556
20733,20734,2,1.0,"('11', '36')",20733,20734,6.8910447761194025,6.819334234585154
20734,301,2,2.0,"('11', '36')",20734,301,8.798076923076923,9.77240995179132
301,20736,2,1.0,"('11', '36')",301,20736,5.030769230769231,7.194978068188214
20736,20737,2,1.0,"('11', '36')",20736,20737,4.932967032967033,7.250533389498626
20737,20739,2,1.0,"('11', '36')",20737,20739,4.71978021978022,7.215249588047986
20739,20740,2,1.0,"('11', '36')",20739,20740,4.660227272727273,6.958209238721005
20740,302,2,1.0,"('11', '36')",20740,302,9.353571428571428,12.115710362188329
302,317,1,0.0,"('11',)",302,317,4.6450000000000005,7.1976474076692725
317,20741,1,1.0,"('11',)",317,20741,4.925,7.2094933852383045
20741,20742,1,1.0,"('11',)",20741,20742,4.230952380952381,7.0181467950379535
20742,20743,1,0.0,"('11',)",20742,20743,4.659523809523809,7.120018481882339
20743,20744,1,1.0,"('11',)",20743,20744,4.319047619047619,7.025501912292697
20744,20745,1,1.0,"('11',)",20744,20745,4.685714285714286,7.183808740072168
20745,20746,1,1.0,"('11',)",20745,20746,4.705,7.216361395805493
20746,20747,1,0.0,"('11',)",20746,20747,4.51,7.177557616162572
20747,20748,1,1.0,"('11',)",20747,20748,4.6725,7.264278159561843
20748,20749,1,2.0,"('11',)",20748,20749,4.720512820512821,7.36199985298544
20749,20750,3,0.5,"('11', '409', 'G')",20749,20750,4.955263157894737,7.414073446089633
20750,303,2,1.0,"('11', '409')",20750,303,,
303,20751,3,0.5,"('11', '409', '415')",303,20751,,
20751,20752,3,0.0,"('11', '409', '415')",20751,20752,,
20752,20753,3,1.0,"('11', '409', '415')",20752,20753,,
20753,20754,1,1.0,"('11',)",20753,20754,4.8149999999999995,6.883184638612476
20754,20755,1,1.0,"('11',)",20754,20755,4.595000000000001,6.843861183384414
20755,20756,1,0.0,"('11',)",20755,20756,5.0675,6.925145097063643
20756,20757,1,1.0,"('11',)",20756,20757,5.023684210526316,7.024606720184232
20757,20758,1,1.0,"('11',)",20757,20758,4.760526315789474,7.022494339088641
20758,20759,1,1.0,"('11',)",20758,20759,4.507894736842106,6.35522264814846
20759,20760,1,0.0,"('11',)",20759,20760,4.434210526315789,6.396209870793607
20760,304,1,2.0,"('11',)",20760,304,9.519607843137255,12.136523713285335
304,20761,1,0.0,"('11',)",304,20761,5.156410256410256,7.096618723092334
20761,20762,1,1.0,"('11',)",20761,20762,4.884615384615385,7.525659210906673
20762,20763,1,0.0,"('11',)",20762,20763,5.143589743589743,7.553103052520687
20763,20764,1,1.0,"('11',)",20763,20764,4.328947368421052,6.508410687167084
20764,20765,1,0.0,"('11',)",20764,20765,4.660526315789474,6.62528079868702
20765,20766,1,1.0,"('11',)",20765,20766,4.389473684210526,6.593477099076443
20766,20767,1,0.0,"('11',)",20766,20767,4.78974358974359,6.610111666856551
20767,25241,1,1.0,"('11',)",20767,25241,4.68108108108108,6.729199962263876
25241,305,1,2.0,"('11',)",25241,305,4.38421052631579,6.641618425190666
20774,20775,1,0.0,"('13',)",20774,20775,2.501785714285714,5.54346432776894
20775,20776,1,1.0,"('13',)",20775,20776,2.126785714285714,5.567453835263675
20776,20777,1,0.0,"('13',)",20776,20777,2.332142857142857,5.583159976632886
20777,20778,1,0.0,"('13',)",20777,20778,2.475,5.599910713573923
20778,20779,1,1.0,"('13',)",20778,20779,2.6120689655172415,5.556506462277873
20779,20781,1,2.0,"('13',)",20779,20781,1.9946428571428572,5.6203985508262555
20781,20782,1,0.0,"('13',)",20781,20782,2.380357142857143,5.660755479386351
20782,20843,1,1.0,"('13',)",20782,20843,2.4017857142857144,5.680028523341588
20843,319,1,1.0,"('13',)",20843,319,8.077464788732394,12.078779469834085
319,20785,1,0.0,"('13',)",319,20785,2.944642857142857,5.73565941815228
20785,20784,1,0.0,"('13',)",20785,20784,2.669642857142857,5.785182314809484
20784,20786,1,1.0,"('13',)",20784,20786,2.4660714285714285,5.746565038373771
20786,20787,1,1.0,"('13',)",20786,20787,2.9857142857142853,5.719136253012292
20787,20788,1,0.0,"('13',)",20787,20788,2.725925925925926,5.634770263190665
20788,320,1,1.0,"('13',)",20788,320,8.823287671232878,12.697052594860413
320,20791,1,0.0,"('13',)",320,20791,2.8981818181818184,5.597204689548198
20791,20792,1,1.0,"('13',)",20791,20792,2.821818181818182,5.60104788175725
20792,20793,1,0.0,"('13',)",20792,20793,2.9654545454545453,5.663175989633581
20793,20794,1,1.0,"('13',)",20793,20794,3.2945454545454544,5.624596057325433
20794,20795,1,0.0,"('13',)",20794,20795,3.2690909090909095,5.667283388899924
20795,20796,1,1.0,"('13',)",20795,20796,2.8754385964912283,5.563538208144499
20796,20797,1,0.0,"('13',)",20796,20797,3.3157894736842106,5.6018743506617055
20797,321,1,2.0,"('13',)",20797,321,9.954666666666666,13.056770981696376
321,20789,1,0.0,"('13',)",321,20789,3.2490909090909095,5.559438844826003
20789,20790,1,0.0,"('13',)",20789,20790,3.1945454545454544,5.673734748229423
20790,20799,1,1.0,"('13',)",20790,20799,3.92,5.7643347886426195
20799,20800,1,0.0,"('13',)",20799,20800,3.549090909090909,5.753577718746533
20800,20801,1,1.0,"('13',)",20800,20801,4.161818181818182,5.820891204169205
