,,update_count,driving_time,routes
341,343,5,1.4333333333333333,"['1', '1', '1', '12', '12']"
343,348,8,1.816666666666667,"['1', '1', '1', '12', '12', '1X', '1X', '1X']"
348,344,3,1.3,"['1', '1', '1']"
344,297,3,1.1416666666666666,"['1', '1', '1']"
297,330,3,0.9333333333333333,"['1', '1', '1']"
330,347,3,0.9500000000000001,"['1', '1', '1']"
347,346,3,1.0,"['1', '1', '1']"
346,345,3,0.8666666666666667,"['1', '1', '1']"
345,305,3,0.6,"['1', '1', '1']"
305,342,3,0.9833333333333333,"['1', '1', '1']"
342,756,3,1.15,"['1', '1', '1']"
756,755,3,0.95,"['1', '1', '1']"
755,428,3,0.8833333333333333,"['1', '1', '1']"
428,304,3,0.9750000000000001,"['1', '1', '1']"
304,296,3,1.5166666666666666,"['1', '1', '1']"
296,293,3,1.2416666666666667,"['1', '1', '1']"
293,306,3,1.7,"['1', '1', '1']"
306,300,6,1.393333333333333,"['1', '1', '1', '1X', '1X', '1X']"
300,307,6,1.6933333333333334,"['1', '1', '1', '1X', '1X', '1X']"
307,295,6,1.5733333333333335,"['1', '1', '1', '1X', '1X', '1X']"
295,207,9,1.1020833333333335,"['1', '1', '1', '1X', '1X', '1X', '33', '33', '33']"
207,290,6,1.41,"['1', '1', '1', '1X', '1X', '1X']"
290,291,6,1.19,"['1', '1', '1', '1X', '1X', '1X']"
291,292,6,1.0233333333333334,"['1', '1', '1', '1X', '1X', '1X']"
292,285,6,1.0666666666666667,"['1', '1', '1', '1X', '1X', '1X']"
285,303,6,0.7766666666666666,"['1', '1', '1', '1X', '1X', '1X']"
303,286,6,1.0366666666666666,"['1', '1', '1', '1X', '1X', '1X']"
286,287,6,1.4700000000000002,"['1', '1', '1', '1X', '1X', '1X']"
287,288,6,1.4666666666666668,"['1', '1', '1', '1X', '1X', '1X']"
288,97,6,1.4466666666666668,"['1', '1', '1', '1X', '1X', '1X']"
97,289,6,1.4833333333333334,"['1', '1', '1', '1X', '1X', '1X']"
289,117,6,1.1100000000000003,"['1', '1', '1', '1X', '1X', '1X']"
117,119,6,0.9366666666666666,"['1', '1', '1', '1X', '1X', '1X']"
119,118,3,0.825,"['1', '1', '1']"
118,119,5,0.5416666666666667,"['1', '1', '18', '18', '18']"
119,117,4,0.8333333333333334,"['1', '1', '1X', '1X']"
117,289,4,1.2277777777777779,"['1', '1', '1X', '1X']"
289,98,4,1.4777777777777779,"['1', '1', '1X', '1X']"
98,288,4,1.5666666666666669,"['1', '1', '1X', '1X']"
288,287,4,1.4666666666666668,"['1', '1', '1X', '1X']"
287,286,4,1.488888888888889,"['1', '1', '1X', '1X']"
286,303,4,1.2722222222222221,"['1', '1', '1X', '1X']"
303,292,4,0.9944444444444446,"['1', '1', '1X', '1X']"
292,291,9,0.5729166666666666,"['1', '1', '1X', '1X', '28R', '28R', '28R', '28R', '28R']"
291,207,4,1.7277777777777779,"['1', '1', '1X', '1X']"
207,295,6,1.58,"['1', '1', '1X', '1X', '33', '33']"
295,307,4,1.4833333333333334,"['1', '1', '1X', '1X']"
307,300,4,1.5944444444444446,"['1', '1', '1X', '1X']"
300,306,4,1.411111111111111,"['1', '1', '1X', '1X']"
306,293,2,1.4666666666666666,"['1', '1']"
293,385,2,1.0833333333333333,"['1', '1']"
385,304,2,1.6333333333333333,"['1', '1']"
304,428,2,0.8833333333333333,"['1', '1']"
428,755,2,0.7166666666666667,"['1', '1']"
755,756,2,0.8666666666666667,"['1', '1']"
756,342,2,1.35,"['1', '1']"
342,345,2,1.2666666666666666,"['1', '1']"
345,346,2,0.7833333333333333,"['1', '1']"
346,347,2,0.8666666666666667,"['1', '1']"
347,330,2,1.6666666666666667,"['1', '1']"
330,344,2,1.3166666666666667,"['1', '1']"
344,348,2,1.3666666666666667,"['1', '1']"
348,343,5,0.7916666666666667,"['1', '1', '12', '12', '12']"
343,341,5,0.7750000000000001,"['1', '1', '12', '12', '12']"
837,652,3,1.9666666666666668,"['12', '12', '36']"
652,320,5,1.6875000000000002,"['12', '12', '49', '49', '49']"
