,index,stop_id,stop_code,stop_name,stop_lat,stop_lon,zone_id,stop_desc,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code,geometry,closest_hospital_distance,closest_grocery_distance,closest_park_distance,closest_bar_distance,closest_worship_distance,closest_mcdonalds_distance,closest_starbucks_distance,nearby_stops,near_hospital,near_grocery,near_park,near_bar,near_worship,near_mcdonalds,near_starbucks,total_population,white_population,black_population,asian_population,total_housing_units,owner_occupied_units,rentor_occupied_units,population_over_age_25,has_bachelors_degree,has_masters_degree,has_professional_degree,state,county,tract,block group,has_doctorate,total_income_known,income_to_poverty_above_200,vehicles,total_population_percent,white_population_percent,black_population_percent,asian_population_percent,total_housing_units_percent,owner_occupied_units_percent,rentor_occupied_units_percent,population_over_age_25_percent,has_bachelors_degree_percent,has_masters_degree_percent,has_professional_degree_percent,has_doctorate_percent,total_income_known_percent,income_to_poverty_above_200_percent,vehicles_percent,less_than_a_bachelors_degree,less_than_a_bachelors_degree_percent,income_to_poverty_under_200,income_to_poverty_under_200_percent,routes
0,0,15829,15829,100 O'Shaughnessy Blvd,37.744481,-122.450678,,,https://www.sfmta.com/15829,,,,0,,POINT (-122.450678 37.744481),2052.4610926312976,1903.1211862108385,1514.1765822419852,219.815865444306,547.1214452438837,3337.7860886132808,80.52718755458766,"['15829', '15834', '16121', '16665', '16669', '16677']",False,False,False,True,False,False,True,1049,539,18,364,473,411,62,864,326,277,62,6,75,21700,1,3,1049,988,700.0,1.0,0.5138226882745471,0.0171591992373689,0.3469971401334604,1.0,0.86892177589852,0.1310782241014799,1.0,0.3773148148148148,0.3206018518518518,0.0717592592592592,0.0034722222222222,1.0,0.9418493803622496,0.667302192564347,196,0.2268518518518518,61,0.0581506196377502,"{""'10455800'""}"
1,1,13230,13230,10th Ave & Ortega St,37.752724,-122.466502,,,https://www.sfmta.com/13230,,,,0,,POINT (-122.466502 37.752724),1473.8393271526547,1535.9319485195265,2879.066122496604,1186.541332258537,1136.010846808015,3119.909789370249,1448.8646380309692,"['13230', '13226', '15827', '15826']",False,False,False,False,False,False,False,1439,646,120,618,466,294,172,1133,574,197,182,6,75,30302,2,24,1439,1352,777.0,1.0,0.4489228630993745,0.0833912439193884,0.4294649061848506,1.0,0.630901287553648,0.3690987124463519,1.0,0.5066195939982348,0.1738746690203,0.1606354810238305,0.0211827007943512,1.0,0.9395413481584434,0.5399583043780403,156,0.1376875551632833,87,0.0604586518415566,"{""'10455800'""}"
2,2,13231,13231,10th Ave & Pacheco St,37.75086,-122.466376,,,https://www.sfmta.com/13231,,,,0,,POINT (-122.466376 37.75086),1705.758917907683,1145.430110998331,2556.8368252333094,932.5737965793488,768.1058152445216,2755.1926422266165,1055.029684014983,"['13231', '13232', '13233', '13234']",False,False,False,False,False,False,False,1529,558,59,849,693,621,72,1314,560,206,103,6,75,30400,3,241,1529,1390,1206.0,1.0,0.3649444081098757,0.0385873119686069,0.5552648790058862,1.0,0.8961038961038961,0.1038961038961039,1.0,0.426179604261796,0.1567732115677321,0.078386605783866,0.1834094368340943,1.0,0.9090909090909092,0.788750817527796,204,0.1552511415525114,139,0.0909090909090909,"{""'10455800'""}"
3,6,14829,14829,1100 Lake Merced Blvd,37.709312,-122.485294,,,https://www.sfmta.com/14829,,,,0,,POINT (-122.485294 37.709312),6745.849688607662,1929.3771428909647,1578.3119357922765,1596.7318727872585,653.1196739394896,2146.86902446782,2184.1447807019954,"['14829', '14828']",False,False,False,False,False,False,False,445,332,1,88,298,165,133,414,118,82,22,6,75,60400,2,38,445,374,,1.0,0.7460674157303371,0.0022471910112359,0.197752808988764,1.0,0.5536912751677853,0.4463087248322148,1.0,0.2850241545893719,0.1980676328502415,0.0531400966183574,0.0917874396135265,1.0,0.8404494382022472,,154,0.3719806763285024,71,0.1595505617977528,"{""'10455800'""}"
4,8,16651,16651,115 Telegraph Hill Blvd,37.801766,-122.405677,,,https://www.sfmta.com/16651,,,,0,,POINT (-122.405677 37.801766),4341.905783886254,382.5436672491579,482.8665632581486,153.47999156467833,505.90033629601385,1293.6813476626742,267.66538328554907,"['16651', '16653', '16652', '14087', '16654', '16656', '16655', '16765', '16764', '16776', '16775']",False,True,False,True,False,False,True,1100,577,0,430,562,154,408,864,336,112,91,6,75,10402,2,58,1100,1049,599.0,1.0,0.5245454545454545,0.0,0.3909090909090909,1.0,0.2740213523131672,0.7259786476868327,1.0,0.3888888888888889,0.1296296296296296,0.105324074074074,0.0671296296296296,1.0,0.9536363636363636,0.5445454545454546,267,0.3090277777777778,51,0.0463636363636363,"{""'10455800'""}"
5,9,16907,16907,117 Warren Dr,37.75368,-122.457977,,,https://www.sfmta.com/16907,,,,0,,POINT (-122.457977 37.75368),1047.741686177501,1933.416996133859,2134.979131992797,1188.4529695338383,1169.4857552911667,3646.5636607274687,1164.2833071574014,['16907'],False,False,False,False,False,False,False,1327,825,0,396,566,366,200,1010,296,202,150,6,75,30102,1,91,1327,1159,882.0,1.0,0.6217030896759608,0.0,0.2984174830444612,1.0,0.6466431095406361,0.3533568904593639,1.0,0.293069306930693,0.2,0.1485148514851485,0.0900990099009901,1.0,0.8733986435568952,0.6646571213263,271,0.2683168316831683,168,0.1266013564431047,"{""'10455800'""}"
6,10,13235,13235,11th St & Bryant St,37.769807,-122.4113,,,https://www.sfmta.com/13235,,,,0,,POINT (-122.4113 37.769807),2381.970269081759,379.3898374608453,2102.664046243805,87.74870964209306,372.7588336289635,2126.7155989345456,716.3432353722927,"['13235', '13239', '13238', '14436']",False,True,False,True,True,False,False,895,450,98,201,256,154,102,811,191,174,40,6,75,18000,4,34,696,518,255.0,1.0,0.5027932960893855,0.1094972067039106,0.2245810055865922,1.0,0.6015625,0.3984375,1.0,0.2355117139334155,0.2145499383477188,0.0493218249075215,0.0419235511713933,1.0,0.7442528735632183,0.2849162011173184,376,0.4636251541307028,178,0.2557471264367816,"{""'10455800'""}"
7,13,13241,13241,11th St & Howard St,37.77283,-122.41538,,,https://www.sfmta.com/13241,,,,0,,POINT (-122.41538 37.77283),2798.147145468475,570.02211549756,2173.0884591878225,119.19994516617228,89.86274782828124,1975.3777927016413,451.4889557101896,"['13241', '13240', '14664', '14665']",False,False,False,True,True,False,False,1617,674,20,319,589,89,500,1279,486,181,30,6,75,17700,2,67,1603,1199,598.0,1.0,0.4168212739641311,0.0123685837971552,0.1972789115646258,1.0,0.1511035653650254,0.8488964346349746,1.0,0.3799843627834245,0.1415168100078186,0.0234558248631743,0.052384675527756,1.0,0.7479725514660013,0.3698206555349412,550,0.4300234558248632,404,0.2520274485339988,"{""'10455800'""}"
8,15,13245,13245,11th St & Market St,37.775368,-122.418575,,,https://www.sfmta.com/13245,,,,0,,POINT (-122.418575 37.775368),2696.671907216663,670.227778468493,1961.6684298759803,97.26188352503092,309.69294257921547,1936.382771811183,214.3357470672345,"['13245', '13244', '15692', '15696', '15419', '15545', '18088', '18105', '16996']",False,False,False,True,True,False,True,1617,674,20,319,589,89,500,1279,486,181,30,6,75,17700,2,67,1603,1199,598.0,1.0,0.4168212739641311,0.0123685837971552,0.1972789115646258,1.0,0.1511035653650254,0.8488964346349746,1.0,0.3799843627834245,0.1415168100078186,0.0234558248631743,0.052384675527756,1.0,0.7479725514660013,0.3698206555349412,550,0.4300234558248632,404,0.2520274485339988,"{""'10455800'""}"
9,17,13243,13243,11th St & Mission St,37.774038,-122.416891,,,https://www.sfmta.com/13243,,,,0,,POINT (-122.416891 37.774038),2993.842812551924,542.3433042608627,2119.962909698077,164.38241598830805,253.83676002671737,1850.394701040584,266.1247886285518,"['13240', '13243', '15545', '15544']",False,False,False,True,True,False,True,1617,674,20,319,589,89,500,1279,486,181,30,6,75,17700,2,67,1603,1199,598.0,1.0,0.4168212739641311,0.0123685837971552,0.1972789115646258,1.0,0.1511035653650254,0.8488964346349746,1.0,0.3799843627834245,0.1415168100078186,0.0234558248631743,0.052384675527756,1.0,0.7479725514660013,0.3698206555349412,550,0.4300234558248632,404,0.2520274485339988,"{""'10455800'""}"
10,18,16009,16009,120 Portola Dr,37.74897,-122.44396,,,https://www.sfmta.com/16009,,,,0,,POINT (-122.44396 37.74897),2024.0277922497364,1416.20634899767,521.3040834135073,1059.7349817290824,550.1355822476223,3880.277363395063,923.3732003282564,"['16009', '16008', '13712', '13713', '17685', '18067', '17020']",False,False,False,False,False,False,False,1052,681,0,183,678,228,450,990,432,91,54,6,75,20402,1,53,1052,808,709.0,1.0,0.6473384030418251,0.0,0.1739543726235741,1.0,0.336283185840708,0.6637168141592921,1.0,0.4363636363636363,0.0919191919191919,0.0545454545454545,0.0535353535353535,1.0,0.7680608365019012,0.6739543726235742,360,0.3636363636363636,244,0.2319391634980988,"{""'10455800'""}"
11,19,15513,15513,126 Miraloma Dr,37.737744,-122.461458,,,https://www.sfmta.com/15513,,,,0,,POINT (-122.461458 37.737744),2839.048259008903,755.2824199175774,2224.4400969943963,559.3976906218281,787.0815246874711,2068.1723940795505,684.4502148389872,"['15513', '15514']",False,False,False,False,False,False,False,986,908,11,51,223,85,138,926,512,235,37,6,75,30800,2,18,986,947,443.0,1.0,0.920892494929006,0.011156186612576,0.0517241379310344,1.0,0.3811659192825112,0.6188340807174888,1.0,0.5529157667386609,0.25377969762419,0.0399568034557235,0.019438444924406,1.0,0.960446247464503,0.4492900608519269,124,0.1339092872570194,39,0.0395537525354969,"{""'10455800'""}"
