,,update_count,driving_time,routes,source_stop_id,destination_stop_id,avg_delay
15334,15336,1,1.7,"('12',)",15334,15336,4.125
15336,14445,1,1.6666666666666667,"('12',)",15336,14445,2.4411764705882355
14445,16294,1,1.3333333333333333,"('12',)",14445,16294,2.3000000000000003
16294,16333,1,3.3,"('12',)",16294,16333,1.0294117647058822
16333,16337,1,1.3333333333333333,"('12',)",16333,16337,1.011764705882353
16337,15854,1,1.2666666666666666,"('12',)",16337,15854,0.8470588235294118
15854,15849,1,0.6666666666666666,"('12',)",15854,15849,0.8470588235294118
15849,15842,1,0.9,"('12',)",15849,15842,0.7764705882352941
15842,15837,1,0.85,"('12',)",15842,15837,0.8588235294117647
15837,17737,1,1.0166666666666666,"('12',)",15837,17737,1.0941176470588236
17737,15852,1,0.9666666666666667,"('12',)",17737,15852,1.5333333333333334
15852,15847,1,0.6666666666666666,"('12',)",15852,15847,1.8
15847,15856,1,0.6833333333333333,"('12',)",15847,15856,2.15625
15856,15840,1,0.6833333333333333,"('12',)",15856,15840,2.24375
15840,15845,1,0.6666666666666666,"('12',)",15840,15845,2.35
15845,15838,1,0.6833333333333333,"('12',)",15845,15838,2.4625
15838,15843,1,0.6833333333333333,"('12',)",15838,15843,2.68125
15843,15850,1,0.6833333333333333,"('12',)",15843,15850,2.75625
15850,15165,1,1.25,"('12',)",15850,15165,5.5375
16498,15623,1,0.7666666666666667,"('14',)",16498,15623,0.49375
15623,15579,1,0.9666666666666667,"('14',)",15623,15579,0.21250000000000002
15579,15528,2,1.2166666666666666,"('14', '14R')",15579,15528,0.5184615384615385
15528,15529,2,2.1166666666666667,"('14', '14R')",15528,15529,0.46615384615384614
15529,15532,2,1.7333333333333334,"('14', '14R')",15529,15532,0.556923076923077
15532,15534,2,1.5666666666666667,"('14', '14R')",15532,15534,0.5153846153846153
15534,15536,2,1.6,"('14', '14R')",15534,15536,0.5338461538461537
15536,15538,1,1.6666666666666667,"('14',)",15536,15538,0.49696969696969695
15538,15539,1,1.5166666666666666,"('14',)",15538,15539,0.6121212121212121
15539,15540,1,1.4833333333333334,"('14',)",15539,15540,0.6823529411764707
15540,15543,1,1.1,"('14',)",15540,15543,0.8558823529411765
15543,15545,1,1.2333333333333334,"('14',)",15543,15545,0.9823529411764705
15545,15836,1,1.2666666666666666,"('14',)",15545,15836,2.0636363636363635
15836,15835,1,0.9333333333333333,"('14',)",15836,15835,2.0363636363636366
15835,15548,1,2.2666666666666666,"('14',)",15835,15548,1.6363636363636365
15548,15552,1,1.5333333333333334,"('14',)",15548,15552,1.7515151515151515
15552,15554,1,1.6333333333333333,"('14',)",15552,15554,1.8529411764705883
15554,15558,1,1.9333333333333333,"('14',)",15554,15558,2.0212121212121215
15558,15562,1,1.6166666666666667,"('14',)",15558,15562,2.0424242424242425
15562,15566,1,1.8166666666666667,"('14',)",15562,15566,2.1939393939393943
15566,15568,1,1.6833333333333333,"('14',)",15566,15568,2.361764705882353
15568,15626,1,1.9166666666666667,"('14',)",15568,15626,2.2794117647058822
15626,15572,1,1.4,"('14',)",15626,15572,2.4424242424242424
15572,15584,1,0.5666666666666667,"('14',)",15572,15584,2.675757575757576
15584,15578,1,0.85,"('14',)",15584,15578,2.793939393939394
15578,15597,1,0.7333333333333333,"('14',)",15578,15597,2.757575757575758
15597,15614,1,0.5666666666666667,"('14',)",15597,15614,2.8454545454545457
15614,15580,1,1.0833333333333333,"('14',)",15614,15580,2.703030303030303
15580,15573,1,0.5666666666666667,"('14',)",15580,15573,2.5545454545454547
15573,15625,1,0.8166666666666667,"('14',)",15573,15625,2.4212121212121214
15625,15621,1,0.8166666666666667,"('14',)",15625,15621,2.3484848484848486
15621,15590,1,1.4333333333333333,"('14',)",15621,15590,2.6272727272727274
15590,15616,1,1.7333333333333334,"('14',)",15590,15616,2.7515151515151515
15616,15609,1,1.1166666666666667,"('14',)",15616,15609,3.1
15609,15598,1,1.2,"('14',)",15609,15598,3.085294117647059
15598,15592,1,1.5166666666666666,"('14',)",15598,15592,3.088235294117647
15592,15604,1,0.8833333333333333,"('14',)",15592,15604,3.388235294117647
15604,15589,1,1.0,"('14',)",15604,15589,4.172727272727272
15589,15602,1,1.1166666666666667,"('14',)",15589,15602,4.054545454545455
15602,15627,1,0.7166666666666667,"('14',)",15602,15627,4.175757575757576
15627,15600,1,0.9166666666666666,"('14',)",15627,15600,4.266666666666667
15600,15619,1,0.8833333333333333,"('14',)",15600,15619,4.586666666666667
15619,15594,2,1.3166666666666667,"('14', '14R')",15619,15594,1.4914893617021276
15594,15588,2,0.5666666666666667,"('14', '14R')",15594,15588,2.0104166666666665
15588,17099,1,1.4166666666666667,"('14',)",15588,17099,9.03225806451613
15603,15579,1,0.7666666666666667,"('14R',)",15603,15579,0.9446153846153846
15536,15540,2,2.2333333333333334,"('14R', '714')",15536,15540,
15540,15545,1,2.3333333333333335,"('14R',)",15540,15545,0.43692307692307697
15545,15552,1,5.0,"('14R',)",15545,15552,0.66
15552,15558,1,2.55,"('14R',)",15552,15558,0.7846153846153846
15558,15566,1,2.45,"('14R',)",15558,15566,0.8707692307692307
15566,15572,1,5.0,"('14R',)",15566,15572,0.8553846153846154
15572,15614,1,1.8,"('14R',)",15572,15614,1.2107692307692308
15614,15621,1,2.2,"('14R',)",15614,15621,1.3064516129032258
15621,15616,1,2.2666666666666666,"('14R',)",15621,15616,1.8016129032258066
