,stop_id,trip_sequence,trip_id,route_id,stop_name,route_name,minute_delay,oid_max,actual_arrival_time_max,actual_arrival_time_min,planned_arrival_seconds_since_midnight_max,planned_arrival_seconds_since_midnight_min
0,10390,3,11429425_M11,28R,19th Avenue & Holloway St,28R,0.0,910355,2023-12-07 17:18:33.000000,2023-12-07 17:06:33.000000,62340.0,61620.0
1,10390,6,11429279_M11,28,19th Avenue & Holloway St,28,0.4000000000000001,910328,2023-12-07 17:37:21.000000,2023-12-07 17:01:21.000000,63420.0,61260.0
2,10913,1,11409674_M11,52,Dublin St & La Grande Ave,52,0.0,909927,1969-12-31 16:00:00.000000,1969-12-31 16:00:00.000000,63720.0,61440.0
3,10913,37,11409639_M11,52,Dublin St & La Grande Ave,52,0.0,909920,2023-12-07 17:40:52.000000,2023-12-07 17:00:52.000000,63720.0,61440.0
4,13018,22,11409831_M11,54,Bacon St & San Bruno Ave,54,0.0,909935,2023-12-07 17:08:06.000000,2023-12-07 17:08:06.000000,61800.0,61800.0
5,13020,25,11409831_M11,54,Bacon St & Somerset St,54,0.0,909935,2023-12-07 17:10:31.000000,2023-12-07 17:10:31.000000,61888.0,61888.0
6,13024,29,11407225_M11,45,Baker St & Greenwich St,45,0.0,909834,2023-12-07 17:20:33.000000,2023-12-07 17:00:33.000000,62566.0,61366.0
7,13033,23,11403120_M11,31,Balboa St & 4th Ave,31,0.5,909598,2023-12-07 17:16:08.000000,2023-12-07 17:16:08.000000,62141.0,62141.0
8,13035,22,11403120_M11,31,Balboa St & 6th Ave,31,0.4,909598,2023-12-07 17:15:21.000000,2023-12-07 17:15:21.000000,62100.0,62100.0
9,13037,21,11403120_M11,31,Balboa St & 8th Ave,31,0.1,909598,2023-12-07 17:14:18.000000,2023-12-07 17:14:18.000000,62052.0,62052.0
10,13039,20,11403120_M11,31,Balboa St & 10th Ave,31,0.0,909598,2023-12-07 17:13:34.000000,2023-12-07 17:13:34.000000,62013.0,62013.0
11,13041,19,11403120_M11,31,Balboa St & 12th Ave,31,0.0,909598,2023-12-07 17:12:51.000000,2023-12-07 17:12:51.000000,61974.0,61974.0
12,13044,17,11403120_M11,31,Balboa St & 17th Ave,31,0.0,909598,2023-12-07 17:10:55.000000,2023-12-07 17:10:55.000000,61874.0,61874.0
13,13046,16,11403120_M11,31,Balboa St & 19th Ave,31,0.0,909598,2023-12-07 17:10:14.000000,2023-12-07 17:10:14.000000,61835.0,61835.0
14,13048,15,11403120_M11,31,Balboa St & 21st Ave,31,0.0,909598,2023-12-07 17:09:35.000000,2023-12-07 17:09:35.000000,61796.0,61796.0
15,13050,14,11403120_M11,31,Balboa St & 23rd Ave,31,0.0,909598,2023-12-07 17:08:56.000000,2023-12-07 17:08:56.000000,61757.0,61757.0
