,,update_count,driving_time,routes,avg_delay
15334,15336,1,1.7,"('12',)",
15336,14445,1,1.6666666666666667,"('12',)",
14445,16294,1,1.3333333333333333,"('12',)",
16294,16333,1,3.3,"('12',)",
16337,15854,1,1.2666666666666666,"('12',)",
15854,15849,1,0.6666666666666666,"('12',)",
15849,15842,1,0.9,"('12',)",
15842,15837,1,0.85,"('12',)",
15837,17737,1,1.0166666666666666,"('12',)",
17737,15852,1,0.9666666666666667,"('12',)",
15847,15856,1,0.6833333333333333,"('12',)",
15850,15165,1,1.25,"('12',)",
16498,15623,1,0.7666666666666667,"('14',)",
15623,15579,1,0.9666666666666667,"('14',)",
15579,15528,2,1.2166666666666666,"('14', '14R')",0.8879699248120302
15528,15529,2,2.1166666666666667,"('14', '14R')",0.3609022556390978
15529,15532,2,1.7333333333333334,"('14', '14R')",0.3165413533834587
15532,15534,2,1.5666666666666667,"('14', '14R')",0.01353383458646616
15534,15536,2,1.6,"('14', '14R')",0.0
15536,15538,1,1.6666666666666667,"('14',)",
15538,15539,1,1.5166666666666666,"('14',)",
15539,15540,1,1.4833333333333334,"('14',)",
15540,15543,1,1.1,"('14',)",
15543,15545,1,1.2333333333333334,"('14',)",
15545,15836,1,1.2666666666666666,"('14',)",
15836,15835,1,0.9333333333333333,"('14',)",
15835,15548,1,2.2666666666666666,"('14',)",
15548,15552,1,1.5333333333333334,"('14',)",
15552,15554,1,1.6333333333333333,"('14',)",
15554,15558,1,1.9333333333333333,"('14',)",
15558,15562,1,1.6166666666666667,"('14',)",
15562,15566,1,1.8166666666666667,"('14',)",
15566,15568,1,1.6833333333333333,"('14',)",
15568,15626,1,1.9166666666666667,"('14',)",
15626,15572,1,1.4,"('14',)",
15572,15584,1,0.5666666666666667,"('14',)",
15584,15578,1,0.85,"('14',)",
15578,15597,1,0.7333333333333333,"('14',)",
15614,15580,1,1.0833333333333333,"('14',)",
15573,15625,1,0.8166666666666667,"('14',)",
15621,15590,1,1.4333333333333333,"('14',)",
15590,15616,1,1.7333333333333334,"('14',)",
15616,15609,1,1.1166666666666667,"('14',)",
15609,15598,1,1.2,"('14',)",
15592,15604,1,0.8833333333333333,"('14',)",
15604,15589,1,1.0,"('14',)",
15602,15627,1,0.7166666666666667,"('14',)",
15627,15600,1,0.9166666666666666,"('14',)",
15619,15594,2,1.3166666666666667,"('14', '14R')",0.27190082644628094
15594,15588,2,0.5666666666666667,"('14', '14R')",0.8801652892561983
15588,17099,1,1.4166666666666667,"('14',)",
15603,15579,1,0.7666666666666667,"('14R',)",
15536,15540,2,2.2333333333333334,"('14R', '714')",0.85
15540,15545,1,2.3333333333333335,"('14R',)",
15545,15552,1,5.0,"('14R',)",
15552,15558,1,2.55,"('14R',)",
15558,15566,1,2.45,"('14R',)",
15572,15614,1,1.8,"('14R',)",
15614,15621,1,2.2,"('14R',)",
15621,15616,1,2.2666666666666666,"('14R',)",
15616,15592,1,2.7333333333333334,"('14R',)",
15592,15602,1,2.6666666666666665,"('14R',)",
13352,13408,1,0.6,"('18',)",
13408,16952,1,0.7333333333333333,"('18',)",
16952,16954,1,1.15,"('18',)",
16954,14838,1,1.0,"('18',)",
14838,17852,1,1.8166666666666667,"('18',)",
17852,16433,1,1.9666666666666666,"('18',)",
16433,16446,1,0.6166666666666667,"('18',)",
16446,16450,2,1.05,"('18', '23')",0.0
16450,13604,1,0.23333333333333334,"('18',)",
13589,13586,1,0.5833333333333334,"('18',)",
13586,13585,1,0.6333333333333333,"('18',)",
13579,13577,1,0.7166666666666667,"('18',)",
13577,13575,1,0.5166666666666667,"('18',)",
13582,15324,1,0.31666666666666665,"('18',)",
15328,14779,1,1.1833333333333333,"('18',)",
14779,14844,1,1.35,"('18',)",
13925,13572,1,0.7833333333333333,"('18',)",
13572,13570,1,0.7,"('18',)",
13570,13066,1,0.75,"('18',)",
13066,13064,1,1.0833333333333333,"('18',)",
13059,13553,1,0.4166666666666667,"('18',)",
13552,13559,1,0.7666666666666667,"('18',)",
13559,13555,1,0.45,"('18',)",
13555,14069,1,0.2,"('18',)",
13093,15992,1,1.0666666666666667,"('19',)",
15992,15988,1,0.9333333333333333,"('19',)",
15988,15990,1,1.1833333333333333,"('19',)",
15990,16004,1,1.7166666666666666,"('19',)",
16004,15984,1,2.05,"('19',)",
15984,16007,1,1.25,"('19',)",
16007,16000,1,0.8,"('19',)",
16000,15996,1,1.7833333333333334,"('19',)",
15996,16002,1,1.2166666666666666,"('19',)",
16002,15993,1,1.8,"('19',)",
15993,14490,1,1.45,"('19',)",
14490,14482,1,0.9166666666666666,"('19',)",
15087,15079,1,1.3,"('19',)",
15079,15071,1,1.0,"('19',)",
15071,13209,1,0.6666666666666666,"('19',)",
13209,13208,1,1.4166666666666667,"('19',)",
13208,17677,1,0.5333333333333333,"('19',)",
13205,13206,1,0.6,"('19',)",
13203,14437,1,0.9666666666666667,"('19',)",
14437,16201,1,0.4,"('19',)",
