,,update_count,driving_time,routes,source_stop_id,destination_stop_id,avg_delay
15334,15336,1,1.7,"('12',)",15334,15336,4.125
15336,14445,1,1.6666666666666667,"('12',)",15336,14445,2.1411764705882352
14445,16294,1,1.3333333333333333,"('12',)",14445,16294,1.9705882352941175
16294,16333,1,3.3,"('12',)",16294,16333,0.0117647058823529
16333,16337,1,1.3333333333333333,"('12',)",16333,16337,0.0
16337,15854,1,1.2666666666666666,"('12',)",16337,15854,0.0
15854,15849,1,0.6666666666666666,"('12',)",15854,15849,0.0
15849,15842,1,0.9,"('12',)",15849,15842,0.0
15842,15837,1,0.85,"('12',)",15842,15837,0.0
15837,17737,1,1.0166666666666666,"('12',)",15837,17737,0.0
17737,15852,1,0.9666666666666667,"('12',)",17737,15852,0.5
15852,15847,1,0.6666666666666666,"('12',)",15852,15847,0.923529411764706
15847,15856,1,0.6833333333333333,"('12',)",15847,15856,1.3562500000000002
15856,15840,1,0.6833333333333333,"('12',)",15856,15840,1.5125
15840,15845,1,0.6666666666666666,"('12',)",15840,15845,1.6062500000000002
15845,15838,1,0.6833333333333333,"('12',)",15845,15838,1.78125
15838,15843,1,0.6833333333333333,"('12',)",15838,15843,2.10625
15843,15850,1,0.6833333333333333,"('12',)",15843,15850,2.24375
15850,15165,1,1.25,"('12',)",15850,15165,5.475
16498,15623,1,0.7666666666666667,"('14',)",16498,15623,0.334375
15623,15579,1,0.9666666666666667,"('14',)",15623,15579,0.0
15579,15528,2,1.2166666666666666,"('14', '14R')",15579,15528,0.2846153846153846
15528,15529,2,2.1166666666666667,"('14', '14R')",15528,15529,0.0
15529,15532,2,1.7333333333333334,"('14', '14R')",15529,15532,0.0
15532,15534,2,1.5666666666666667,"('14', '14R')",15532,15534,0.0
15534,15536,2,1.6,"('14', '14R')",15534,15536,0.0
15536,15538,1,1.6666666666666667,"('14',)",15536,15538,0.0
15538,15539,1,1.5166666666666666,"('14',)",15538,15539,0.0
15539,15540,1,1.4833333333333334,"('14',)",15539,15540,0.0
15540,15543,1,1.1,"('14',)",15540,15543,0.1441176470588235
15543,15545,1,1.2333333333333334,"('14',)",15543,15545,0.3147058823529412
15545,15836,1,1.2666666666666666,"('14',)",15545,15836,1.693939393939394
15836,15835,1,0.9333333333333333,"('14',)",15836,15835,1.6575757575757577
15835,15548,1,2.2666666666666666,"('14',)",15835,15548,0.8484848484848485
15548,15552,1,1.5333333333333334,"('14',)",15548,15552,0.9363636363636364
15552,15554,1,1.6333333333333333,"('14',)",15552,15554,1.0794117647058823
15554,15558,1,1.9333333333333333,"('14',)",15554,15558,1.3454545454545457
15558,15562,1,1.6166666666666667,"('14',)",15558,15562,1.3303030303030303
15562,15566,1,1.8166666666666667,"('14',)",15562,15566,1.6454545454545455
15566,15568,1,1.6833333333333333,"('14',)",15566,15568,1.761764705882353
