,stop_id,stop_name,trip_id,oid,route_name,route_id,trip_sequence,minute_delay,planned_arrival_seconds_since_midnight,actual_arrival_time,current_day,current_month,current_year
0,14015,Clay St & Drumm St,11389712_M11,909112,1,1,1,0.0,61860.0,1969-12-31 16:00:00.000000,31,12,1969
1,14015,Clay St & Drumm St,11389713_M11,909113,1,1,1,0.0,62820.0,1969-12-31 16:00:00.000000,31,12,1969
2,14015,Clay St & Drumm St,11389714_M11,909114,1,1,1,0.0,63780.0,1969-12-31 16:00:00.000000,31,12,1969
3,14277,Geary Blvd & 33rd Ave,11389806_M11,909133,1,1,1,0.0,61440.0,1969-12-31 16:00:00.000000,31,12,1969
4,13893,California St & Presidio Ave,11389892_M11,909140,1,1,1,0.0,61380.0,1969-12-31 16:00:00.000000,31,12,1969
5,13893,California St & Presidio Ave,11389893_M11,909141,1,1,1,0.0,62760.0,1969-12-31 16:00:00.000000,31,12,1969
6,16497,Steuart St & Mission St,11390382_M11,909142,2,2,1,0.0,62700.0,1969-12-31 16:00:00.000000,31,12,1969
7,16497,Steuart St & Mission St,11390383_M11,909143,2,2,1,0.0,61500.0,1969-12-31 16:00:00.000000,31,12,1969
8,16089,Presidio Ave & California St,11390404_M11,909150,2,2,1,0.0,63300.0,1969-12-31 16:00:00.000000,31,12,1969
9,16089,Presidio Ave & California St,11390405_M11,909151,2,2,1,0.0,62100.0,1969-12-31 16:00:00.000000,31,12,1969
10,17914,Transit Center Bay B,11391033_M11,909159,5,5,1,0.0,63000.0,1969-12-31 16:00:00.000000,31,12,1969
11,17914,Transit Center Bay B,11391034_M11,897092,5,5,1,0.0,62400.0,1969-12-31 16:00:00.000000,31,12,1969
12,17914,Transit Center Bay B,11391035_M11,909160,5,5,1,0.0,61800.0,1969-12-31 16:00:00.000000,31,12,1969
13,14735,Fulton St & 8th Ave,11391130_M11,909172,5,5,1,0.0,63000.0,1969-12-31 16:00:00.000000,31,12,1969
14,14735,Fulton St & 8th Ave,11391131_M11,909173,5,5,1,0.0,62400.0,1969-12-31 16:00:00.000000,31,12,1969
15,14735,Fulton St & 8th Ave,11391132_M11,909174,5,5,1,0.0,61800.0,1969-12-31 16:00:00.000000,31,12,1969
16,17914,Transit Center Bay B,11391820_M11,909186,5R,5R,1,0.0,61440.0,1969-12-31 16:00:00.000000,31,12,1969
17,13927,Cabrillo St & La Playa St,11391886_M11,909201,5R,5R,1,0.0,61200.0,1969-12-31 16:00:00.000000,31,12,1969
18,17833,Steuart St & Don Chee Way,11391968_M11,860835,6,6,1,0.0,62100.0,1969-12-31 16:00:00.000000,31,12,1969
19,13247,14th Ave & Quintara St,11392032_M11,909225,6,6,1,0.0,61500.0,1969-12-31 16:00:00.000000,31,12,1969
20,17917,Transit Center Bay E,11392346_M11,909233,7,7,1,0.0,61800.0,1969-12-31 16:00:00.000000,31,12,1969
21,15828,Ortega St & 48th Ave,11392433_M11,883602,7,7,1,0.0,61800.0,1969-12-31 16:00:00.000000,31,12,1969
22,14824,Kearny St & Pacific Ave,11393569_M11,909294,8AX,8AX,1,0.0,61620.0,1969-12-31 16:00:00.000000,31,12,1969
23,14824,Kearny St & Pacific Ave,11393571_M11,883651,8AX,8AX,1,0.0,67380.0,1969-12-31 16:00:00.000000,31,12,1969
24,14824,Kearny St & Pacific Ave,11393572_M11,842765,8AX,8AX,1,0.0,66900.0,1969-12-31 16:00:00.000000,31,12,1969
25,14824,Kearny St & Pacific Ave,11393580_M11,909295,8AX,8AX,1,0.0,63060.0,1969-12-31 16:00:00.000000,31,12,1969
26,14824,Kearny St & Pacific Ave,11393581_M11,909296,8AX,8AX,1,0.0,62580.0,1969-12-31 16:00:00.000000,31,12,1969
27,17227,Market St & Steuart St,11393685_M11,909312,9,9,1,0.0,61440.0,1969-12-31 16:00:00.000000,31,12,1969
28,17520,Bayshore Blvd & Visitacion Ave,11393797_M11,909329,9,9,1,0.0,61440.0,1969-12-31 16:00:00.000000,31,12,1969
29,15335,Main St & Mission St,11394239_M11,909344,9R,9R,1,0.0,61920.0,1969-12-31 16:00:00.000000,31,12,1969
30,15335,Main St & Mission St,11394240_M11,909345,9R,9R,1,0.0,61200.0,1969-12-31 16:00:00.000000,31,12,1969
31,16575,Sunnydale Ave / Mclaren School,11394292_M11,909358,9R,9R,1,0.0,62640.0,1969-12-31 16:00:00.000000,31,12,1969
32,16575,Sunnydale Ave / Mclaren School,11394293_M11,863982,9R,9R,1,0.0,61920.0,1969-12-31 16:00:00.000000,31,12,1969
33,16575,Sunnydale Ave / Mclaren School,11394294_M11,909359,9R,9R,1,0.0,61200.0,1969-12-31 16:00:00.000000,31,12,1969
34,15165,Jackson St & Van Ness Ave,11394719_M11,909383,12,12,1,0.0,61200.0,1969-12-31 16:00:00.000000,31,12,1969
35,17099,Mission St & San Jose Ave,11395383_M11,909433,14,14,1,0.0,63060.0,1969-12-31 16:00:00.000000,31,12,1969
36,14873,Legion Of Honor,11397312_M11,909441,18,18,1,0.0,62280.0,1969-12-31 16:00:00.000000,31,12,1969
37,13352,19th Ave & Buckingham Way,11397366_M11,909449,18,18,1,0.0,61680.0,1969-12-31 16:00:00.000000,31,12,1969
38,13352,19th Ave & Buckingham Way,11397367_M11,909450,18,18,1,0.0,62880.0,1969-12-31 16:00:00.000000,31,12,1969
39,13093,Beach St & Polk St,11397632_M11,909457,19,19,1,0.0,61200.0,1969-12-31 16:00:00.000000,31,12,1969
40,17860,Donahue St & Innes Ave,11397663_M11,909462,19,19,1,0.0,61200.0,1969-12-31 16:00:00.000000,31,12,1969
41,15071,Hyde St & Grove St,11397930_M11,909473,21,21,1,0.0,62340.0,1969-12-31 16:00:00.000000,31,12,1969
42,17499,Fulton Street & Shrader Street,11397975_M11,909480,21,21,1,0.0,63600.0,1969-12-31 16:00:00.000000,31,12,1969
43,17499,Fulton Street & Shrader Street,11397976_M11,883834,21,21,1,0.0,62400.0,1969-12-31 16:00:00.000000,31,12,1969
44,17499,Fulton Street & Shrader Street,11397977_M11,909481,21,21,1,0.0,61200.0,1969-12-31 16:00:00.000000,31,12,1969
45,15863,Palou Ave & 3rd St,11399456_M11,909538,23,23,1,0.0,63840.0,1969-12-31 16:00:00.000000,31,12,1969
46,15863,Palou Ave & 3rd St,11399461_M11,909541,23,23,1,0.0,61440.0,1969-12-31 16:00:00.000000,31,12,1969
47,16453,Sloat Blvd & 47th Ave,11399500_M11,909547,23,23,1,0.0,63600.0,1969-12-31 16:00:00.000000,31,12,1969
48,16453,Sloat Blvd & 47th Ave,11399501_M11,909548,23,23,1,0.0,62400.0,1969-12-31 16:00:00.000000,31,12,1969
49,17948,Transit Center Bay 29,11400351_M11,909558,25,25,1,0.0,63000.0,1969-12-31 16:00:00.000000,31,12,1969
50,17948,Transit Center Bay 29,11400352_M11,864174,25,25,1,0.0,61800.0,1969-12-31 16:00:00.000000,31,12,1969
51,18000,Clipper Cove Way & Treasure Island Rd,11400438_M11,909566,25,25,1,0.0,61200.0,1969-12-31 16:00:00.000000,31,12,1969
52,13927,Cabrillo St & La Playa St,11403120_M11,909598,31,31,1,0.0,61200.0,1969-12-31 16:00:00.000000,31,12,1969
53,14334,Castro St & Market St,11403720_M11,909621,35,35,1,0.0,63000.0,1969-12-31 16:00:00.000000,31,12,1969
54,14334,Castro St & Market St,11403721_M11,909622,35,35,1,0.0,61200.0,1969-12-31 16:00:00.000000,31,12,1969
55,13696,Bosworth St & Diamond St,11403765_M11,909626,35,35,1,0.0,62520.0,1969-12-31 16:00:00.000000,31,12,1969
56,15711,Masonic Ave & Haight St,11404081_M11,909639,37,37,1,0.0,61200.0,1969-12-31 16:00:00.000000,31,12,1969
57,16086,Parkridge Dr & Burnett Ave,11404133_M11,852230,37,37,1,0.0,61200.0,1969-12-31 16:00:00.000000,31,12,1969
58,17916,Transit Center Bay D,11404279_M11,909651,38,38,1,0.0,62340.0,1969-12-31 16:00:00.000000,31,12,1969
59,17916,Transit Center Bay D,11404301_M11,909652,38,38,1,0.0,61380.0,1969-12-31 16:00:00.000000,31,12,1969
60,17916,Transit Center Bay D,11404331_M11,909663,38,38,1,0.0,61860.0,1969-12-31 16:00:00.000000,31,12,1969
61,17916,Transit Center Bay D,11404332_M11,909664,38,38,1,0.0,62820.0,1969-12-31 16:00:00.000000,31,12,1969
62,14275,Geary Blvd & 32nd Ave,11404420_M11,909683,38,38,1,0.0,61800.0,1969-12-31 16:00:00.000000,31,12,1969
63,15511,V.A. Hospital,11404472_M11,909694,38,38,1,0.0,61860.0,1969-12-31 16:00:00.000000,31,12,1969
64,17915,Transit Center Bay C,11405195_M11,909717,38R,38R,1,0.0,61200.0,1969-12-31 16:00:00.000000,31,12,1969
65,17915,Transit Center Bay C,11405197_M11,852309,38R,38R,1,0.0,61920.0,1969-12-31 16:00:00.000000,31,12,1969
66,17915,Transit Center Bay C,11405198_M11,881041,38R,38R,1,0.0,62280.0,1969-12-31 16:00:00.000000,31,12,1969
67,17915,Transit Center Bay C,11405200_M11,909718,38R,38R,1,0.0,63000.0,1969-12-31 16:00:00.000000,31,12,1969
68,17915,Transit Center Bay C,11405201_M11,909719,38R,38R,1,0.0,63360.0,1969-12-31 16:00:00.000000,31,12,1969
69,17915,Transit Center Bay C,11405202_M11,909720,38R,38R,1,0.0,63720.0,1969-12-31 16:00:00.000000,31,12,1969
70,13608,48th Ave & Point Lobos Ave,11405346_M11,909743,38R,38R,1,0.0,61200.0,1969-12-31 16:00:00.000000,31,12,1969
71,13608,48th Ave & Point Lobos Ave,11405347_M11,909744,38R,38R,1,0.0,61560.0,1969-12-31 16:00:00.000000,31,12,1969
72,13608,48th Ave & Point Lobos Ave,11405348_M11,909745,38R,38R,1,0.0,61920.0,1969-12-31 16:00:00.000000,31,12,1969
73,13608,48th Ave & Point Lobos Ave,11405349_M11,862855,38R,38R,1,0.0,62280.0,1969-12-31 16:00:00.000000,31,12,1969
74,13608,48th Ave & Point Lobos Ave,11405350_M11,890149,38R,38R,1,0.0,62640.0,1969-12-31 16:00:00.000000,31,12,1969
75,13608,48th Ave & Point Lobos Ave,11405351_M11,909746,38R,38R,1,0.0,63000.0,1969-12-31 16:00:00.000000,31,12,1969
76,13608,48th Ave & Point Lobos Ave,11405353_M11,909747,38R,38R,1,0.0,63720.0,1969-12-31 16:00:00.000000,31,12,1969
