,,update_count,driving_time,routes,source_stop_id,destination_stop_id,avg_delay
15334,15336,1,1.7,"('12',)",15334,15336,4.436111111111111
15336,14445,1,1.6666666666666667,"('12',)",15336,14445,2.8694444444444445
14445,16294,1,1.3333333333333333,"('12',)",14445,16294,2.5055555555555555
16294,16333,1,3.3,"('12',)",16294,16333,1.2166666666666666
16333,16337,1,1.3333333333333333,"('12',)",16333,16337,0.5944444444444444
16337,15854,1,1.2666666666666666,"('12',)",16337,15854,0.5111111111111112
15854,15849,1,0.6666666666666666,"('12',)",15854,15849,0.4666666666666667
15849,15842,1,0.9,"('12',)",15849,15842,0.4583333333333333
15842,15837,1,0.85,"('12',)",15842,15837,0.40555555555555556
15837,17737,1,1.0166666666666666,"('12',)",15837,17737,0.6361111111111111
17737,15852,1,0.9666666666666667,"('12',)",17737,15852,0.7277777777777777
15852,15847,1,0.6666666666666666,"('12',)",15852,15847,0.9444444444444444
15847,15856,1,0.6833333333333333,"('12',)",15847,15856,1.2083333333333333
15856,15840,1,0.6833333333333333,"('12',)",15856,15840,1.2000000000000002
15840,15845,1,0.6666666666666666,"('12',)",15840,15845,1.2361111111111112
15845,15838,1,0.6833333333333333,"('12',)",15845,15838,1.3333333333333333
15838,15843,1,0.6833333333333333,"('12',)",15838,15843,1.4277777777777778
15843,15850,1,0.6833333333333333,"('12',)",15843,15850,1.5166666666666666
15850,15165,1,1.25,"('12',)",15850,15165,4.594444444444445
16498,15623,1,0.7666666666666667,"('14',)",16498,15623,1.9083333333333332
15623,15579,1,0.9666666666666667,"('14',)",15623,15579,1.5698717948717948
15579,15528,2,1.2166666666666666,"('14', '14R')",15579,15528,0.981203007518797
15528,15529,2,2.1166666666666667,"('14', '14R')",15528,15529,0.7210526315789474
15529,15532,2,1.7333333333333334,"('14', '14R')",15529,15532,0.7616541353383458
15532,15534,2,1.5666666666666667,"('14', '14R')",15532,15534,0.6646616541353384
15534,15536,2,1.6,"('14', '14R')",15534,15536,0.7082706766917294
15536,15538,1,1.6666666666666667,"('14',)",15536,15538,1.6619718309859155
15538,15539,1,1.5166666666666666,"('14',)",15538,15539,1.732394366197183
15539,15540,1,1.4833333333333334,"('14',)",15539,15540,1.816083916083916
15540,15543,1,1.1,"('14',)",15540,15543,1.8895104895104895
15543,15545,1,1.2333333333333334,"('14',)",15543,15545,1.9894366197183098
15545,15836,1,1.2666666666666666,"('14',)",15545,15836,2.2711267605633805
15836,15835,1,0.9333333333333333,"('14',)",15836,15835,2.322535211267606
15835,15548,1,2.2666666666666666,"('14',)",15835,15548,2.1
15548,15552,1,1.5333333333333334,"('14',)",15548,15552,2.1666666666666665
15552,15554,1,1.6333333333333333,"('14',)",15552,15554,2.405673758865248
15554,15558,1,1.9333333333333333,"('14',)",15554,15558,2.4225352112676055
15558,15562,1,1.6166666666666667,"('14',)",15558,15562,2.351408450704225
15562,15566,1,1.8166666666666667,"('14',)",15562,15566,2.4415492957746476
15566,15568,1,1.6833333333333333,"('14',)",15566,15568,2.2063380281690144
15568,15626,1,1.9166666666666667,"('14',)",15568,15626,2.173758865248227
15626,15572,1,1.4,"('14',)",15626,15572,2.146099290780142
15572,15584,1,0.5666666666666667,"('14',)",15572,15584,2.358156028368794
15584,15578,1,0.85,"('14',)",15584,15578,2.434507042253521
15578,15597,1,0.7333333333333333,"('14',)",15578,15597,2.4133802816901406
15597,15614,1,0.5666666666666667,"('14',)",15597,15614,2.4845070422535214
15614,15580,1,1.0833333333333333,"('14',)",15614,15580,2.414788732394366
15580,15573,1,0.5666666666666667,"('14',)",15580,15573,2.333098591549296
15573,15625,1,0.8166666666666667,"('14',)",15573,15625,2.2345070422535214
15625,15621,1,0.8166666666666667,"('14',)",15625,15621,2.1992957746478874
15621,15590,1,1.4333333333333333,"('14',)",15621,15590,2.3450704225352115
15590,15616,1,1.7333333333333334,"('14',)",15590,15616,2.4950704225352114
15616,15609,1,1.1166666666666667,"('14',)",15616,15609,2.815492957746479
15609,15598,1,1.2,"('14',)",15609,15598,2.8140845070422538
15598,15592,1,1.5166666666666666,"('14',)",15598,15592,2.7706293706293708
15592,15604,1,0.8833333333333333,"('14',)",15592,15604,2.9520833333333334
15604,15589,1,1.0,"('14',)",15604,15589,3.439583333333333
15589,15602,1,1.1166666666666667,"('14',)",15589,15602,3.332638888888889
15602,15627,1,0.7166666666666667,"('14',)",15602,15627,3.5041666666666664
15627,15600,1,0.9166666666666666,"('14',)",15627,15600,3.4488721804511275
15600,15619,1,0.8833333333333333,"('14',)",15600,15619,3.557894736842105
15619,15594,2,1.3166666666666667,"('14', '14R')",15619,15594,1.7074380165289256
15594,15588,2,0.5666666666666667,"('14', '14R')",15594,15588,2.1140495867768596
15588,17099,1,1.4166666666666667,"('14',)",15588,17099,6.42406015037594
15603,15579,1,0.7666666666666667,"('14R',)",15603,15579,1.518796992481203
15536,15540,2,2.2333333333333334,"('14R', '714')",15536,15540,0.95
15540,15545,1,2.3333333333333335,"('14R',)",15540,15545,0.5120300751879698
15545,15552,1,5.0,"('14R',)",15545,15552,0.6804511278195489
15552,15558,1,2.55,"('14R',)",15552,15558,0.8511278195488722
15558,15566,1,2.45,"('14R',)",15558,15566,0.881203007518797
15566,15572,1,5.0,"('14R',)",15566,15572,0.881203007518797
15572,15614,1,1.8,"('14R',)",15572,15614,1.41203007518797
15614,15621,1,2.2,"('14R',)",15614,15621,1.4759398496240603
15621,15616,1,2.2666666666666666,"('14R',)",15621,15616,1.9225563909774435
15616,15592,1,2.7333333333333334,"('14R',)",15616,15592,1.9917293233082705
15592,15602,1,2.6666666666666665,"('14R',)",15592,15602,2.053383458646617
15602,15619,1,2.45,"('14R',)",15602,15619,1.6859504132231404
13352,13408,1,0.6,"('18',)",13352,13408,2.631764705882353
13408,16952,1,0.7333333333333333,"('18',)",13408,16952,2.5741176470588236
