,,update_count,driving_time,routes,avg_delay
118,119,7,0.5416666666666667,"['1', '1', '1', '18', '18', '18', '18']",1.8333333333333333
119,117,7,0.8166666666666668,"['1', '1', '1', '1X', '1X', '1X', '1X']",1.5543478260869565
117,289,7,1.2000000000000002,"['1', '1', '1', '1X', '1X', '1X', '1X']",1.4282608695652175
289,98,7,1.4444444444444446,"['1', '1', '1', '1X', '1X', '1X', '1X']",1.2936170212765956
98,288,7,1.5305555555555557,"['1', '1', '1', '1X', '1X', '1X', '1X']",1.3787234042553191
288,287,7,1.4333333333333336,"['1', '1', '1', '1X', '1X', '1X', '1X']",1.6659574468085105
287,286,7,1.4583333333333335,"['1', '1', '1', '1X', '1X', '1X', '1X']",1.6212765957446809
286,303,7,1.2444444444444445,"['1', '1', '1', '1X', '1X', '1X', '1X']",1.8425531914893616
303,292,8,1.119047619047619,"['1', '1', '1', '1X', '1X', '1X', '1X', '28R']",0.46842105263157907
292,291,11,0.7250000000000002,"['1', '1', '1', '1X', '1X', '1X', '1X', '28R', '28R', '28R', '28R']",2.923529411764706
291,207,7,1.6944444444444444,"['1', '1', '1', '1X', '1X', '1X', '1X']",2.5729166666666665
207,295,7,1.2750000000000001,"['1', '1', '1', '1X', '1X', '1X', '1X']",2.5729166666666665
295,307,7,1.4555555555555557,"['1', '1', '1', '1X', '1X', '1X', '1X']",2.6416666666666666
307,300,7,1.5638888888888887,"['1', '1', '1', '1X', '1X', '1X', '1X']",2.7319148936170214
300,306,7,1.3805555555555555,"['1', '1', '1', '1X', '1X', '1X', '1X']",2.8760869565217395
306,293,3,1.3416666666666666,"['1', '1', '1']",3.5142857142857142
293,385,3,1.0,"['1', '1', '1']",3.4523809523809526
385,304,3,1.4916666666666667,"['1', '1', '1']",3.2976190476190474
304,428,3,0.8083333333333333,"['1', '1', '1']",3.458536585365854
428,755,3,0.625,"['1', '1', '1']",3.9390243902439024
755,756,3,0.7583333333333333,"['1', '1', '1']",3.5048780487804874
756,342,3,1.175,"['1', '1', '1']",3.4690476190476196
342,345,3,1.1083333333333334,"['1', '1', '1']",3.482926829268293
345,346,3,0.7833333333333333,"['1', '1', '1']",3.4121951219512194
346,347,3,0.8666666666666667,"['1', '1', '1']",3.0813953488372094
347,330,3,1.5333333333333332,"['1', '1', '1']",3.3883720930232557
330,344,3,1.2,"['1', '1', '1']",3.3
344,348,3,1.25,"['1', '1', '1']",2.6333333333333333
348,343,7,0.7361111111111112,"['1', '1', '1', '12', '12', '12', '12']",0.7096774193548386
343,341,7,0.6861111111111111,"['1', '1', '1', '12', '12', '12', '12']",0.7870967741935483
341,343,3,1.4333333333333333,"['1', '1', '12']",0.33999999999999986
343,348,4,1.9777777777777783,"['1', '1', '12', '1X']",1.8
348,344,2,1.4166666666666667,"['1', '1']",1.3418181818181818
344,297,2,1.25,"['1', '1']",1.2018181818181817
297,330,2,1.0166666666666666,"['1', '1']",1.12
330,347,2,1.0333333333333334,"['1', '1']",2.0090909090909093
347,346,2,1.0833333333333333,"['1', '1']",2.270909090909091
346,345,2,0.95,"['1', '1']",2.590909090909091
345,305,5,0.8124999999999999,"['1', '1', 'CA', 'CA', 'CA']",
305,342,2,0.8666666666666667,"['1', '1']",4.492982456140351
342,756,2,0.9666666666666667,"['1', '1']",4.784210526315789
756,755,2,0.8,"['1', '1']",4.278947368421052
755,428,2,0.7666666666666667,"['1', '1']",4.203508771929824
428,304,2,1.05,"['1', '1']",4.654385964912281
304,296,2,1.6333333333333333,"['1', '1']",4.442105263157895
296,293,2,1.3333333333333333,"['1', '1']",4.324137931034483
293,306,2,1.8333333333333333,"['1', '1']",4.305172413793104
306,300,3,1.2666666666666666,"['1', '1', '1X']",1.7333333333333334
300,307,3,1.5416666666666665,"['1', '1', '1X']",1.4000000000000001
307,295,3,1.4333333333333333,"['1', '1', '1X']",0.8666666666666666
295,207,7,0.9888888888888889,"['1', '1', '1X', '33', '33', '33', '33']",0.8409090909090909
207,290,3,1.2916666666666665,"['1', '1', '1X']",0.5333333333333333
290,291,3,1.0916666666666668,"['1', '1', '1X']",0.6333333333333333
291,292,3,1.0333333333333332,"['1', '1', '1X']",0.0
292,285,3,1.075,"['1', '1', '1X']",0.0
285,303,3,0.7833333333333333,"['1', '1', '1X']",0.0
303,286,3,1.05,"['1', '1', '1X']",0.03333333333333336
286,287,3,1.4916666666666667,"['1', '1', '1X']",0.0
287,288,3,1.4833333333333334,"['1', '1', '1X']",0.0
288,97,3,1.4500000000000002,"['1', '1', '1X']",0.0
97,289,3,1.5083333333333333,"['1', '1', '1X']",0.0
289,117,3,1.1166666666666667,"['1', '1', '1X']",0.0
117,119,3,0.95,"['1', '1', '1X']",0.0
119,118,2,0.9333333333333333,"['1', '1']",3.8295454545454546
698,714,10,0.6814814814814815,"['12', '12', '12', '12', '27', '27', '49', '49', '49', '90']",
714,541,4,0.8,"['12', '12', '12', '12']",2.7482758620689656
541,553,7,0.9666666666666667,"['12', '12', '12', '12', 'PH', 'PH', 'PH']",1.5090909090909093
553,618,4,0.8,"['12', '12', '12', '12']",2.282758620689655
618,697,4,0.9500000000000001,"['12', '12', '12', '12']",2.7241379310344827
697,265,4,1.7277777777777779,"['12', '12', '12', '12']",1.3724137931034484
265,266,4,2.1222222222222227,"['12', '12', '12', '12']",0.7413793103448276
266,769,4,1.4833333333333334,"['12', '12', '12', '12']",0.0
769,348,4,0.8,"['12', '12', '12', '12']",0.4799999999999999
341,395,4,1.5444444444444445,"['12', '12', '12', '12']",1.4967741935483871
395,604,11,1.1083333333333334,"['12', '12', '12', '12', '14', '14', '14', '14R', '14R', '9R', '9R']",1.9235294117647062
604,793,4,1.4333333333333336,"['12', '12', '12', '12']",2.4064516129032256
793,604,4,1.7277777777777779,"['12', '12', '12', '12']",2.13
793,440,1,1.4666666666666666,['12'],2.8190476190476192
440,407,1,1.5833333333333333,['12'],3.6333333333333333
407,518,1,1.6333333333333333,['12'],4.485714285714286
518,128,1,1.3666666666666667,['12'],4.819047619047619
128,519,1,1.6,['12'],4.295238095238095
519,520,10,1.8129629629629629,"['12', '8', '8', '8', '8', '8AX', '8AX', '8AX', '8BX', '8BX']",3.3886363636363637
520,439,10,1.562962962962963,"['12', '8', '8', '8', '8', '8AX', '8AX', '8AX', '8BX', '8BX']",2.972727272727272
439,183,1,1.45,['12'],3.3300000000000005
183,191,1,1.4833333333333334,['12'],3.1799999999999997
191,521,3,1.4916666666666667,"['12', '27', '27']",7.058333333333334
521,6,3,1.05,"['12', '27', '27']",7.3500000000000005
6,7,3,0.7583333333333333,"['12', '27', '27']",7.441666666666666
7,435,3,1.5583333333333333,"['12', '27', '27']",7.741666666666667
435,31,1,1.4333333333333333,['12'],4.3100000000000005
31,436,1,1.5,['12'],4.661904761904762
436,437,1,1.3833333333333333,['12'],4.628571428571429
437,438,1,1.4666666666666666,['12'],4.828571428571429
438,91,1,1.6,['12'],4.852380952380953
91,319,4,1.7333333333333334,"['12', '67', '67', '67']",4.3578947368421055
319,837,1,1.4333333333333333,['12'],5.611111111111111
837,652,5,1.95,"['12', '36', '36', '36', '36']",1.0928571428571427
652,320,6,2.0100000000000002,"['12', '14', '14', '49', '49', '49']",0.5587301587301587
320,319,4,1.6111111111111112,"['12', '27', '27', '27']",9.904
319,91,3,1.3,"['12', '67', '67']",7.155555555555556
91,438,1,1.25,['12'],3.7210526315789476
438,437,1,1.2,['12'],3.831578947368421
437,436,1,1.2833333333333334,['12'],3.7526315789473683
436,31,1,1.3333333333333333,['12'],4.268421052631578
31,435,4,1.4944444444444445,"['12', '27', '27', '27']",11.6
435,7,4,1.9722222222222223,"['12', '27', '27', '27']",12.128
7,521,4,1.488888888888889,"['12', '27', '27', '27']",10.735999999999999
521,192,4,0.8944444444444444,"['12', '27', '27', '27']",10.636
192,184,4,1.2166666666666668,"['12', '27', '27', '27']",10.52
184,439,1,1.5666666666666667,['12'],4.15
439,520,1,1.3666666666666667,['12'],3.9200000000000004
520,519,1,1.35,['12'],3.7350000000000003
519,132,1,2.216666666666667,['12'],2.825
132,518,1,1.85,['12'],2.4450000000000003
518,440,1,2.2666666666666666,['12'],2.7157894736842105
440,793,1,2.6166666666666667,['12'],3.1315789473684212
604,244,4,2.777777777777778,"['12', '38', '38', '38']",0.19325153374233128
244,341,2,0.06666666666666667,"['12', 'CA']",
348,769,1,1.8666666666666667,['12'],0.0
769,266,1,1.1666666666666667,['12'],0.0
266,265,8,1.1952380952380959,"['12', '8', '8AX', '8AX', '8AX', '8BX', '8BX', '8BX']",
265,697,4,1.416666666666667,"['12', '8AX', '8AX', '8AX']",0.0
697,618,1,0.6666666666666666,['12'],0.0
618,553,1,0.6833333333333333,['12'],0.0
553,541,6,0.8466666666666668,"['12', '27', '27', '27', 'PH', 'PH']",3.972727272727273
541,714,1,0.6833333333333333,['12'],0.0
714,698,7,1.1861111111111113,"['12', '49', '49', '90', '90', '90', '90']",0.8721311475409835
604,636,9,1.6916666666666667,"['14', '14', '14', '14R', '14R', '14R', '9R', '9R', '9R']",0.03333333333333335
636,639,6,1.8900000000000003,"['14', '14', '14', '14R', '14R', '14R']",0.30000000000000004
