,,update_count,driving_time,routes,source_stop_id,destination_stop_id,avg_delay
15334,15336,1,1.7,"('12',)",15334,15336,3.533333333333333
15336,14445,1,1.6666666666666667,"('12',)",15336,14445,1.425
14445,16294,1,1.3333333333333333,"('12',)",14445,16294,0.49090909090909096
16294,16333,1,3.3,"('12',)",16294,16333,0.0
16333,16337,1,1.3333333333333333,"('12',)",16333,16337,0.0
16337,15854,1,1.2666666666666666,"('12',)",16337,15854,0.0
15854,15849,1,0.6666666666666666,"('12',)",15854,15849,0.0
15849,15842,1,0.9,"('12',)",15849,15842,0.0
15842,15837,1,0.85,"('12',)",15842,15837,0.0
15837,17737,1,1.0166666666666666,"('12',)",15837,17737,0.0
17737,15852,1,0.9666666666666667,"('12',)",17737,15852,0.0
15852,15847,1,0.6666666666666666,"('12',)",15852,15847,0.0
15847,15856,1,0.6833333333333333,"('12',)",15847,15856,0.0
15856,15840,1,0.6833333333333333,"('12',)",15856,15840,0.0
15840,15845,1,0.6666666666666666,"('12',)",15840,15845,0.0
15845,15838,1,0.6833333333333333,"('12',)",15845,15838,0.0
15838,15843,1,0.6833333333333333,"('12',)",15838,15843,0.0
15843,15850,1,0.6833333333333333,"('12',)",15843,15850,0.0
15850,15165,1,1.25,"('12',)",15850,15165,5.1454545454545455
16498,15623,1,0.7666666666666667,"('14',)",16498,15623,3.026923076923077
15623,15579,1,0.9666666666666667,"('14',)",15623,15579,2.0692307692307694
15579,15528,2,1.2166666666666666,"('14', '14R')",15579,15528,0.496875
15528,15529,2,2.1166666666666667,"('14', '14R')",15528,15529,0.0
15529,15532,2,1.7333333333333334,"('14', '14R')",15529,15532,0.0
15532,15534,2,1.5666666666666667,"('14', '14R')",15532,15534,0.0
15534,15536,2,1.6,"('14', '14R')",15534,15536,0.0
15536,15538,1,1.6666666666666667,"('14',)",15536,15538,1.446153846153846
15538,15539,1,1.5166666666666666,"('14',)",15538,15539,1.473076923076923
15539,15540,1,1.4833333333333334,"('14',)",15539,15540,1.396153846153846
15540,15543,1,1.1,"('14',)",15540,15543,1.3444444444444443
