,,update_count,driving_time,routes
1792,8,6,0.9633333333333335,"['70446', '70446', '70446', '70446', '70446', '70523']"
8,1794,9,0.7416666666666668,"['70446', '70446', '70446', '70446', '70446', '70504', '70504', '70504', '70523']"
1794,505,9,1.1708333333333336,"['70446', '70446', '70446', '70446', '70446', '70504', '70504', '70504', '70523']"
505,3070,9,1.0250000000000001,"['70446', '70446', '70446', '70446', '70446', '70504', '70504', '70504', '70523']"
3070,10,9,1.0270833333333333,"['70446', '70446', '70446', '70446', '70446', '70504', '70504', '70504', '70523']"
10,274,5,0.5333333333333333,"['70446', '70446', '70446', '70446', '70446']"
274,422,5,0.48333333333333334,"['70446', '70446', '70446', '70446', '70446']"
422,3237,5,0.5166666666666667,"['70446', '70446', '70446', '70446', '70446']"
3237,2097,5,1.3000000000000003,"['70446', '70446', '70446', '70446', '70446']"
2097,1124,5,0.7666666666666667,"['70446', '70446', '70446', '70446', '70446']"
1124,2946,5,0.5666666666666667,"['70446', '70446', '70446', '70446', '70446']"
2946,1396,5,1.5541666666666667,"['70446', '70446', '70446', '70446', '70446']"
1396,2730,5,0.7916666666666667,"['70446', '70446', '70446', '70446', '70446']"
2730,2912,9,0.6125,"['70446', '70446', '70446', '70446', '70446', '70492', '70492', '70492', '70492']"
2912,1124,9,0.7291666666666669,"['70446', '70446', '70446', '70446', '70446', '70492', '70492', '70492', '70492']"
2161,1335,4,0.6111111111111112,"['70447', '70447', '70447', '70532']"
1335,1787,4,0.7666666666666667,"['70447', '70447', '70447', '70532']"
1787,2547,4,0.5444444444444445,"['70447', '70447', '70447', '70532']"
2547,3358,7,0.5916666666666667,"['70447', '70447', '70447', '70447', '70447', '70532', '70532']"
3358,2547,7,0.3305555555555556,"['70447', '70447', '70447', '70447', '70447', '70532', '70532']"
2547,1426,4,0.55,"['70447', '70447', '70447', '70532']"
1426,214,4,0.5833333333333334,"['70447', '70447', '70447', '70532']"
214,285,4,1.7166666666666666,"['70447', '70447', '70447', '70532']"
285,1525,4,0.7944444444444445,"['70447', '70447', '70447', '70532']"
1525,1035,4,0.5555555555555556,"['70447', '70447', '70447', '70532']"
1035,2661,4,0.9388888888888889,"['70447', '70447', '70447', '70532']"
2661,596,3,1.7083333333333335,"['70447', '70447', '70447']"
596,424,5,0.8916666666666667,"['70447', '70447', '70447', '70552', '70552']"
424,341,9,1.4583333333333335,"['70447', '70447', '70447', '70523', '70523', '70523', '70523', '70552', '70552']"
341,3319,3,0.625,"['70447', '70447', '70447']"
3319,21,5,0.5625,"['70447', '70447', '70447', '70611', '70611']"
21,394,7,1.8555555555555556,"['70447', '70447', '70447', '70552', '70552', '70611', '70611']"
394,1516,11,0.755,"['70447', '70447', '70447', '70523', '70523', '70523', '70523', '70611', '70611', '70618', '70618']"
1516,150,11,0.635,"['70447', '70447', '70447', '70523', '70523', '70523', '70523', '70611', '70611', '70618', '70618']"
150,532,10,1.4592592592592595,"['70447', '70447', '70447', '70523', '70523', '70523', '70523', '70582', '70611', '70611']"
532,161,9,0.7770833333333333,"['70447', '70447', '70447', '70523', '70523', '70523', '70523', '70611', '70611']"
161,2031,6,0.7200000000000002,"['70447', '70447', '70447', '70609', '70609', '70609']"
2031,1613,6,0.7400000000000002,"['70447', '70447', '70447', '70609', '70609', '70609']"
1613,2076,6,0.5066666666666667,"['70447', '70447', '70447', '70609', '70609', '70609']"
2076,3389,9,0.4833333333333334,"['70447', '70447', '70447', '70521', '70521', '70609', '70609', '70609', '70617']"
3389,1219,9,0.8270833333333334,"['70447', '70447', '70447', '70521', '70521', '70609', '70609', '70609', '70617']"
1219,2574,10,0.5981481481481481,"['70447', '70447', '70447', '70521', '70521', '70588', '70609', '70609', '70609', '70617']"
2574,2692,10,0.4555555555555556,"['70447', '70447', '70447', '70521', '70521', '70588', '70609', '70609', '70609', '70617']"
2692,74,16,0.588888888888889,"['70447', '70447', '70447', '70512', '70512', '70512', '70512', '70521', '70521', '70567', '70567', '70588', '70609', '70609', '70609', '70617']"
74,2692,19,0.8898148148148148,"['70447', '70447', '70512', '70512', '70512', '70512', '70521', '70567', '70567', '70588', '70588', '70588', '70588', '70609', '70609', '70617', '70617', '70617', '70617']"
2692,1219,13,1.2513888888888889,"['70447', '70447', '70521', '70588', '70588', '70588', '70588', '70609', '70609', '70617', '70617', '70617', '70617']"
1219,3389,9,0.9958333333333335,"['70447', '70447', '70521', '70609', '70609', '70617', '70617', '70617', '70617']"
3389,2076,9,0.6916666666666667,"['70447', '70447', '70521', '70609', '70609', '70617', '70617', '70617', '70617']"
2076,1613,4,0.6888888888888889,"['70447', '70447', '70609', '70609']"
1613,2031,4,1.1722222222222223,"['70447', '70447', '70609', '70609']"
2031,161,4,0.6111111111111112,"['70447', '70447', '70609', '70609']"
161,532,11,1.3800000000000003,"['70447', '70447', '70504', '70504', '70504', '70504', '70504', '70523', '70611', '70611', '70611']"
532,150,9,1.8145833333333332,"['70447', '70447', '70582', '70582', '70582', '70582', '70611', '70611', '70611']"
150,1516,5,0.8958333333333335,"['70447', '70447', '70611', '70611', '70611']"
1516,164,10,1.7685185185185188,"['70447', '70447', '70504', '70504', '70504', '70504', '70504', '70630', '70630', '70630']"
164,341,10,0.7611111111111111,"['70447', '70447', '70504', '70504', '70504', '70504', '70504', '70523', '70552', '70552']"
341,424,11,2.286666666666667,"['70447', '70447', '70504', '70504', '70504', '70504', '70504', '70523', '70552', '70552', '70552']"
424,596,5,0.5708333333333333,"['70447', '70447', '70552', '70552', '70552']"
596,2661,2,1.4833333333333334,"['70447', '70447']"
2661,1035,2,1.1166666666666667,"['70447', '70447']"
1035,1525,2,0.8,"['70447', '70447']"
1525,285,2,1.2,"['70447', '70447']"
285,214,3,1.3833333333333333,"['70447', '70447', '70532']"
214,2547,3,0.45,"['70447', '70447', '70532']"
2547,1787,3,0.7416666666666667,"['70447', '70447', '70532']"
1787,1335,3,0.6333333333333333,"['70447', '70447', '70532']"
1335,2161,3,0.9083333333333333,"['70447', '70447', '70532']"
2161,11,2,1.0166666666666666,"['70447', '70447']"
11,2161,3,1.675,"['70447', '70447', '70532']"
3531,3567,4,2.2222222222222223,"['70448', '70448', '70448', '70448']"
3567,3415,4,0.8555555555555556,"['70448', '70448', '70448', '70448']"
3415,2100,4,2.9555555555555557,"['70448', '70448', '70448', '70448']"
2100,3200,9,0.6250000000000001,"['70448', '70448', '70448', '70448', '70533', '70533', '70555', '70555', '70555']"
3200,3598,4,2.0222222222222226,"['70448', '70448', '70448', '70448']"
3598,3597,7,1.2,"['70448', '70448', '70448', '70448', '70474', '70474', '70474']"
3597,3598,3,0.9666666666666667,"['70448', '70474', '70474']"
3598,2942,3,1.2666666666666666,"['70448', '70474', '70474']"
2942,3200,6,1.12,"['70448', '70533', '70533', '70533', '70555', '70555']"
3200,1812,6,0.5333333333333333,"['70448', '70533', '70533', '70533', '70555', '70555']"
1812,2100,6,0.54,"['70448', '70533', '70533', '70533', '70555', '70555']"
2100,1954,6,1.2733333333333334,"['70448', '70452', '70544', '70544', '70614', '70614']"
1954,3415,1,1.0166666666666666,['70448']
3415,3567,1,0.7833333333333333,['70448']
3567,3531,1,2.683333333333333,['70448']
3501,3517,2,2.3666666666666667,"['70449', '70449']"
3517,3538,2,0.8333333333333334,"['70449', '70449']"
3538,1652,2,0.6666666666666666,"['70449', '70449']"
1652,1443,2,1.4833333333333334,"['70449', '70449']"
1443,484,2,0.8666666666666667,"['70449', '70449']"
484,561,2,0.6666666666666666,"['70449', '70449']"
561,969,2,3.4166666666666665,"['70449', '70449']"
969,2118,2,1.9833333333333334,"['70449', '70449']"
2118,1099,2,2.1333333333333333,"['70449', '70449']"
1099,2291,2,1.8833333333333333,"['70449', '70449']"
2291,2665,2,2.1166666666666667,"['70449', '70449']"
2665,2496,2,1.9666666666666666,"['70449', '70449']"
2496,3281,2,0.7666666666666667,"['70449', '70449']"
3281,2454,2,0.6666666666666666,"['70449', '70449']"
2454,737,2,0.5833333333333334,"['70449', '70449']"
737,2975,2,0.8666666666666667,"['70449', '70449']"
2975,2340,2,0.9333333333333333,"['70449', '70449']"
2340,1913,2,1.0166666666666666,"['70449', '70449']"
1913,2892,2,1.3,"['70449', '70449']"
2892,3436,3,0.7,"['70449', '70449', '70449']"
3436,139,3,0.8333333333333334,"['70449', '70449', '70449']"
139,2041,3,1.0,"['70449', '70449', '70449']"
2041,650,3,1.0,"['70449', '70449', '70449']"
650,1481,5,0.9916666666666667,"['70449', '70449', '70449', '70623', '70623']"
1481,1216,5,1.8416666666666666,"['70449', '70449', '70449', '70623', '70623']"
1216,1633,3,0.75,"['70449', '70449', '70449']"
1633,2810,3,0.7,"['70449', '70449', '70449']"
2810,761,3,3.066666666666667,"['70449', '70449', '70449']"
761,1619,3,0.9333333333333333,"['70449', '70449', '70449']"
1619,1054,3,0.5333333333333333,"['70449', '70449', '70449']"
1054,696,5,1.9166666666666667,"['70449', '70449', '70449', '70623', '70623']"
696,1388,3,5.583333333333333,"['70449', '70449', '70449']"
1388,464,6,1.4333333333333336,"['70449', '70449', '70449', '70449', '70623', '70623']"
464,2417,6,1.2066666666666668,"['70449', '70449', '70449', '70449', '70623', '70623']"
2417,1639,4,1.8666666666666667,"['70449', '70449', '70449', '70449']"
1639,2756,4,0.7722222222222224,"['70449', '70449', '70449', '70449']"
2756,2534,4,1.5666666666666669,"['70449', '70449', '70449', '70449']"
2534,2823,4,0.7555555555555555,"['70449', '70449', '70449', '70449']"
2823,1889,4,1.0444444444444443,"['70449', '70449', '70449', '70449']"
1889,331,4,0.8666666666666667,"['70449', '70449', '70449', '70449']"
331,1573,4,0.8888888888888891,"['70449', '70449', '70449', '70449']"
1573,2493,4,1.95,"['70449', '70449', '70449', '70449']"
2493,1635,4,2.2555555555555555,"['70449', '70449', '70449', '70449']"
1635,27,4,0.7277777777777779,"['70449', '70449', '70449', '70449']"
27,2745,4,0.9000000000000001,"['70449', '70449', '70449', '70449']"
2745,647,4,0.5833333333333334,"['70449', '70449', '70449', '70449']"
647,2426,6,1.1933333333333334,"['70449', '70449', '70449', '70449', '70623', '70623']"
2426,1412,4,0.55,"['70449', '70449', '70449', '70449']"
1412,685,4,0.8833333333333333,"['70449', '70449', '70449', '70449']"
685,2606,4,0.7,"['70449', '70449', '70449', '70449']"
2606,208,4,0.6333333333333333,"['70449', '70449', '70449', '70449']"
208,3143,4,0.6166666666666667,"['70449', '70449', '70449', '70449']"
3143,2233,4,0.7666666666666667,"['70449', '70449', '70449', '70449']"
2233,2800,7,0.7638888888888891,"['70449', '70449', '70449', '70449', '70620', '70620', '70620']"
2800,896,7,0.8027777777777778,"['70449', '70449', '70449', '70449', '70620', '70620', '70620']"
896,1861,7,0.41666666666666674,"['70449', '70449', '70449', '70449', '70620', '70620', '70620']"
1861,277,7,0.6472222222222223,"['70449', '70449', '70449', '70449', '70620', '70620', '70620']"
