stop_id,stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,geometry,closest_hospital_distance,closest_grocery_distance,closest_park_distance,closest_bar_distance,closest_worship_distance,closest_mcdonalds_distance,closest_starbucks_distance,near_hospital,near_grocery,near_park,near_bar,near_worship,near_mcdonalds,near_starbucks,routes
262,262,662,Danforth Rd at Kennedy Rd,,43.714379,-79.260939,,,,,,1,POINT (-79.260939 43.714379),31707.321732974615,1018.7492158765579,5866.147776341609,2372.5574564813205,1236.1328872324489,4029.325943667766,3728.354443889783,False,False,False,False,False,False,False,
263,263,929,Davenport Rd at Bedford Rd,,43.674448,-79.399659,,,,,,1,POINT (-79.399659 43.674448),19381.277690663395,361.6140923269716,1815.4730961018072,755.3615274479921,446.6944485772424,799.8868603554316,686.1029027383574,False,True,False,False,False,False,False,
264,264,940,Davenport Rd at Dupont St,,43.675511,-79.401938,,,,,,2,POINT (-79.401938 43.675511),19112.03391488044,94.91761684671833,2086.998287657002,985.9350847648673,651.9741774067652,1047.3963450784772,901.8342096161305,False,True,False,False,False,False,False,
265,265,1871,Davisville Ave at Cleveland St,,43.702088,-79.378112,,,,,,1,POINT (-79.378112 43.702088),20004.60475823444,1329.2085243093243,2613.797570082504,468.7569673821609,285.71952238419505,2154.031248094659,500.17987500083507,False,False,False,False,True,False,False,"('70506',)"
266,266,11700,Disco Rd at Attwell Dr,,43.701362,-79.594843,,,,,,1,POINT (-79.594843 43.701362),8971.256708933439,1522.4599640213323,4134.6301898952825,3049.081806603601,1934.051237806759,4142.572391529169,1690.541141669104,False,False,False,False,False,False,False,
267,267,3478,Disco Rd at Attwell Dr,,43.701043,-79.595806,,,,,,1,POINT (-79.595806 43.701043),9056.084940192251,1569.3651016344622,4099.160608091203,2960.549107646985,2036.4498313790957,4230.932549344404,1646.9392421877867,False,False,False,False,False,False,False,
268,268,3479,Disco Rd at Carlingview Dr East Side,,43.69981,-79.600769,,,,,,1,POINT (-79.600769 43.69981),9463.506269622063,1852.6446919592386,3919.62096672737,2517.298163572244,2547.5141442820354,4169.574731740688,1573.6926778030247,False,False,False,False,False,False,False,
269,269,3480,Disco Rd at Carlingview Dr,,43.699929,-79.601176,,,,,,1,POINT (-79.601176 43.699929),9477.456343636042,1859.033042269609,3886.6111005114353,2501.834648679138,2576.7698557768167,4191.613866125957,1599.310873578823,False,False,False,False,False,False,False,
270,270,14258,Don Mills Rd at Eglinton Ave East,,43.720674,-79.339121,,,,,,1,POINT (-79.339121 43.720674),23362.59016895438,787.319046636068,1260.7445901306842,2880.0038607002607,1324.8187872676478,4231.624465725452,2613.689729856243,False,False,False,False,False,False,False,"('70630',)"
271,271,9125,Don Mills Rd at Eglinton Ave East North Side,,43.721373,-79.338926,,,,,,1,POINT (-79.338926 43.721373),23364.85193931031,733.4158206285427,1254.8958579117582,2930.3780291887433,1314.8322458630373,4175.316758456876,2666.7553534955528,False,False,False,False,False,False,False,
