,,update_count,driving_time,routes
3271,3035,4,1.6888888888888889,"['10A', '10A', '10A', '10A']"
3035,3036,4,1.2944444444444445,"['10A', '10A', '10A', '10A']"
3036,3046,4,4.894444444444446,"['10A', '10A', '10A', '10A']"
3046,165,4,1.0944444444444446,"['10A', '10A', '10A', '10A']"
165,187,12,0.9545454545454546,"['10A', '10A', '10A', '10A', '10B', '10B', '10B', '10B', '10B', '11Y', '11Y', '11Y']"
206,229,12,1.2030303030303027,"['10A', '10A', '10A', '10A', '10B', '10B', '10B', '10B', '10B', '11Y', '11Y', '11Y']"
229,249,12,1.0772727272727276,"['10A', '10A', '10A', '10A', '10B', '10B', '10B', '10B', '10B', '11Y', '11Y', '11Y']"
249,267,9,0.3791666666666667,"['10A', '10A', '10A', '10A', '10B', '10B', '10B', '10B', '10B']"
267,269,9,1.0354166666666669,"['10A', '10A', '10A', '10A', '10B', '10B', '10B', '10B', '10B']"
3238,3248,9,0.7854166666666668,"['10A', '10A', '10A', '10A', '10B', '10B', '10B', '10B', '10B']"
3248,304,9,0.8333333333333335,"['10A', '10A', '10A', '10A', '10B', '10B', '10B', '10B', '10B']"
304,328,9,0.31875,"['10A', '10A', '10A', '10A', '10B', '10B', '10B', '10B', '10B']"
328,356,9,0.35208333333333336,"['10A', '10A', '10A', '10A', '10B', '10B', '10B', '10B', '10B']"
356,376,9,0.5625000000000001,"['10A', '10A', '10A', '10A', '10B', '10B', '10B', '10B', '10B']"
376,404,9,0.44166666666666665,"['10A', '10A', '10A', '10A', '10B', '10B', '10B', '10B', '10B']"
404,435,9,0.5895833333333335,"['10A', '10A', '10A', '10A', '10B', '10B', '10B', '10B', '10B']"
435,453,9,0.35208333333333336,"['10A', '10A', '10A', '10A', '10B', '10B', '10B', '10B', '10B']"
453,495,9,0.8500000000000001,"['10A', '10A', '10A', '10A', '10B', '10B', '10B', '10B', '10B']"
495,534,9,1.0333333333333334,"['10A', '10A', '10A', '10A', '10B', '10B', '10B', '10B', '10B']"
534,560,9,0.6333333333333334,"['10A', '10A', '10A', '10A', '10B', '10B', '10B', '10B', '10B']"
560,606,9,0.9000000000000001,"['10A', '10A', '10A', '10A', '10B', '10B', '10B', '10B', '10B']"
606,639,12,0.7590909090909091,"['10A', '10A', '10A', '10A', '10B', '10B', '10B', '10B', '10B', '23A', '23A', '23A']"
639,673,7,0.8111111111111112,"['10A', '10A', '10A', '10A', '23A', '23A', '23A']"
673,722,7,1.3583333333333334,"['10A', '10A', '10A', '10A', '23A', '23A', '23A']"
722,723,7,0.6666666666666667,"['10A', '10A', '10A', '10A', '23A', '23A', '23A']"
723,725,7,0.3305555555555556,"['10A', '10A', '10A', '10A', '23A', '23A', '23A']"
725,726,7,0.32500000000000007,"['10A', '10A', '10A', '10A', '23A', '23A', '23A']"
727,735,4,0.5222222222222224,"['10A', '10A', '10A', '10A']"
735,760,4,0.5666666666666667,"['10A', '10A', '10A', '10A']"
760,784,4,0.49444444444444446,"['10A', '10A', '10A', '10A']"
784,810,6,1.1233333333333335,"['10A', '10A', '10A', '10A', '16M', '16M']"
810,806,13,0.7124999999999999,"['10A', '10A', '10A', '10A', '16M', '16M', '22A', '22A', '22A', '7A', '7A', '7A', '7A']"
806,818,4,0.8888888888888891,"['10A', '10A', '10A', '10A']"
818,3237,4,1.416666666666667,"['10A', '10A', '10A', '10A']"
3237,903,4,0.85,"['10A', '10A', '10A', '10A']"
903,889,9,0.6645833333333333,"['10A', '10A', '10A', '10A', '16E', '16E', '16M', '16M', '16M']"
3197,881,15,3.8654761904761914,"['10A', '16A', '16A', '16A', '16C', '16E', '16E', '16E', '22A', '22A', '22A', '7A', '7A', '7A', '7A']"
881,889,5,0.7166666666666668,"['10A', '16A', '16A', '16A', '16C']"
889,3237,1,0.9333333333333333,['10A']
3237,833,1,0.9166666666666666,['10A']
833,818,1,0.85,['10A']
818,806,1,0.95,['10A']
806,810,4,0.7277777777777777,"['10A', '16M', '16M', '16M']"
810,784,4,1.638888888888889,"['10A', '16M', '16M', '16M']"
784,735,3,1.5333333333333334,"['10A', 'MW1', 'MW1']"
727,726,8,0.35714285714285715,"['10A', '23A', '23A', '23B', '23B', '23B', '23B', '23B']"
726,725,8,0.3023809523809524,"['10A', '23A', '23A', '23B', '23B', '23B', '23B', '23B']"
725,722,8,0.6976190476190478,"['10A', '23A', '23A', '23B', '23B', '23B', '23B', '23B']"
722,673,8,1.5714285714285716,"['10A', '23A', '23A', '23B', '23B', '23B', '23B', '23B']"
673,639,1,0.85,['10A']
606,587,1,0.6666666666666666,['10A']
587,560,1,0.85,['10A']
560,495,1,1.5666666666666667,['10A']
453,435,1,0.5666666666666667,['10A']
435,404,1,0.35,['10A']
404,376,1,0.5,['10A']
376,356,1,0.5666666666666667,['10A']
356,328,1,0.2833333333333333,['10A']
328,304,1,0.38333333333333336,['10A']
304,3248,1,1.0333333333333334,['10A']
3248,269,1,4.15,['10A']
269,267,1,0.75,['10A']
267,249,1,1.25,['10A']
249,229,3,0.525,"['10A', '11Y', '11Y']"
206,187,3,0.6333333333333333,"['10A', '11Y', '11Y']"
187,165,3,0.9333333333333333,"['10A', '11Y', '11Y']"
165,3046,1,0.5166666666666667,['10A']
3046,3032,1,3.15,['10A']
3032,3033,1,0.48333333333333334,['10A']
3033,3036,1,0.4,['10A']
3036,3034,1,0.4166666666666667,['10A']
3034,3035,1,1.1166666666666667,['10A']
3474,146,8,0.9523809523809526,"['10B', '10B', '10B', '10B', '10B', '11Y', '11Y', '11Y']"
146,156,8,0.5285714285714286,"['10B', '10B', '10B', '10B', '10B', '11Y', '11Y', '11Y']"
156,165,8,0.7619047619047621,"['10B', '10B', '10B', '10B', '10B', '11Y', '11Y', '11Y']"
639,633,5,0.8500000000000001,"['10B', '10B', '10B', '10B', '10B']"
633,629,5,0.6874999999999999,"['10B', '10B', '10B', '10B', '10B']"
