,,update_count,driving_time,routes,source_stop_id,destination_stop_id,avg_delay
15334,15336,1,1.7,"('12',)",15334,15336,4.363888888888889
15336,14445,1,1.6666666666666667,"('12',)",15336,14445,2.397222222222222
14445,16294,1,1.3333333333333333,"('12',)",14445,16294,1.9583333333333333
16294,16333,1,3.3,"('12',)",16294,16333,0.0194444444444445
16333,16337,1,1.3333333333333333,"('12',)",16333,16337,0.0
16337,15854,1,1.2666666666666666,"('12',)",16337,15854,0.0
15854,15849,1,0.6666666666666666,"('12',)",15854,15849,0.0
15849,15842,1,0.9,"('12',)",15849,15842,0.0
15842,15837,1,0.85,"('12',)",15842,15837,0.0
15837,17737,1,1.0166666666666666,"('12',)",15837,17737,0.0
17737,15852,1,0.9666666666666668,"('12',)",17737,15852,0.0
15852,15847,1,0.6666666666666666,"('12',)",15852,15847,0.0
15847,15856,1,0.6833333333333333,"('12',)",15847,15856,0.0055555555555555
15856,15840,1,0.6833333333333333,"('12',)",15856,15840,0.0
15840,15845,1,0.6666666666666666,"('12',)",15840,15845,0.0333333333333333
15845,15838,1,0.6833333333333333,"('12',)",15845,15838,0.1861111111111111
15838,15843,1,0.6833333333333333,"('12',)",15838,15843,0.3
15843,15850,1,0.6833333333333333,"('12',)",15843,15850,0.4333333333333333
15850,15165,1,1.25,"('12',)",15850,15165,4.452777777777778
16498,15623,1,0.7666666666666667,"('14',)",16498,15623,0.0
15623,15579,1,0.9666666666666668,"('14',)",15623,15579,0.0
15579,15528,2,1.2166666666666666,"('14', '14R')",15579,15528,0.896969696969697
15528,15529,2,2.1166666666666667,"('14', '14R')",15528,15529,0.3681818181818182
15529,15532,2,1.7333333333333334,"('14', '14R')",15529,15532,0.3234848484848484
15532,15534,2,1.5666666666666669,"('14', '14R')",15532,15534,0.0204545454545454
15534,15536,2,1.6,"('14', '14R')",15534,15536,0.0
15536,15538,1,1.6666666666666667,"('14',)",15536,15538,0.0
15538,15539,1,1.5166666666666666,"('14',)",15538,15539,0.0
15539,15540,1,1.4833333333333334,"('14',)",15539,15540,0.0
15540,15543,1,1.1,"('14',)",15540,15543,0.0
15543,15545,1,1.2333333333333334,"('14',)",15543,15545,0.0
15545,15836,1,1.2666666666666666,"('14',)",15545,15836,0.0
15836,15835,1,0.9333333333333332,"('14',)",15836,15835,0.0
15835,15548,1,2.2666666666666666,"('14',)",15835,15548,0.0
15548,15552,1,1.5333333333333334,"('14',)",15548,15552,0.0
15552,15554,1,1.6333333333333333,"('14',)",15552,15554,0.0
15554,15558,1,1.9333333333333331,"('14',)",15554,15558,0.0
15558,15562,1,1.6166666666666667,"('14',)",15558,15562,0.0
15562,15566,1,1.8166666666666669,"('14',)",15562,15566,0.0
15566,15568,1,1.6833333333333331,"('14',)",15566,15568,0.0
15568,15626,1,1.9166666666666667,"('14',)",15568,15626,0.0
15626,15572,1,1.4,"('14',)",15626,15572,0.0
15572,15584,1,0.5666666666666667,"('14',)",15572,15584,0.0
15584,15578,1,0.85,"('14',)",15584,15578,0.0
15578,15597,1,0.7333333333333333,"('14',)",15578,15597,0.0
15597,15614,1,0.5666666666666667,"('14',)",15597,15614,0.0
15614,15580,1,1.0833333333333333,"('14',)",15614,15580,0.0
15580,15573,1,0.5666666666666667,"('14',)",15580,15573,0.0
15573,15625,1,0.8166666666666667,"('14',)",15573,15625,0.0
15625,15621,1,0.8166666666666667,"('14',)",15625,15621,0.0
15621,15590,1,1.4333333333333331,"('14',)",15621,15590,0.0
15590,15616,1,1.7333333333333334,"('14',)",15590,15616,0.0
15616,15609,1,1.1166666666666667,"('14',)",15616,15609,0.0
15609,15598,1,1.2,"('14',)",15609,15598,0.0
15598,15592,1,1.5166666666666666,"('14',)",15598,15592,0.0
15592,15604,1,0.8833333333333333,"('14',)",15592,15604,0.0
15604,15589,1,1.0,"('14',)",15604,15589,0.0
15589,15602,1,1.1166666666666667,"('14',)",15589,15602,0.0
15602,15627,1,0.7166666666666667,"('14',)",15602,15627,0.0
15627,15600,1,0.9166666666666666,"('14',)",15627,15600,0.0
15600,15619,1,0.8833333333333333,"('14',)",15600,15619,0.0
15619,15594,2,1.3166666666666669,"('14', '14R')",15619,15594,0.2958333333333333
15594,15588,2,0.5666666666666667,"('14', '14R')",15594,15588,0.9066666666666666
15588,17099,1,1.4166666666666667,"('14',)",15588,17099,0.0
15603,15579,1,0.7666666666666667,"('14R',)",15603,15579,1.5954545454545457
15536,15540,2,2.2333333333333334,"('14R', '714')",15536,15540,0.85
15540,15545,1,2.333333333333333,"('14R',)",15540,15545,0.0
15545,15552,1,5.0,"('14R',)",15545,15552,0.0
15552,15558,1,2.55,"('14R',)",15552,15558,0.0
15558,15566,1,2.45,"('14R',)",15558,15566,0.0
15566,15572,1,5.0,"('14R',)",15566,15572,0.0
15572,15614,1,1.8,"('14R',)",15572,15614,0.2409090909090908
15614,15621,1,2.2,"('14R',)",15614,15621,0.2999999999999999
15621,15616,1,2.2666666666666666,"('14R',)",15621,15616,1.0424242424242425
15616,15592,1,2.7333333333333334,"('14R',)",15616,15592,1.025757575757576
15592,15602,1,2.6666666666666665,"('14R',)",15592,15602,1.1295454545454544
15602,15619,1,2.45,"('14R',)",15602,15619,0.2475
13352,13408,1,0.6,"('18',)",13352,13408,2.687951807228916
13408,16952,1,0.7333333333333333,"('18',)",13408,16952,2.5915662650602407
16952,16954,1,1.15,"('18',)",16952,16954,2.350602409638554
16954,14838,1,1.0,"('18',)",16954,14838,2.1626506024096384
14838,17852,1,1.8166666666666669,"('18',)",14838,17852,0.9979166666666668
17852,16433,1,1.9666666666666663,"('18',)",17852,16433,1.0041666666666669
16433,16446,1,0.6166666666666667,"('18',)",16433,16446,1.0375
16446,16450,2,1.05,"('18', '23')",16446,16450,0.0
16450,13604,1,0.2333333333333333,"('18',)",16450,13604,1.3395833333333331
13604,13603,1,0.6,"('18',)",13604,13603,1.4291666666666665
13603,13601,1,0.6,"('18',)",13603,13601,1.4249999999999998
13601,13599,1,0.6,"('18',)",13601,13599,1.45625
13599,13597,1,0.6166666666666667,"('18',)",13599,13597,1.53125
13597,13595,1,0.6,"('18',)",13597,13595,1.6
13595,13593,1,0.6166666666666667,"('18',)",13595,13593,1.6083333333333334
13593,13591,1,0.6,"('18',)",13593,13591,1.56875
13591,13589,1,0.6166666666666667,"('18',)",13591,13589,1.56875
13589,13586,1,0.5833333333333334,"('18',)",13589,13586,1.6354166666666667
13586,13585,1,0.6333333333333333,"('18',)",13586,13585,1.6916666666666669
13585,13581,1,0.6,"('18',)",13585,13581,1.6729166666666666
13581,13579,1,0.6166666666666667,"('18',)",13581,13579,1.6708333333333332
13579,13577,1,0.7166666666666667,"('18',)",13579,13577,1.63125
13577,13575,1,0.5166666666666667,"('18',)",13577,13575,1.7708333333333333
13575,13582,1,0.5166666666666667,"('18',)",13575,13582,1.9729166666666669
13582,15324,1,0.3166666666666666,"('18',)",13582,15324,2.0187500000000003
15324,15328,1,0.6,"('18',)",15324,15328,2.10625
15328,14779,1,1.1833333333333331,"('18',)",15328,14779,1.8125
14779,14844,1,1.35,"('18',)",14779,14844,0.0050420168067226
14844,17204,1,0.5166666666666667,"('18',)",14844,17204,2.00625
17204,13925,1,0.6333333333333333,"('18',)",17204,13925,2.09375
13925,13572,1,0.7833333333333333,"('18',)",13925,13572,1.9354166666666668
13572,13570,1,0.7,"('18',)",13572,13570,1.7875
13570,13066,1,0.75,"('18',)",13570,13066,1.6354166666666667
13066,13064,1,1.0833333333333333,"('18',)",13066,13064,1.3854166666666667
13064,13062,1,1.0833333333333333,"('18',)",13064,13062,1.2333333333333334
13062,13059,1,1.0833333333333333,"('18',)",13062,13059,1.1125
13059,13553,1,0.4166666666666667,"('18',)",13059,13553,1.0958333333333334
13553,13552,1,0.7,"('18',)",13553,13552,1.0583333333333331
13552,13559,1,0.7666666666666667,"('18',)",13552,13559,2.783333333333333
13559,13555,1,0.45,"('18',)",13559,13555,2.1972972972972973
13555,14069,1,0.2,"('18',)",13555,14069,2.383783783783784
14069,14873,1,1.35,"('18',)",14069,14873,2.545945945945946
13093,15992,1,1.0666666666666669,"('19',)",13093,15992,1.373134328358209
15992,15988,1,0.9333333333333332,"('19',)",15992,15988,0.9671641791044776
15988,15990,1,1.1833333333333331,"('19',)",15988,15990,0.4238805970149254
15990,16004,1,1.7166666666666666,"('19',)",15990,16004,0.0
16004,15984,1,2.05,"('19',)",16004,15984,0.0
15984,16007,1,1.25,"('19',)",15984,16007,0.0
16007,16000,1,0.8,"('19',)",16007,16000,0.144776119402985
16000,15996,1,1.7833333333333334,"('19',)",16000,15996,0.0
15996,16002,1,1.2166666666666666,"('19',)",15996,16002,0.0
16002,15993,1,1.8,"('19',)",16002,15993,0.0
15993,14490,1,1.45,"('19',)",15993,14490,0.0
14490,14482,1,0.9166666666666666,"('19',)",14490,14482,0.0
14482,15087,1,1.45,"('19',)",14482,15087,0.0
15087,15079,1,1.3,"('19',)",15087,15079,0.0
15079,15071,1,1.0,"('19',)",15079,15071,0.0
15071,13209,1,0.6666666666666666,"('19',)",15071,13209,0.0
13209,13208,1,1.4166666666666667,"('19',)",13209,13208,0.0
13208,17677,1,0.5333333333333333,"('19',)",13208,17677,0.0
17677,13205,1,0.6666666666666666,"('19',)",17677,13205,0.0
13205,13206,1,0.6,"('19',)",13205,13206,0.0
13206,13204,1,0.5333333333333333,"('19',)",13206,13204,0.0
13204,13203,1,0.6666666666666666,"('19',)",13204,13203,0.0
13203,14437,1,0.9666666666666668,"('19',)",13203,14437,0.0
14437,16201,1,0.4,"('19',)",14437,16201,0.0
16201,16187,1,0.5166666666666667,"('19',)",16201,16187,0.0
16187,16190,1,0.5166666666666667,"('19',)",16187,16190,0.0
16190,16191,1,0.5333333333333333,"('19',)",16190,16191,0.0
16191,16203,1,0.65,"('19',)",16191,16203,0.0
16203,16192,1,0.5166666666666667,"('19',)",16203,16192,0.0
16192,16193,1,0.45,"('19',)",16192,16193,0.0
16193,16195,1,0.5833333333333334,"('19',)",16193,16195,0.0
16195,16204,1,0.3833333333333333,"('19',)",16195,16204,0.0
16204,16196,1,0.65,"('19',)",16204,16196,0.0
16196,16186,1,0.2833333333333333,"('19',)",16196,16186,0.0
16186,16197,1,0.55,"('19',)",16186,16197,0.0
16197,16198,1,0.35,"('19',)",16197,16198,0.0
16198,16199,1,0.6,"('19',)",16198,16199,0.0
16199,16200,1,0.6,"('19',)",16199,16200,0.0
16200,13517,1,0.4666666666666667,"('19',)",16200,13517,0.0
13517,13513,1,1.0166666666666666,"('19',)",13517,13513,0.0
13513,13505,1,0.7666666666666667,"('19',)",13513,13505,0.0
13505,14130,1,0.5166666666666667,"('19',)",13505,14130,0.0
14130,14132,1,0.6833333333333333,"('19',)",14130,14132,0.0
14132,14549,1,1.0333333333333334,"('19',)",14132,14549,0.0
14549,14562,1,1.1833333333333331,"('19',)",14549,14562,0.0
14562,17285,1,1.6666666666666667,"('19',)",14562,17285,0.0
17285,14560,1,0.8,"('19',)",17285,14560,0.0
14560,14547,1,0.3166666666666666,"('19',)",14560,14547,0.0
14547,14553,1,0.7833333333333333,"('19',)",14547,14553,0.0
14553,14564,1,0.4,"('19',)",14553,14564,0.0
14564,14551,1,0.4,"('19',)",14564,14551,0.0
14551,14552,1,0.45,"('19',)",14551,14552,0.0
14552,17719,1,0.1833333333333333,"('19',)",14552,17719,0.0
17719,15504,1,0.4833333333333333,"('19',)",17719,15504,0.0
15504,15500,1,0.2,"('19',)",15504,15500,0.0
15500,15104,1,0.5833333333333334,"('19',)",15500,15104,0.0
15104,15102,1,0.3,"('19',)",15104,15102,0.0
